country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
France,2005,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2007,ANR (Agence Nationale de la Recherche),science_agency,826320000.0,euro,EUR,line_item,"the product of the contribution mentioned in article 235 ter ZC of the general tax code received in 2007 is allocated, up to a limit of 955 million euros, to the National Research Agency at a rate of 86.4%",JORF_2007.pdf,17,Created 2005 as the main competitive research funding agency.
France,2008,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2009,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2010,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2011,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2012,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2013,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2014,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2015,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2016,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2017,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2018,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2020,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2021,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2022,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2023,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2024,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,2025,ANR (Agence Nationale de la Recherche),science_agency,,,,,,,,gap: no matching rows in this year
France,1970,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1972,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1973,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1974,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1977,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1978,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1979,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1981,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1982,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1983,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1984,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1985,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1986,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1987,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1988,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1990,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,1994,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2005,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2007,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2008,Agricultural research and higher education,higher_education,278000000.0,euro,EUR,line_item,Agricultural research and higher education,JORF_2008.pdf,73,This entity supports agricultural research and education.
France,2009,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2010,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2011,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2012,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2013,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2014,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2015,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2016,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2017,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2018,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2020,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2021,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
France,2022,Agricultural research and higher education,higher_education,,,,,,,,gap: no matching rows in this year
