country,year,source_file,file_path,missing_agencies
France,1970,JORF_1970.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_1970.pdf,Universities and Higher Education (Pre-LOLF Chapter)
France,1972,JORF_1972.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_1972.pdf,Universities and Higher Education (Pre-LOLF Chapter)
France,1973,JORF_1973.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_1973.pdf,Universities and Higher Education (Pre-LOLF Chapter)
France,1974,JORF_1974.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_1974.pdf,Universities and Higher Education (Pre-LOLF Chapter)
France,1982,JORF_1982.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_1982.pdf,Universities and Higher Education (Pre-LOLF Chapter)
France,1983,JORF_1983.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_1983.pdf,Universities and Higher Education (Pre-LOLF Chapter)
France,1984,JORF_1984.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_1984.pdf,Universities and Higher Education (Pre-LOLF Chapter)
France,1985,JORF_1985.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_1985.pdf,Universities and Higher Education (Pre-LOLF Chapter)
France,1986,JORF_1986.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_1986.pdf,Universities and Higher Education (Pre-LOLF Chapter)
France,1990,JORF_1990.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_1990.pdf,Universities and Higher Education (Pre-LOLF Chapter)
France,2007,JORF_2007.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_2007.pdf,Multidisciplinary Scientific and Technological Research
France,2008,JORF_2008.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_2008.pdf,"Research in the Fields of Energy, Development, and Sustainable Mobility"
France,2009,JORF_2009.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_2009.pdf,"Research in the Fields of Energy, Development, and Sustainable Mobility"
France,2010,JORF_2010.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_2010.pdf,"Research in the Fields of Energy, Development, and Sustainable Mobility"
France,2014,JORF_2014.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_2014.pdf,"Research in the Fields of Energy, Development, and Sustainable Mobility"
France,2015,JORF_2015.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/France/JORF_2015.pdf,"Research in the Fields of Energy, Development, and Sustainable Mobility"
