year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1970,BRGM (Bureau de Recherches Géologiques et Minières),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1970,CEA (Commissariat à l'Énergie Atomique),science_agency,30000000.0,franc,FRF,line_item,JORF_1970.pdf,55,Data/input/finance_bills/France/JORF_1970.pdf,Data/output/budget/full_text/France/pdf_5f6867f7e54b__JORF_1970.txt.gz,Subsidy to the Atomic Energy Commission,covered_by_final_series,page_excerpt,12.951.939 | 33-91 | » | 189.272 | 56-10 | » | 30.000.000 | 56-30 | »,Covers both civil nuclear research and defence applications.
1970,CNES (Centre National d'Études Spatiales),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1970,Contracts for the development of research results,direct_rd,,,,,,,,,,covered_by_final_series,,,These contracts are aimed at advancing research outcomes.
1970,INRAE (Institut National de Recherche pour l'Agriculture),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1970,INRIA (Institut National de Recherche en Informatique),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1970,INSERM (Institut National de la Santé et de la Recherche Médicale),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1970,Industrial and Scientific Development,innovation_instruments,204150000.0,franc,FRF,program_total,JORF_1970.pdf,32,Data/input/finance_bills/France/JORF_1970.pdf,Data/output/budget/full_text/France/pdf_5f6867f7e54b__JORF_1970.txt.gz,Payment credits for industrial and scientific development,covered_by_final_series,page_excerpt,Agriculture .......................................... | 161.744.800 | 81.761.000 | Développement industriel et scienti- | fique ................................................... | 435.300.000 | 204.150.000 | Economie et finances : | -,This program supports both industrial and scientific research initiatives.
1970,ONERA (Office National d'Études et de Recherches Aérospatiales),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1970,Research (Pre-LOLF Ministry Chapter),rd_ministry,,,,,,,,,,covered_by_final_series,,,Pre-2006 France tracks Etat B/C ministry-chapter research appropriations rather than LOLF mission/programme rows.
1970,Subsidy to the Atomic Energy Commission,direct_rd,,,,,,,,,,covered_by_final_series,,,This subsidy supports research activities in the field of atomic energy.
1970,Universities and Higher Education (Pre-LOLF Chapter),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1972,BRGM (Bureau de Recherches Géologiques et Minières),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1972,CEA (Commissariat à l'Énergie Atomique),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1972,CNES (Centre National d'Études Spatiales),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1972,INRAE (Institut National de Recherche pour l'Agriculture),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1972,INRIA (Institut National de Recherche en Informatique),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1972,INSERM (Institut National de la Santé et de la Recherche Médicale),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1972,Industrial and Scientific Development,innovation_instruments,210590000.0,franc,FRF,line_item,JORF_1972.pdf,24,Data/input/finance_bills/France/JORF_1972.pdf,Data/output/budget/full_text/France/pdf_8cfd338aeaec__JORF_1972.txt.gz,Industrial and Scientific Development,covered_by_final_series,page_excerpt,80.732.000 | Départements d’outre-mer................... | 675.000 | 500.000 | Développement industriel et scienti- | 602.650.000 | 210.590.000 | fique ......................................................... | Economie et finances :,This program supports both industrial and scientific research initiatives.
1972,ONERA (Office National d'Études et de Recherches Aérospatiales),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1972,Research (Pre-LOLF Ministry Chapter),rd_ministry,,,,,,,,,,covered_by_final_series,,,Pre-2006 France tracks Etat B/C ministry-chapter research appropriations rather than LOLF mission/programme rows.
1972,Research in Socio-Economics,direct_rd,,,,,,,,,,covered_by_final_series,,,This program funds research in socio-economic topics.
1972,Universities and Higher Education (Pre-LOLF Chapter),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1973,BRGM (Bureau de Recherches Géologiques et Minières),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1973,CEA (Commissariat à l'Énergie Atomique),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1973,CNES (Centre National d'Études Spatiales),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1973,INRAE (Institut National de Recherche pour l'Agriculture),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1973,INRIA (Institut National de Recherche en Informatique),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1973,INSERM (Institut National de la Santé et de la Recherche Médicale),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
