source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
JORF_1970.pdf,Data/input/finance_bills/France/JORF_1970.pdf,Data/output/budget/full_text/France/pdf_5f6867f7e54b__JORF_1970.txt.gz,2,CEA (Commissariat à l'Énergie Atomique) | Industrial and Scientific Development,55 | 32,Subsidy to the Atomic Energy Commission | Payment credits for industrial and scientific development,30000000.0 | 204150000.0,covered_by_final_series,
JORF_1971.pdf,Data/input/finance_bills/France/JORF_1971.pdf,Data/output/budget/full_text/France/pdf_c5a22e09797e__JORF_1971.txt.gz,0,,,,,not_used_in_final_series,
JORF_1972.pdf,Data/input/finance_bills/France/JORF_1972.pdf,Data/output/budget/full_text/France/pdf_8cfd338aeaec__JORF_1972.txt.gz,1,Industrial and Scientific Development,24,Industrial and Scientific Development,210590000.0,covered_by_final_series,
JORF_1973.pdf,Data/input/finance_bills/France/JORF_1973.pdf,Data/output/budget/full_text/France/pdf_515a57a68416__JORF_1973.txt.gz,1,Industrial and Scientific Development,22,Industrial and scientific development,366947808.0,covered_by_final_series,
JORF_1974.pdf,Data/input/finance_bills/France/JORF_1974.pdf,Data/output/budget/full_text/France/pdf_0d516811e415__JORF_1974.txt.gz,1,Industrial and Scientific Development,24,Industrial and Scientific Development,3178330000.0,covered_by_final_series,
JORF_1975.pdf,Data/input/finance_bills/France/JORF_1975.pdf,Data/output/budget/full_text/France/pdf_78a78dfdc6b0__JORF_1975.txt.gz,0,,,,,not_used_in_final_series,
JORF_1976.pdf,Data/input/finance_bills/France/JORF_1976.pdf,Data/output/budget/full_text/France/pdf_d7f9ec0348b6__JORF_1976.txt.gz,0,,,,,not_used_in_final_series,
JORF_1977.pdf,Data/input/finance_bills/France/JORF_1977.pdf,Data/output/budget/full_text/France/pdf_5702fa4bcee3__JORF_1977.txt.gz,2,Research (Pre-LOLF Ministry Chapter) | Universities and Higher Education (Pre-LOLF Chapter),25 | 25,Industry and Research | Payment credits for universities,22238000.0 | 895448000.0,covered_by_final_series,
JORF_1978.pdf,Data/input/finance_bills/France/JORF_1978.pdf,Data/output/budget/full_text/France/pdf_f63228edb9f2__JORF_1978.txt.gz,2,BRGM (Bureau de Recherches Géologiques et Minières) | Universities and Higher Education (Pre-LOLF Chapter),45 | 31,BRGM total | Payment credits for Universities,435300000.0 | 845351000.0,covered_by_final_series,
JORF_1979.pdf,Data/input/finance_bills/France/JORF_1979.pdf,Data/output/budget/full_text/France/pdf_6eaebf186724__JORF_1979.txt.gz,1,Universities and Higher Education (Pre-LOLF Chapter),72,Totals for universities.,204620000.0,covered_by_final_series,
JORF_1980.pdf,Data/input/finance_bills/France/JORF_1980.pdf,Data/output/budget/full_text/France/pdf_1a5c8e80b11f__JORF_1980.txt.gz,0,,,,,not_used_in_final_series,
