country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
France,2018,Applied Research and Innovation in Agriculture,rd_programme,71000000.0,EUR,euro,verified_override,original_pdf,JORF_2018.pdf,114,Recherche appliquée et innovation en agriculture,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2019,Applied Research and Innovation in Agriculture,rd_programme,71000000.0,EUR,euro,verified_override,original_pdf,JORF_2019.pdf,185,Recherche appliquée et innovation en agriculture,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2020,Applied Research and Innovation in Agriculture,rd_programme,71000000.0,EUR,euro,verified_override,original_pdf,JORF_2020.pdf,216,Recherche appliquée et innovation en agriculture,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2021,Applied Research and Innovation in Agriculture,rd_programme,65934600.0,EUR,euro,verified_override,original_pdf,JORF_2021.pdf,175,Recherche appliquée et innovation en agriculture,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2022,Applied Research and Innovation in Agriculture,rd_programme,65520000.0,EUR,euro,verified_override,original_pdf,JORF_2022.pdf,694,Recherche appliquée et innovation en agriculture,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,1988,CEA (Commissariat à l'Énergie Atomique),science_agency,1633780000.0,FRF,franc,verified_override,original_pdf,JORF_1988.pdf,,Verified against original France budget file,Covers both civil nuclear research and defence applications.; manual override from original France budget file,verified_against_original_file
France,1994,CEA (Commissariat à l'Énergie Atomique),science_agency,3477513600.0,FRF,franc,verified_override,original_pdf,JORF_1994.pdf,,Verified against original France budget file,Covers both civil nuclear research and defence applications.; manual override from original France budget file,verified_against_original_file
France,1988,CNES (Centre National d'Études Spatiales),science_agency,663093000.0,FRF,franc,verified_override,original_pdf,JORF_1988.pdf,,Verified against original France budget file,manual override from original France budget file,verified_against_original_file
France,2018,Cultural Research and Scientific Culture,rd_programme,111881973.0,EUR,euro,verified_override,original_pdf,JORF_2018.pdf,112,Recherche culturelle et culture scientifique,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2019,Cultural Research and Scientific Culture,rd_programme,109981973.0,EUR,euro,verified_override,original_pdf,JORF_2019.pdf,183,Recherche culturelle et culture scientifique,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2018,Higher Education and Agricultural Research,rd_programme,345984489.0,EUR,euro,verified_override,original_pdf,JORF_2018.pdf,112,Enseignement supérieur et recherche agricoles,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2019,Higher Education and Agricultural Research,rd_programme,352815958.0,EUR,euro,verified_override,original_pdf,JORF_2019.pdf,183,Enseignement supérieur et recherche agricoles,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,1988,INRAE (Institut National de Recherche pour l'Agriculture),science_agency,1745385824.0,FRF,franc,verified_override,original_pdf,JORF_1988.pdf,,Verified against original France budget file,INRA renamed INRAE in 2020 after merger with IRSTEA.; manual override from original France budget file,verified_against_original_file
France,1994,INRAE (Institut National de Recherche pour l'Agriculture),science_agency,2546534794.0,FRF,franc,verified_override,original_pdf,JORF_1994.pdf,,Verified against original France budget file,INRA renamed INRAE in 2020 after merger with IRSTEA.; manual override from original France budget file,verified_against_original_file
France,2018,Multidisciplinary Scientific and Technological Research,rd_programme,6766603666.0,EUR,euro,verified_override,original_pdf,JORF_2018.pdf,112,Recherches scientifiques et technologiques pluridisciplinaires,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2019,Multidisciplinary Scientific and Technological Research,rd_programme,6941078490.0,EUR,euro,verified_override,original_pdf,JORF_2019.pdf,183,Recherches scientifiques et technologiques pluridisciplinaires,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2018,Research and Higher Education in Economic and Industrial Matters,rd_programme,778677598.0,EUR,euro,verified_override,original_pdf,JORF_2018.pdf,112,Recherche et enseignement supérieur en matière économique et industrielle,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2019,Research and Higher Education in Economic and Industrial Matters,rd_programme,728818603.0,EUR,euro,verified_override,original_pdf,JORF_2019.pdf,183,Recherche et enseignement supérieur en matière économique et industrielle,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2018,"Research in the Fields of Energy, Development, and Sustainable Mobility",rd_programme,1734154531.0,EUR,euro,verified_override,original_pdf,JORF_2018.pdf,112,"Recherche dans les domaines de l’énergie, du développement et de la mobilité durables",gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2019,"Research in the Fields of Energy, Development, and Sustainable Mobility",rd_programme,1722927442.0,EUR,euro,verified_override,original_pdf,JORF_2019.pdf,183,"Recherche dans les domaines de l’énergie, du développement et de la mobilité durables",gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2020,"Research in the Fields of Energy, Development, and Sustainable Mobility",rd_programme,1761730045.0,EUR,euro,verified_override,original_pdf,JORF_2020.pdf,214,"Recherche dans les domaines de l’énergie, du développement et de la mobilité durables",gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2021,"Research in the Fields of Energy, Development, and Sustainable Mobility",rd_programme,1755420951.0,EUR,euro,verified_override,original_pdf,JORF_2021.pdf,173,"Recherche dans les domaines de l’énergie, du développement et de la mobilité durables",gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2018,Space Research,rd_programme,1618103753.0,EUR,euro,verified_override,original_pdf,JORF_2018.pdf,112,Recherche spatiale,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
France,2019,Space Research,rd_programme,1820012789.0,EUR,euro,verified_override,original_pdf,JORF_2019.pdf,183,Recherche spatiale,gap: no matching rows in this year; manual override from original France budget file,verified_against_original_file
