canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
683 21 Research and Development Projects: Renewable Energies,direct_rd,2004,2004 1501500.pdf,683 21 Forschungs- und Entwicklungsvorhaben: Erneuerbare Energien,15366.0,"Federal Ministry for the Environment, Nature Conservation and Nuclear Safety",0,474,True
683 21 Research and Development Projects: Renewable Energies,direct_rd,2005,2005 1503660.pdf,683 21 Forschungs- und Entwicklungsvorhaben: Erneuerbare Energien,20366.0,Federal Ministry of Education and Research,0,739,True
683 21 Research and Development Projects: Renewable Energies,direct_rd,2006,2006 1600750.pdf,683 21 Forschungs- und Entwicklungsvorhaben: Erneuerbare Energien,43366.0,Federal Ministry of Education and Research,0,1095,True
ATHENA,direct_rd,2021,2021 1922600.pdf,ATHENA,4063.0,Federal Ministry of Education and Research,0,2358,True
ATHENA,direct_rd,2021,2021 1922600.pdf,ATHENA,4063.0,Federal Ministry of Education and Research,0,2960,True
ATHENA,direct_rd,2021,2021 1922600.pdf,ATHENA,4063.0,Federal Ministry of Education and Research,0,3575,True
Alexander von Humboldt Foundation,science_agency,2003,2003 1500150.pdf,Alexander von Humboldt-Stiftung,272.0,Alexander von Humboldt Foundation,0,359,False
Alexander von Humboldt Foundation,science_agency,2003,2003 1500150.pdf,"Alexander von Humboldt-Stiftung, Bonn",4528.0,Alexander von Humboldt Foundation,0,360,False
Alexander von Humboldt Foundation,science_agency,2004,2004 1501500.pdf,Alexander von Humboldt-Stiftung,21755.0,Alexander von Humboldt Foundation,0,637,False
Alexander von Humboldt Foundation,science_agency,2004,2004 1501500.pdf,Alexander von Humboldt-Stiftung,272.0,Alexander von Humboldt Foundation,0,638,False
Alexander von Humboldt Foundation,science_agency,2004,2004 1501500.pdf,"Alexander von Humboldt-Stiftung, Bonn",4377.0,Alexander von Humboldt Foundation,0,639,False
Alexander von Humboldt Foundation,science_agency,2005,2005 1503660.pdf,"Zuwendungen an die Alexander von Humboldt-Stiftung für Forschungsstipendien, Forschungspreise, Feodor-Lynen-Programm für die wissenschaftliche Forschung deutscher Postdoktoranden im Ausland",14880.0,Federal Ministry of Education and Research,0,770,False
Alexander von Humboldt Foundation,science_agency,2006,2006 1600750.pdf,Alexander von Humboldt-Stiftung,31582.0,Alexander von Humboldt Foundation,0,1237,False
Alexander von Humboldt Foundation,science_agency,2006,2006 1600750.pdf,Alexander von Humboldt-Stiftung,40027.0,Alexander von Humboldt Foundation,0,1238,False
Alexander von Humboldt Foundation,science_agency,2006,2006 1600750.pdf,Alexander von Humboldt-Stiftung,4165.0,Alexander von Humboldt Foundation,0,1239,False
Alexander von Humboldt Foundation,science_agency,2007,2007 1602300.pdf,Zuwendungen an die Alexander von Humboldt-Stiftung für Forschungsstipendien,21210.0,Federal Ministry of Education and Research,0,1401,False
Alexander von Humboldt Foundation,science_agency,2021,2021 1922600.pdf,"Alexander von Humboldt-Stiftung, Bonn - Betrieb und operative Mittel",54500.0,Federal Ministry of Education and Research,0,1909,True
Alexander von Humboldt Foundation,science_agency,2021,2021 1922600.pdf,"687 46 - Alexander von Humboldt-Stiftung, Bonn - Betrieb und operative Mittel",54500.0,Federal Ministry of Education and Research,0,1920,True
Alexander von Humboldt Foundation,science_agency,2021,2021 1922600.pdf,Zuwendungen an die Alexander von Humboldt-Stiftung zur Unterstützung von Maßnahmen zur Gewinnung und Förderung von Forschungsstipendiaten,71000.0,Federal Ministry of Education and Research,0,2154,True
Alexander von Humboldt Foundation,science_agency,2021,2021 1922600.pdf,"Alexander von Humboldt-Stiftung, Bonn - Betrieb und operative Mittel",54500.0,Federal Ministry of Education and Research,0,2484,True
Alexander von Humboldt Foundation,science_agency,2021,2021 1922600.pdf,Zuwendungen an die Alexander von Humboldt-Stiftung zur Unterstützung von Maßnahmen zur Gewinnung und Förderung von Forschungsstipendiaten,71000.0,Federal Ministry of Education and Research,0,2734,True
