country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes
Germany,2010,section_total,30,Bundesministerium für Bildung und Forschung,Federal Ministry of Education and Research,,Summe Haushalt 2010,Total budget 2010,81938453.0,thousand,EUR,science_agency,review,1.0,2010 1700624.pdf,8,gpt-4o-mini,extract,
Germany,2010,program_total,30,Bundesministerium für Bildung und Forschung,Federal Ministry of Education and Research,,Zuweisungen und Zuschüsse (ohne Investitionen),Allocations and grants (excluding investments),9008671.0,thousand,EUR,higher_education,review,1.0,2010 1700624.pdf,10,gpt-4o-mini,extract,
Germany,2010,line_item,30,Bundesministerium für Bildung und Forschung,Federal Ministry of Education and Research,,Forschung und Entwicklung,Research and Development,1000000.0,thousand,EUR,direct_rd,review,1.0,2010 1700624.pdf,9,gpt-4o-mini,extract,
Germany,2010,section_total,30,Bundesministerium für Bildung und Forschung,Federal Ministry of Education and Research,,Gesamtbetrag,Total amount,15810278.0,thousand,EUR,science_agency,include,1.0,2010 1700624.pdf,11-12,gpt-4o-mini,extract,
Germany,2010,program_total,30,Bundesministerium für Bildung und Forschung,Federal Ministry of Education and Research,,Gemeinsame Forschungsförderung,Joint Research Funding,307000.0,thousand,EUR,direct_rd,include,1.0,2010 1700624.pdf,11-12,gpt-4o-mini,extract,
Germany,2010,section_total,30,Bundesministerium für Bildung und Forschung,Federal Ministry of Education and Research,,Summe Ausgaben,Total Expenditures,159296.0,thousand,EUR,science_agency,include,1.0,2010 bgbl_Bundesgesetzblatt Teil I_2010_Nr. 14 vom 09.04.2010_bgbl110014.pdf,12,gpt-4o-mini,extract,
Germany,2010,program_total,30,Bundesministerium für Bildung und Forschung,Federal Ministry of Education and Research,,Forschung und Entwicklung,Research and Development,10863694.0,thousand,EUR,direct_rd,review,1.0,2010 bgbl_Bundesgesetzblatt Teil I_2010_Nr. 14 vom 09.04.2010_bgbl110014.pdf,14,gpt-4o-mini,extract,
Germany,2010,section_total,30,Bundesministerium für Bildung und Forschung,Federal Ministry of Education and Research,,Gesamtausgaben,Total Expenditures,9008671.0,thousand,EUR,science_agency,include,1.0,2010 bgbl_Bundesgesetzblatt Teil I_2010_Nr. 14 vom 09.04.2010_bgbl110014.pdf,16,gpt-4o-mini,extract,
Germany,2010,program_total,30,Bundesministerium für Bildung und Forschung,Federal Ministry of Education and Research,,Zuweisungen und Zuschüsse (ohne Investitionen),Allocations and Grants (excluding investments),9008671.0,thousand,EUR,science_agency,review,1.0,2010 bgbl_Bundesgesetzblatt Teil I_2010_Nr. 14 vom 09.04.2010_bgbl110014.pdf,16,gpt-4o-mini,extract,
Germany,2010,line_item,30,Bundesministerium für Bildung und Forschung,Federal Ministry of Education and Research,,Zuweisungen und Zuschüsse für Forschung,Allocations and Grants for Research,9008671.0,thousand,EUR,direct_rd,review,1.0,2010 bgbl_Bundesgesetzblatt Teil I_2010_Nr. 14 vom 09.04.2010_bgbl110014.pdf,16,gpt-4o-mini,extract,
