country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Germany,2010,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2011,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2012,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2013,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2014,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2015,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2016,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2017,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2018,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2019,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2020,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2021,ATHENA,direct_rd,4063.0,thousand,EUR,line_item,ATHENA,2021 1922600.pdf,3031,ATHENA is a specific R&D programme aimed at advancing research initiatives.
Germany,2022,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2023,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2024,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2025,ATHENA,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2010,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2011,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2012,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2013,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2014,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2015,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2016,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2017,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2018,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2019,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2020,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2021,Accompanying Research Programme,direct_rd,2000.0,thousand,EUR,line_item,"Accompanying Research: Studies, Reports, Evaluations",2021 1922600.pdf,1159,The name indicates a specific R&D programme focused on studies and evaluations.
Germany,2022,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2023,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2024,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2025,Accompanying Research Programme,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2010,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2011,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2012,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2013,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2014,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2015,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2016,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2017,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2018,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2019,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2020,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2021,Agency for the Promotion of Leap Innovations,innovation_instruments,7500.0,thousand,EUR,line_item,Agency for the promotion of leap innovations,2021 1922600.pdf,3001,The agency is focused on promoting innovative research and development projects.
Germany,2022,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2023,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2024,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2025,Agency for the Promotion of Leap Innovations,innovation_instruments,,,,,,,,gap: no matching rows in this year
Germany,2010,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2011,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2012,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2013,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2014,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2015,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2016,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2017,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2018,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2019,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2020,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2021,Alexander von Humboldt Foundation,science_agency,54500.0,thousand,EUR,line_item,Operations and Operational Funds,2021 1922600.pdf,478,The Alexander von Humboldt Foundation primarily supports research and international collaboration in science.
Germany,2022,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2023,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2024,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2025,Alexander von Humboldt Foundation,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2010,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2011,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2012,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2013,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2014,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2015,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2016,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2017,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2018,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2019,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2020,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2021,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,141080.0,thousand,EUR,line_item,"Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research (AWI), Bremerhaven",2021 1922600.pdf,3025,The AWI is a dedicated research institute focused on polar and marine research.
Germany,2022,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2023,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2024,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2025,Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research,science_agency,,,,,,,,gap: no matching rows in this year
Germany,2010,Allocations and grants for research,direct_rd,9008671.0,thousand,EUR,line_item,Allocations and Grants for Research,2010 bgbl_Bundesgesetzblatt Teil I_2010_Nr. 14 vom 09.04.2010_bgbl110014.pdf,16,The entry specifically indicates funding allocated for research activities.
Germany,2010,Allocations and grants for research,direct_rd,9008671.0,thousand,EUR,line_item,Allocations and Grants for Research,2010 bgbl_Bundesgesetzblatt Teil I_2010_Nr. 14 vom 09.04.2010_bgbl110s0346 (1).pdf,15,The entry specifically indicates funding allocated for research activities.
Germany,2010,Allocations and grants for research,direct_rd,9008671.0,thousand,EUR,line_item,Allocations and Grants for Research and Development,2010 bgbl_Bundesgesetzblatt Teil I_2010_Nr. 14 vom 09.04.2010_bgbl110s0346.pdf,15,The entry specifically indicates funding allocated for research activities.
Germany,2011,Allocations and grants for research,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2012,Allocations and grants for research,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2013,Allocations and grants for research,direct_rd,11786180.0,thousand,EUR,line_item,Allocations and Grants for Research,2013 bgbl_Bundesgesetzblatt Teil I_2012_Nr. 61 vom 27.12.2012_bgbl112s2757.pdf,15,The entry specifically indicates funding allocated for research activities.
Germany,2014,Allocations and grants for research,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2015,Allocations and grants for research,direct_rd,100607.0,thousand,EUR,line_item,Allocations and Grants for Research,2015 bgbl_Bundesgesetzblatt Teil I_2014_Nr. 64 vom 31.12.2014_bgbl114064.pdf,19,The entry specifically indicates funding allocated for research activities.
Germany,2016,Allocations and grants for research,direct_rd,8022012.0,thousand,EUR,program_total,Allocations and grants for research,2016 1806125.pdf,11,The entry specifically indicates funding allocated for research activities.
Germany,2017,Allocations and grants for research,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2018,Allocations and grants for research,direct_rd,15207854.0,thousand,EUR,program_total,Allocations and grants for research,2018 1902425.pdf,8,The entry specifically indicates funding allocated for research activities.
Germany,2019,Allocations and grants for research,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2020,Allocations and grants for research,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2021,Allocations and grants for research,direct_rd,18598444.0,thousand,EUR,line_item,Allocations and grants for research,2021 bgbl_Bundesgesetzblatt Teil I_2020_Nr. 66 vom 29.12.2020_bgbl120s3208.pdf,15,The entry specifically indicates funding allocated for research activities.
Germany,2022,Allocations and grants for research,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2023,Allocations and grants for research,direct_rd,19610359.0,thousand,EUR,program_total,Allocations and grants for research,2023 2003527.pdf,10,The entry specifically indicates funding allocated for research activities.
Germany,2023,Allocations and grants for research,direct_rd,19610359.0,thousand,EUR,line_item,Allocations and Grants for Research,2023 bgbl1_2022_54.pdf,24,The entry specifically indicates funding allocated for research activities.
Germany,2024,Allocations and grants for research,direct_rd,8332666.0,thousand,EUR,program_total,Allocations and grants for research,2024 2008662.pdf,12,The entry specifically indicates funding allocated for research activities.
Germany,2024,Allocations and grants for research,direct_rd,18364071.0,thousand,EUR,line_item,Allocations and Grants for Research,2024 regelungstext.pdf,18,The entry specifically indicates funding allocated for research activities.
Germany,2025,Allocations and grants for research,direct_rd,3931346.0,thousand,EUR,program_total,Allocations and grants for research,2025 regelungstext.pdf,20,The entry specifically indicates funding allocated for research activities.
Germany,2010,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2011,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2012,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2013,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2014,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2015,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2016,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2017,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2018,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2019,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2020,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2021,Allocations for Research and Development,direct_rd,707.0,thousand,EUR,line_item,Allocations for research and development,2021 1922600.pdf,67,The entry specifically indicates funding allocated for research and development.
Germany,2021,Allocations for Research and Development,direct_rd,18400000.0,thousand,EUR,line_item,Allocations for Research and Development,2021 bgbl1_2020_66.pdf,16,The entry specifically indicates funding allocated for research and development.
Germany,2021,Allocations for Research and Development,direct_rd,18598444.0,thousand,EUR,line_item,Allocations for Research and Development,2021 bgbl_Bundesgesetzblatt Teil I_2020_Nr. 66 vom 29.12.2020_bgbl120s3208.pdf,15,The entry specifically indicates funding allocated for research and development.
Germany,2022,Allocations for Research and Development,direct_rd,18672828.0,thousand,EUR,line_item,Allocations for research and development,2022 2001627.pdf,10,The entry specifically indicates funding allocated for research and development.
Germany,2023,Allocations for Research and Development,direct_rd,19610359.0,thousand,EUR,line_item,Allocations for research and development,2023 bgbl122s2485.pdf,16,The entry specifically indicates funding allocated for research and development.
Germany,2024,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2025,Allocations for Research and Development,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2010,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2011,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2012,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2013,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2014,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2015,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2016,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2017,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2018,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2019,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2020,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2021,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,10494.0,thousand,EUR,line_item,"Allocations, grants, and reimbursements for science, research, development outside of universities",2021 1922600.pdf,67,"The entry specifies funding for science and research activities, indicating R&D relevance."
Germany,2022,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2023,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2024,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2025,"Allocations, grants, and reimbursements for science, research, development outside of universities",direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2010,Alternative Methods to Animal Testing,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2011,Alternative Methods to Animal Testing,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2012,Alternative Methods to Animal Testing,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2013,Alternative Methods to Animal Testing,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2014,Alternative Methods to Animal Testing,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2015,Alternative Methods to Animal Testing,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2016,Alternative Methods to Animal Testing,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2017,Alternative Methods to Animal Testing,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2018,Alternative Methods to Animal Testing,direct_rd,,,,,,,,gap: no matching rows in this year
Germany,2019,Alternative Methods to Animal Testing,direct_rd,,,,,,,,gap: no matching rows in this year
