country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Germany,ATHENA,2010,,,0,,gap,,,direct_rd
Germany,ATHENA,2011,,,0,,gap,,,direct_rd
Germany,ATHENA,2012,,,0,,gap,,,direct_rd
Germany,ATHENA,2013,,,0,,gap,,,direct_rd
Germany,ATHENA,2014,,,0,,gap,,,direct_rd
Germany,ATHENA,2015,,,0,,gap,,,direct_rd
Germany,ATHENA,2016,,,0,,gap,,,direct_rd
Germany,ATHENA,2017,,,0,,gap,,,direct_rd
Germany,ATHENA,2018,,,0,,gap,,,direct_rd
Germany,ATHENA,2019,,,0,,gap,,,direct_rd
Germany,ATHENA,2020,,,0,,gap,,,direct_rd
Germany,ATHENA,2021,4063.0,4063.0,1,2021 1922600.pdf,single,EUR,thousand,direct_rd
Germany,ATHENA,2022,,,0,,gap,,,direct_rd
Germany,ATHENA,2023,,,0,,gap,,,direct_rd
Germany,ATHENA,2024,,,0,,gap,,,direct_rd
Germany,ATHENA,2025,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2010,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2011,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2012,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2013,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2014,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2015,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2016,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2017,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2018,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2019,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2020,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2021,2000.0,2000.0,1,2021 1922600.pdf,single,EUR,thousand,direct_rd
Germany,Accompanying Research Programme,2022,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2023,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2024,,,0,,gap,,,direct_rd
Germany,Accompanying Research Programme,2025,,,0,,gap,,,direct_rd
Germany,Agency for the Promotion of Leap Innovations,2010,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2011,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2012,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2013,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2014,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2015,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2016,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2017,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2018,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2019,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2020,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2021,7500.0,7500.0,1,2021 1922600.pdf,single,EUR,thousand,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2022,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2023,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2024,,,0,,gap,,,innovation_instruments
Germany,Agency for the Promotion of Leap Innovations,2025,,,0,,gap,,,innovation_instruments
Germany,Alexander von Humboldt Foundation,2010,,,0,,gap,,,science_agency
Germany,Alexander von Humboldt Foundation,2011,,,0,,gap,,,science_agency
Germany,Alexander von Humboldt Foundation,2012,,,0,,gap,,,science_agency
Germany,Alexander von Humboldt Foundation,2013,,,0,,gap,,,science_agency
Germany,Alexander von Humboldt Foundation,2014,,,0,,gap,,,science_agency
Germany,Alexander von Humboldt Foundation,2015,,,0,,gap,,,science_agency
Germany,Alexander von Humboldt Foundation,2016,,,0,,gap,,,science_agency
Germany,Alexander von Humboldt Foundation,2017,,,0,,gap,,,science_agency
Germany,Alexander von Humboldt Foundation,2018,,,0,,gap,,,science_agency
Germany,Alexander von Humboldt Foundation,2019,,,0,,gap,,,science_agency
Germany,Alexander von Humboldt Foundation,2020,,,0,,gap,,,science_agency
Germany,Alexander von Humboldt Foundation,2021,54500.0,54500.0,1,2021 1922600.pdf,single,EUR,thousand,science_agency
Germany,Alexander von Humboldt Foundation,2022,,,0,,gap,,,science_agency
