country,year,canonical_name,category,gap_type,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,prev_amount,next_amount
Germany,2010,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,,0.0
Germany,2011,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2012,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2013,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2014,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2015,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2016,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2017,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2018,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2019,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2020,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,0.0,3053666.0
Germany,2021,DFG (Deutsche Forschungsgemeinschaft),science_agency,outlier,"Amount 3,053,666 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,3053666.0,0.0,212219.0
Germany,2022,DFG (Deutsche Forschungsgemeinschaft),science_agency,outlier,"Amount 212,219 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,212219.0,3053666.0,0.0
Germany,2023,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,212219.0,0.0
Germany,2024,DFG (Deutsche Forschungsgemeinschaft),science_agency,ok,,,,,none,0.0,0.0,2518432.0
Germany,2025,DFG (Deutsche Forschungsgemeinschaft),science_agency,outlier,"Amount 2,518,432 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,2518432.0,0.0,
Germany,2010,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,,0.0
Germany,2011,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2012,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2013,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2014,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2015,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2016,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2017,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2018,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2019,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2020,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,2209680.0
Germany,2021,Helmholtz-Gemeinschaft (HGF),science_agency,outlier,"Amount 2,209,680 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,2209680.0,0.0,0.0
Germany,2022,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,2209680.0,0.0
Germany,2023,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2024,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2025,Helmholtz-Gemeinschaft (HGF),science_agency,ok,,,,,none,0.0,0.0,
Germany,2010,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,,0.0
Germany,2011,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2012,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2013,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2014,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2015,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2016,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2017,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2018,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2019,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2020,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,779000.0
Germany,2021,Fraunhofer-Gesellschaft,science_agency,outlier,"Amount 779,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,779000.0,0.0,0.0
Germany,2022,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,779000.0,0.0
Germany,2023,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2024,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2025,Fraunhofer-Gesellschaft,science_agency,ok,,,,,none,0.0,0.0,
Germany,2010,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,,0.0
Germany,2011,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2012,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2013,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2014,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2015,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2016,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2017,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2018,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2019,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2020,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,1169151.0
Germany,2021,Max-Planck-Gesellschaft (MPG),science_agency,outlier,"Amount 1,169,151 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,1169151.0,0.0,0.0
Germany,2022,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,1169151.0,0.0
Germany,2023,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2024,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2025,Max-Planck-Gesellschaft (MPG),science_agency,ok,,,,,none,0.0,0.0,
Germany,2010,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,,0.0
Germany,2011,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2012,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2013,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2014,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2015,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2016,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2017,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2018,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2019,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2020,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,616000.0
Germany,2021,Leibniz-Gemeinschaft (WGL),science_agency,outlier,"Amount 616,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",,,,verify,616000.0,0.0,0.0
Germany,2022,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,616000.0,0.0
Germany,2023,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2024,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2025,Leibniz-Gemeinschaft (WGL),science_agency,ok,,,,,none,0.0,0.0,
Germany,2010,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,0.0,,48100000.0
Germany,2011,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,48100000.0,0.0,126496.0
Germany,2012,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,126496.0,48100000.0,0.0
Germany,2013,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,0.0,126496.0,0.0
Germany,2014,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,0.0,0.0,13322749.0
Germany,2015,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,13322749.0,0.0,43822976.0
Germany,2016,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,43822976.0,13322749.0,15440736.0
Germany,2017,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,15440736.0,43822976.0,15207854.0
Germany,2018,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,15207854.0,15440736.0,0.0
Germany,2019,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,0.0,15207854.0,16110749.0
Germany,2020,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,16110749.0,0.0,20482014.0
Germany,2021,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,20482014.0,16110749.0,37345656.0
Germany,2022,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,37345656.0,20482014.0,39220718.0
Germany,2023,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,39220718.0,37345656.0,18364071.0
Germany,2024,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,18364071.0,39220718.0,0.0
Germany,2025,BMBF (Bundesministerium für Bildung und Forschung),science_agency,ok,,,,,none,0.0,18364071.0,
Germany,2010,PTB (Physikalisch-Technische Bundesanstalt),science_agency,ok,,,,,none,0.0,,0.0
Germany,2011,PTB (Physikalisch-Technische Bundesanstalt),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2012,PTB (Physikalisch-Technische Bundesanstalt),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2013,PTB (Physikalisch-Technische Bundesanstalt),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2014,PTB (Physikalisch-Technische Bundesanstalt),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2015,PTB (Physikalisch-Technische Bundesanstalt),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2016,PTB (Physikalisch-Technische Bundesanstalt),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2017,PTB (Physikalisch-Technische Bundesanstalt),science_agency,ok,,,,,none,0.0,0.0,0.0
Germany,2018,PTB (Physikalisch-Technische Bundesanstalt),science_agency,ok,,,,,none,0.0,0.0,0.0
