year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1955,BAM (Bundesanstalt für Materialforschung),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1955,BMBF (Bundesministerium für Bildung und Forschung),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1955,DFG (Deutsche Forschungsgemeinschaft),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1955,Fraunhofer-Gesellschaft,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1955,Helmholtz Centre Munich,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1955,Max-Planck-Gesellschaft (MPG),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1955,PTB (Physikalisch-Technische Bundesanstalt),science_agency,,,,,,,,,,covered_by_final_series,,,
1975,Allocations for Research and Technology,direct_rd,,,,,,,,,,covered_by_final_series,,,This entity is dedicated to funding research and technology initiatives.
1975,BAM (Bundesanstalt für Materialforschung),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,BMBF (Bundesministerium für Bildung und Forschung),science_agency,,,,,,,,,,covered_by_final_series,,,"Main federal ministry for R&D (BMFT pre-1994, BMBF 1994-2025, BMFTR 2025+). Total appropriation (Epl 30 Summe Ausgaben) as reported in Bundeshaushalt."
1975,DFG (Deutsche Forschungsgemeinschaft),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Fraunhofer-Gesellschaft,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,German Aerospace Center,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Helmholtz Centre Munich,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Helmholtz Centre for Infection Research (HZI),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Helmholtz-Gemeinschaft (HGF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Max-Planck-Gesellschaft (MPG),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,PTB (Physikalisch-Technische Bundesanstalt),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Allocations for Research and Technology,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,BAM (Bundesanstalt für Materialforschung),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,BMBF (Bundesministerium für Bildung und Forschung),science_agency,,,,,,,,,,covered_by_final_series,,,"Main federal ministry for R&D (BMFT pre-1994, BMBF 1994-2025, BMFTR 2025+). Total appropriation (Epl 30 Summe Ausgaben) as reported in Bundeshaushalt."
1976,DFG (Deutsche Forschungsgemeinschaft),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Fraunhofer-Gesellschaft,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,German Aerospace Center,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Helmholtz Centre Munich,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Helmholtz Centre for Infection Research (HZI),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Helmholtz-Gemeinschaft (HGF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Max-Planck-Gesellschaft (MPG),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,PTB (Physikalisch-Technische Bundesanstalt),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Allocations for Research and Technology,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,BAM (Bundesanstalt für Materialforschung),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,BMBF (Bundesministerium für Bildung und Forschung),science_agency,,,,,,,,,,covered_by_final_series,,,"Main federal ministry for R&D (BMFT pre-1994, BMBF 1994-2025, BMFTR 2025+). Total appropriation (Epl 30 Summe Ausgaben) as reported in Bundeshaushalt."
1977,DFG (Deutsche Forschungsgemeinschaft),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Fraunhofer-Gesellschaft,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,German Aerospace Center,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Helmholtz Centre Munich,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Helmholtz Centre for Infection Research (HZI),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Helmholtz-Gemeinschaft (HGF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Max-Planck-Gesellschaft (MPG),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,PTB (Physikalisch-Technische Bundesanstalt),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Allocations for Research and Technology,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,BAM (Bundesanstalt für Materialforschung),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,BMBF (Bundesministerium für Bildung und Forschung),science_agency,,,,,,,,,,covered_by_final_series,,,"Main federal ministry for R&D (BMFT pre-1994, BMBF 1994-2025, BMFTR 2025+). Total appropriation (Epl 30 Summe Ausgaben) as reported in Bundeshaushalt."
1978,DFG (Deutsche Forschungsgemeinschaft),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Fraunhofer-Gesellschaft,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,German Aerospace Center,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Helmholtz Centre Munich,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Helmholtz Centre for Infection Research (HZI),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Helmholtz-Gemeinschaft (HGF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Max-Planck-Gesellschaft (MPG),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,PTB (Physikalisch-Technische Bundesanstalt),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,Allocations for Research and Technology,direct_rd,,,,,,,,,,covered_by_final_series,,,This entity is dedicated to funding research and technology initiatives.
1979,BAM (Bundesanstalt für Materialforschung),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,BMBF (Bundesministerium für Bildung und Forschung),science_agency,,,,,,,,,,covered_by_final_series,,,"Main federal ministry for R&D (BMFT pre-1994, BMBF 1994-2025, BMFTR 2025+). Total appropriation (Epl 30 Summe Ausgaben) as reported in Bundeshaushalt."
1979,DFG (Deutsche Forschungsgemeinschaft),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,Fraunhofer-Gesellschaft,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,German Aerospace Center,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,Helmholtz Centre Munich,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,Helmholtz Centre for Infection Research (HZI),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,Helmholtz-Gemeinschaft (HGF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,Max-Planck-Gesellschaft (MPG),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,PTB (Physikalisch-Technische Bundesanstalt),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Allocations for Research and Technology,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,BAM (Bundesanstalt für Materialforschung),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,BMBF (Bundesministerium für Bildung und Forschung),science_agency,,,,,,,,,,covered_by_final_series,,,"Main federal ministry for R&D (BMFT pre-1994, BMBF 1994-2025, BMFTR 2025+). Total appropriation (Epl 30 Summe Ausgaben) as reported in Bundeshaushalt."
1980,DFG (Deutsche Forschungsgemeinschaft),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Fraunhofer-Gesellschaft,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,German Aerospace Center,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Helmholtz Centre Munich,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Helmholtz Centre for Infection Research (HZI),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Helmholtz-Gemeinschaft (HGF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,Max-Planck-Gesellschaft (MPG),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1980,PTB (Physikalisch-Technische Bundesanstalt),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,Allocations for Research and Technology,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,BAM (Bundesanstalt für Materialforschung),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,BMBF (Bundesministerium für Bildung und Forschung),science_agency,,,,,,,,,,covered_by_final_series,,,"Main federal ministry for R&D (BMFT pre-1994, BMBF 1994-2025, BMFTR 2025+). Total appropriation (Epl 30 Summe Ausgaben) as reported in Bundeshaushalt."
1981,DFG (Deutsche Forschungsgemeinschaft),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,Fraunhofer-Gesellschaft,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,German Aerospace Center,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,Helmholtz Centre Munich,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,Helmholtz Centre for Infection Research (HZI),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,Helmholtz-Gemeinschaft (HGF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,Max-Planck-Gesellschaft (MPG),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1981,PTB (Physikalisch-Technische Bundesanstalt),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1982,Allocations for Research and Technology,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1982,BAM (Bundesanstalt für Materialforschung),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1982,BMBF (Bundesministerium für Bildung und Forschung),science_agency,,,,,,,,,,covered_by_final_series,,,"Main federal ministry for R&D (BMFT pre-1994, BMBF 1994-2025, BMFTR 2025+). Total appropriation (Epl 30 Summe Ausgaben) as reported in Bundeshaushalt."
1982,DFG (Deutsche Forschungsgemeinschaft),science_agency,,,,,,,,,,covered_by_final_series,,,Main competitive research funding agency. Grant funded by federal + Länder contributions.
1982,Fraunhofer-Gesellschaft,science_agency,,,,,,,,,,covered_by_final_series,,,
1982,German Aerospace Center,science_agency,,,,,,,,,,covered_by_final_series,,,"DLR (formerly DFVLR). Federal institutional grant for aerospace, transport, energy, and digitisation R&D."
1982,Helmholtz Centre Munich,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1982,Helmholtz Centre for Infection Research (HZI),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1982,Helmholtz-Gemeinschaft (HGF),science_agency,,,,,,,,,,covered_by_final_series,,,Formerly Arbeitsgemeinschaft der Großforschungseinrichtungen (AGF).
1982,Max-Planck-Gesellschaft (MPG),science_agency,,,,,,,,,,covered_by_final_series,,,
1982,PTB (Physikalisch-Technische Bundesanstalt),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1983,Allocations for Research and Technology,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1983,BAM (Bundesanstalt für Materialforschung),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1983,BMBF (Bundesministerium für Bildung und Forschung),science_agency,,,,,,,,,,covered_by_final_series,,,"Main federal ministry for R&D (BMFT pre-1994, BMBF 1994-2025, BMFTR 2025+). Total appropriation (Epl 30 Summe Ausgaben) as reported in Bundeshaushalt."
1983,DFG (Deutsche Forschungsgemeinschaft),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
