canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
"35th National Research, Development and Innovation Fund",direct_rd,2015,pdf_e3a7a139c79d__2015_MK_14_184.txt,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",13778.0,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",0,0,False
"35th National Research, Development and Innovation Fund",direct_rd,2016,pdf_a5ef93808955__2016_MK_15_097.txt,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",6030.0,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",0,0,False
"35th National Research, Development and Innovation Fund",direct_rd,2017,pdf_8de59207bc3d__2017_MK_16_091.txt,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",1547.0,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",0,0,False
"35th National Research, Development and Innovation Fund",direct_rd,2019,pdf_17c40a8f2c21__2019_MK_18_123.txt,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",3406.0,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",0,0,False
"35th National Research, Development and Innovation Fund",direct_rd,2021,pdf_c349f811a655__2021_MK_20_170.txt,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",300.0,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",0,0,False
"35th National Research, Development and Innovation Fund",direct_rd,2022,pdf_fe4092e4966b__2022_MK_21_120.txt,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",778.0,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",0,0,False
"35th National Research, Development and Innovation Fund",direct_rd,2023,pdf_8328edd9fb03__2023_MK_22_127.txt,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",778.0,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL",0,0,False
"35th National Research, Development and Innovation Fund",direct_rd,2025,pdf_ad532cad1ed4__2025_MK_24_136.txt,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS",8676.0,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS",0,0,True
Eötvös Loránd Research Network,science_agency,2020,pdf_779604bc932b__2020_MK_19_128.txt,XXXVI. EÖTVÖS LORÁND KUTATÁSI HÁLÓZAT,27139.0,XXXVI. EÖTVÖS LORÁND KUTATÁSI HÁLÓZAT,0,0,True
Eötvös Loránd Research Network,science_agency,2021,pdf_c349f811a655__2021_MK_20_170.txt,XXXVI. EÖTVÖS LORÁND KUTATÁSI HÁLÓZAT,12092.0,XXXVI. EÖTVÖS LORÁND KUTATÁSI HÁLÓZAT,0,0,True
Eötvös Loránd Research Network,science_agency,2022,pdf_fe4092e4966b__2022_MK_21_120.txt,XXXVI. EÖTVÖS LORÁND KUTATÁSI HÁLÓZAT,12614.0,XXXVI. EÖTVÖS LORÁND KUTATÁSI HÁLÓZAT,0,0,True
Eötvös Loránd Research Network,science_agency,2023,pdf_8328edd9fb03__2023_MK_22_127.txt,XXXVI. EÖTVÖS LORÁND KUTATÁSI HÁLÓZAT,11490.0,XXXVI. EÖTVÖS LORÁND KUTATÁSI HÁLÓZAT,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,1993,pdf_197224eda674__1993_1992__évi_LXXX__törvény.txt,XXI. MAGYAR TUDOMÁNYOS AKADÉMIA,11928.8468,XXI. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,1994,pdf_7fbd9bdb7c44__1994_1993__évi_CXI__törvény.txt,XXI. MAGYAR TUDOMÁNYOS AKADÉMIA,15977.0,XXI. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,1995,pdf_486738cb9a56__1995_1994__évi_CIV__törvény.txt,XXI. MAGYAR TUDOMÁNYOS AKADÉMIA,26939.0,XXI. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,1996,pdf_cc7d787412e1__1996_1995__évi_CXXI__törvény.txt,XXI. MAGYAR TUDOMÁNYOS AKADÉMIA,43501.0,XXI. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,1997,pdf_9deabeac3098__1997_1996__évi_CXXIV__törvény.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,58734.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,1998,pdf_22113e7fba3d__1998_1997__évi_CXLVI__törvény.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,48742.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,1998,pdf_22113e7fba3d__1998_1997__évi_CXLVI__törvény.txt,MTA (KFKI–AEKI),362.0,MTA (KFKI–AEKI),0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2010,pdf_4e5ee92e2c1d__2010_MK_09_179.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,85439.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2011,pdf_fc70ccc08085__2011_MK_10_200.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,86306.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2012,pdf_ec2d2781b7dc__2012_MK_161.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,77914.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2013,pdf_809afb5be165__2013_MK_12_172.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,81119.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2014,pdf_5bc63b673739__2014_MK_13_216.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,77906.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2015,pdf_e3a7a139c79d__2015_MK_14_184.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,68210.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2016,pdf_a5ef93808955__2016_MK_15_097.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,85367.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2017,pdf_8de59207bc3d__2017_MK_16_091.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,67875.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2018,pdf_3efc4efd2e1c__2018_MK_17_100.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,67849.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2019,pdf_17c40a8f2c21__2019_MK_18_123.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,50999.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2020,pdf_779604bc932b__2020_MK_19_128.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,34835.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
Hungarian Academy of Sciences (MTA),science_agency,2021,pdf_c349f811a655__2021_MK_20_170.txt,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,24792.0,XXXIII. MAGYAR TUDOMÁNYOS AKADÉMIA,0,0,True
