country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Hungary,2025,"35th National Research, Development and Innovation Fund",direct_rd,8676000000.0,forint,HUF,section_total,"XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS",pdf_ad532cad1ed4__2025_MK_24_136.txt,0.0,This fund is specifically aimed at supporting research and innovation activities.
Hungary,2020,Eötvös Loránd Research Network,science_agency,48228800000.0,forint,HUF,verified_override,Verified chapter total for Hungary research network from original budget table,pdf_779604bc932b__2020_MK_19_128.txt,78,manual override from original Hungary budget file (research-network chapter total)
Hungary,2021,Eötvös Loránd Research Network,science_agency,70666400000.0,forint,HUF,verified_override,Verified chapter total for Hungary research network from original budget table,pdf_c349f811a655__2021_MK_20_170.txt,59,manual override from original Hungary budget file (research-network chapter total)
Hungary,2022,Eötvös Loránd Research Network,science_agency,66122200000.0,forint,HUF,verified_override,Verified chapter total for Hungary research network from original budget table,pdf_fe4092e4966b__2022_MK_21_120.txt,62,manual override from original Hungary budget file (research-network chapter total)
Hungary,2023,Eötvös Loránd Research Network,science_agency,67001700000.0,forint,HUF,verified_override,Verified chapter total for Hungary research network from original budget table,pdf_8328edd9fb03__2023_MK_22_127.txt,125,manual override from original Hungary budget file (research-network chapter total)
Hungary,1991,Hungarian Academy of Sciences (MTA),science_agency,,,,,,,,gap: no matching rows in this year
Hungary,1992,Hungarian Academy of Sciences (MTA),science_agency,6860900000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,1992 1991. évi XCI. törvény.pdf,65,gap: no matching rows in this year; manual override from original Hungary budget file (MTA chapter total)
Hungary,1993,Hungarian Academy of Sciences (MTA),science_agency,6745600000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,1993 1992. évi LXXX. törvény.pdf,,manual override from original Hungary budget file (MTA chapter total)
Hungary,1994,Hungarian Academy of Sciences (MTA),science_agency,6598300000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,1994 1993. évi CXI. törvény.pdf,,manual override from original Hungary budget file (MTA chapter total)
Hungary,1995,Hungarian Academy of Sciences (MTA),science_agency,10081500000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,1995 1994. évi CIV. törvény.pdf,,manual override from original Hungary budget file (MTA chapter total)
Hungary,1996,Hungarian Academy of Sciences (MTA),science_agency,10933700000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,1996 1995. évi CXXI. törvény.pdf,,manual override from original Hungary budget file (MTA chapter total)
Hungary,1997,Hungarian Academy of Sciences (MTA),science_agency,13431600000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,1997 1996. évi CXXIV. törvény.pdf,132,manual override from original Hungary budget file (MTA chapter total)
Hungary,1998,Hungarian Academy of Sciences (MTA),science_agency,16123600000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,1998 1997. évi CXLVI. törvény.pdf,143,manual override from original Hungary budget file (MTA chapter total)
Hungary,1999,Hungarian Academy of Sciences (MTA),science_agency,26383000000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,1999 (1998). évi XC. törvény.pdf,,gap: no matching rows in this year; manual override from original Hungary budget file (MTA chapter total)
Hungary,2000,Hungarian Academy of Sciences (MTA),science_agency,,,,,,,,gap: no matching rows in this year
Hungary,2001,Hungarian Academy of Sciences (MTA),science_agency,33159400000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2001-2002  2000. évi CXXXIII. törvény.pdf,,gap: no matching rows in this year; manual override from original Hungary budget file (MTA chapter total)
Hungary,2002,Hungarian Academy of Sciences (MTA),science_agency,33000000000.0,forint,HUF,section_total,XXXIII. fejezet összesen,2001-2002  2000. évi CXXXIII. törvény.pdf,0.0,
Hungary,2003,Hungarian Academy of Sciences (MTA),science_agency,,,,,,,,gap: no matching rows in this year
Hungary,2004,Hungarian Academy of Sciences (MTA),science_agency,,,,,,,,gap: no matching rows in this year
Hungary,2005,Hungarian Academy of Sciences (MTA),science_agency,47370000000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2005 2004. évi CXXXV. törvény.pdf,,gap: no matching rows in this year; manual override from original Hungary budget file (MTA chapter total)
Hungary,2006,Hungarian Academy of Sciences (MTA),science_agency,,,,,,,,gap: no matching rows in this year
Hungary,2007,Hungarian Academy of Sciences (MTA),science_agency,50063000000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2007  2006. évi CXXVII. törvény.pdf,,gap: no matching rows in this year; manual override from original Hungary budget file (MTA chapter total)
Hungary,2008,Hungarian Academy of Sciences (MTA),science_agency,,,,,,,,gap: no matching rows in this year
Hungary,2009,Hungarian Academy of Sciences (MTA),science_agency,,,,,,,,gap: no matching rows in this year
Hungary,2010,Hungarian Academy of Sciences (MTA),science_agency,48372800000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2010 MK_09_179.pdf,,manual override from original Hungary budget file (MTA chapter total)
Hungary,2011,Hungarian Academy of Sciences (MTA),science_agency,51505800000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2011 MK_10_200.pdf,,manual override from original Hungary budget file (MTA chapter total)
Hungary,2012,Hungarian Academy of Sciences (MTA),science_agency,57483100000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2012 MK_161.pdf,,manual override from original Hungary budget file (MTA chapter total)
Hungary,2013,Hungarian Academy of Sciences (MTA),science_agency,59109500000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2013 MK_12_172.pdf,,manual override from original Hungary budget file (MTA chapter total)
Hungary,2014,Hungarian Academy of Sciences (MTA),science_agency,63203500000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2014 MK_13_216.pdf,,manual override from original Hungary budget file (MTA chapter total)
Hungary,2015,Hungarian Academy of Sciences (MTA),science_agency,56318100000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2015 MK_14_184.pdf,,manual override from original Hungary budget file (MTA chapter total)
Hungary,2016,Hungarian Academy of Sciences (MTA),science_agency,56194800000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2016 MK_15_097.pdf,152,manual override from original Hungary budget file (MTA chapter total)
Hungary,2017,Hungarian Academy of Sciences (MTA),science_agency,68945500000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2017 MK_16_091.pdf,91,manual override from original Hungary budget file (MTA chapter total)
Hungary,2018,Hungarian Academy of Sciences (MTA),science_agency,62611700000.0,forint,HUF,verified_override,Verified MTA chapter total from original Hungary budget PDF,2018 MK_17_100.pdf,100,manual override from original Hungary budget file (MTA chapter total)
