source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1991 1990. évi CIV. törvény.pdf,Data/input/finance_bills/Hungary/1991 1990. évi CIV. törvény.pdf,,0,,,,,not_used_in_final_series,
1992 1991. évi XCI. törvény.pdf,Data/input/finance_bills/Hungary/1992 1991. évi XCI. törvény.pdf,,1,Hungarian Academy of Sciences (MTA),65,Verified MTA chapter total from original Hungary budget PDF,6860900000.0,covered_by_final_series,
1993 1992. évi LXXX. törvény.pdf,Data/input/finance_bills/Hungary/1993 1992. évi LXXX. törvény.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,6745600000.0,covered_by_final_series,
1994 1993. évi CXI. törvény.pdf,Data/input/finance_bills/Hungary/1994 1993. évi CXI. törvény.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,6598300000.0,covered_by_final_series,
1995 1994. évi CIV. törvény.pdf,Data/input/finance_bills/Hungary/1995 1994. évi CIV. törvény.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,10081500000.0,covered_by_final_series,
1996 1995. évi CXXI. törvény.pdf,Data/input/finance_bills/Hungary/1996 1995. évi CXXI. törvény.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,10933700000.0,covered_by_final_series,
1997 1996. évi CXXIV. törvény.pdf,Data/input/finance_bills/Hungary/1997 1996. évi CXXIV. törvény.pdf,,1,Hungarian Academy of Sciences (MTA),132,Verified MTA chapter total from original Hungary budget PDF,13431600000.0,covered_by_final_series,
1998 1997. évi CXLVI. törvény.pdf,Data/input/finance_bills/Hungary/1998 1997. évi CXLVI. törvény.pdf,,1,Hungarian Academy of Sciences (MTA),143,Verified MTA chapter total from original Hungary budget PDF,16123600000.0,covered_by_final_series,
1999 (1998). évi XC. törvény.pdf,Data/input/finance_bills/Hungary/1999 (1998). évi XC. törvény.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,26383000000.0,covered_by_final_series,
2000 (1999). évi CXXV. törvény.pdf,Data/input/finance_bills/Hungary/2000 (1999). évi CXXV. törvény.pdf,,0,,,,,not_used_in_final_series,
2001-2002  2000. évi CXXXIII. törvény.pdf,Data/input/finance_bills/Hungary/2001-2002  2000. évi CXXXIII. törvény.pdf,,2,Hungarian Academy of Sciences (MTA) | Hungarian Academy of Sciences (MTA),None | 0.0,Verified MTA chapter total from original Hungary budget PDF | XXXIII. fejezet összesen,33159400000.0 | 33000000000.0,covered_by_final_series,
2003 (2002). évi LXII. törvény.pdf,Data/input/finance_bills/Hungary/2003 (2002). évi LXII. törvény.pdf,,0,,,,,not_used_in_final_series,
2004 2003. évi CXVI. törvény.pdf,Data/input/finance_bills/Hungary/2004 2003. évi CXVI. törvény.pdf,,0,,,,,not_used_in_final_series,
2005 2004. évi CXXXV. törvény.pdf,Data/input/finance_bills/Hungary/2005 2004. évi CXXXV. törvény.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,47370000000.0,covered_by_final_series,
2006 2005. évi CLIII. törvény.pdf,Data/input/finance_bills/Hungary/2006 2005. évi CLIII. törvény.pdf,,0,,,,,not_used_in_final_series,
2007  2006. évi CXXVII. törvény.pdf,Data/input/finance_bills/Hungary/2007  2006. évi CXXVII. törvény.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,50063000000.0,covered_by_final_series,
2008 2007. évi CLXIX. törvény.pdf,Data/input/finance_bills/Hungary/2008 2007. évi CLXIX. törvény.pdf,,0,,,,,not_used_in_final_series,
2009  2008. évi CII. törvény.pdf,Data/input/finance_bills/Hungary/2009  2008. évi CII. törvény.pdf,,0,,,,,not_used_in_final_series,
2010 MK_09_179.pdf,Data/input/finance_bills/Hungary/2010 MK_09_179.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,48372800000.0,covered_by_final_series,
2011 MK_10_200.pdf,Data/input/finance_bills/Hungary/2011 MK_10_200.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,51505800000.0,covered_by_final_series,
2012 MK_161.pdf,Data/input/finance_bills/Hungary/2012 MK_161.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,57483100000.0,covered_by_final_series,
2013 MK_12_172.pdf,Data/input/finance_bills/Hungary/2013 MK_12_172.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,59109500000.0,covered_by_final_series,
2014 MK_13_216.pdf,Data/input/finance_bills/Hungary/2014 MK_13_216.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,63203500000.0,covered_by_final_series,
2015 MK_14_184.pdf,Data/input/finance_bills/Hungary/2015 MK_14_184.pdf,,1,Hungarian Academy of Sciences (MTA),None,Verified MTA chapter total from original Hungary budget PDF,56318100000.0,covered_by_final_series,
