country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Hungary,2020,Eötvös Loránd Research Network,science_agency,48228800000.0,HUF,forint,verified_override,parsed_budget_text,pdf_779604bc932b__2020_MK_19_128.txt,78,Verified chapter total for Hungary research network from original budget table,manual override from original Hungary budget file (research-network chapter total),verified_against_original_file
Hungary,2021,Eötvös Loránd Research Network,science_agency,70666400000.0,HUF,forint,verified_override,parsed_budget_text,pdf_c349f811a655__2021_MK_20_170.txt,59,Verified chapter total for Hungary research network from original budget table,manual override from original Hungary budget file (research-network chapter total),verified_against_original_file
Hungary,2022,Eötvös Loránd Research Network,science_agency,66122200000.0,HUF,forint,verified_override,parsed_budget_text,pdf_fe4092e4966b__2022_MK_21_120.txt,62,Verified chapter total for Hungary research network from original budget table,manual override from original Hungary budget file (research-network chapter total),verified_against_original_file
Hungary,2023,Eötvös Loránd Research Network,science_agency,67001700000.0,HUF,forint,verified_override,parsed_budget_text,pdf_8328edd9fb03__2023_MK_22_127.txt,125,Verified chapter total for Hungary research network from original budget table,manual override from original Hungary budget file (research-network chapter total),verified_against_original_file
Hungary,1992,Hungarian Academy of Sciences (MTA),science_agency,6860900000.0,HUF,forint,verified_override,original_pdf,1992 1991. évi XCI. törvény.pdf,65,Verified MTA chapter total from original Hungary budget PDF,gap: no matching rows in this year; manual override from original Hungary budget file (MTA chapter total),verified_against_original_file
Hungary,1993,Hungarian Academy of Sciences (MTA),science_agency,6745600000.0,HUF,forint,verified_override,original_pdf,1993 1992. évi LXXX. törvény.pdf,,Verified MTA chapter total from original Hungary budget PDF,manual override from original Hungary budget file (MTA chapter total),verified_against_original_file
Hungary,1994,Hungarian Academy of Sciences (MTA),science_agency,6598300000.0,HUF,forint,verified_override,original_pdf,1994 1993. évi CXI. törvény.pdf,,Verified MTA chapter total from original Hungary budget PDF,manual override from original Hungary budget file (MTA chapter total),verified_against_original_file
Hungary,1995,Hungarian Academy of Sciences (MTA),science_agency,10081500000.0,HUF,forint,verified_override,original_pdf,1995 1994. évi CIV. törvény.pdf,,Verified MTA chapter total from original Hungary budget PDF,manual override from original Hungary budget file (MTA chapter total),verified_against_original_file
Hungary,1996,Hungarian Academy of Sciences (MTA),science_agency,10933700000.0,HUF,forint,verified_override,original_pdf,1996 1995. évi CXXI. törvény.pdf,,Verified MTA chapter total from original Hungary budget PDF,manual override from original Hungary budget file (MTA chapter total),verified_against_original_file
Hungary,1997,Hungarian Academy of Sciences (MTA),science_agency,13431600000.0,HUF,forint,verified_override,original_pdf,1997 1996. évi CXXIV. törvény.pdf,132,Verified MTA chapter total from original Hungary budget PDF,manual override from original Hungary budget file (MTA chapter total),verified_against_original_file
Hungary,1998,Hungarian Academy of Sciences (MTA),science_agency,16123600000.0,HUF,forint,verified_override,original_pdf,1998 1997. évi CXLVI. törvény.pdf,143,Verified MTA chapter total from original Hungary budget PDF,manual override from original Hungary budget file (MTA chapter total),verified_against_original_file
