canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,1989,1989 0430.pdf,Byggingarsjóður rannsókna í þágu atvinnuveganna,62300.0,Building Fund for Industry Research,0,345,True
Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,2003,2003 0608.pdf,Byggingarsjóður rannsókna í þágu atvinnuveganna,0.0,Building Fund for Industry Research,0,867,True
Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,2012,2012 0493.pdf,Byggingarsjóður rannsókna í þágu atvinnuveganna,,Building Fund for Industry Research,0,1293,True
Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,2016,2016 0703.pdf,Byggingarsjóður rannsókna í þágu atvinnuveganna,,Building Fund for Industry Research,0,1427,True
Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,2021,2021 s0726-f_I.pdf,Byggingarsjóður rannsókna í þágu atvinnuveganna,0.0,Building Fund for Industry Research,0,1726,True
Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,2022,2022 0286.pdf,Byggingarsjóður rannsókna í þágu atvinnuveganna,0.0,Building Fund for Industry Research,0,1778,False
Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),science_agency,1985,1985 0001.pdf,Rannsóknastofnun fiskiðnaðarins. Fjárveiting til stofnunarinnar hækkar úr 15.033 þús. kr. í 17.664 Þús. kr.,17664.0,Ministry of Fisheries,0,249,False
Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),science_agency,2006,2006 0540.pdf,1.01 Rannsóknastofnun fiskiðnaðarins,427700.0,Research Institute of Fisheries,0,1005,True
Hafrannsóknastofnun (Marine Research Institute),science_agency,1985,1985 0001.pdf,Hafrannsóknastofnun. Framlag ríkissjóðs hækkar úr 91.027 þús. kr. í fjárlögum 1984 í 115.440 ÞÚS. kr.,115440.0,Ministry of Fisheries,0,248,True
Hafrannsóknastofnun (Marine Research Institute),science_agency,1990,1990 0496.pdf,Hafrannsóknastofnun,388637.0,Marine Research Institute,0,387,True
