country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Iceland,1977,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,268000000.0,krona,ISK,program_total,Total expenses,1977 0282.pdf,89,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1978,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,,,,,,,,gap: no matching rows in this year
Iceland,1979,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,,,,,,,,gap: no matching rows in this year
Iceland,1980,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,,,,,,,,gap: no matching rows in this year
Iceland,1981,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,466700000.0,krona,ISK,program_total,Total expenses,1981 0382.pdf,94,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1982,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,3176200.0,unit,ISK,program_total,Total expenses,1982 0271.pdf,104,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1983,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,4705000.0,krona,ISK,line_item,State contributions,1983 0247.pdf,100,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1984,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,,,,,,,,gap: no matching rows in this year
Iceland,1985,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,13630000.0,krona,ISK,line_item,"Contribution from the A-part to the fund amounts to 13,630 thousand ISK.",1985 0001.pdf,217,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1986,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,,,,,,,,gap: no matching rows in this year
Iceland,1987,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,1000000.0,krona,ISK,line_item,State contributions,1987 0499.pdf,164,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1988,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,70000000.0,krona,ISK,program_total,Government contributions,1988 0434.pdf,166,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1989,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,62300000.0,krona,ISK,line_item,Contributions from the state,1989 0430.pdf,172,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1990,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,43800000.0,krona,ISK,line_item,Contribution to the state treasury,1990 0496.pdf,189,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1991,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,67600000.0,krona,ISK,program_total,Total,1991 0478.pdf,25,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1992,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,74000000.0,krona,ISK,program_total,Total,1992 0374.pdf,26,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1993,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,60000000.0,krona,ISK,program_total,Building Fund for Research,1993 0546.pdf,26,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
Iceland,1994,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,40000000.0,krona,ISK,program_total,Total expenses,1994 0488.pdf,26,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
