country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1977,268000000.0,268000000.0,1,1977 0282.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1978,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1979,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1980,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1981,466700000.0,466700000.0,1,1981 0382.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1982,3176200.0,3176200.0,1,1982 0271.pdf,single,ISK,unit,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1983,4705000.0,4705000.0,1,1983 0247.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1984,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1985,13630000.0,13630000.0,1,1985 0001.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1986,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1987,1000000.0,1000000.0,1,1987 0499.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1988,70000000.0,70000000.0,1,1988 0434.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1989,62300000.0,62300000.0,1,1989 0430.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1990,43800000.0,43800000.0,1,1990 0496.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1991,67600000.0,67600000.0,1,1991 0478.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1992,74000000.0,74000000.0,1,1992 0374.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1993,60000000.0,60000000.0,1,1993 0546.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1994,40000000.0,40000000.0,1,1994 0488.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1995,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1996,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1997,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1998,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),1999,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2000,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2001,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2002,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2003,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2004,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2005,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2006,660600000.0,660600000.0,1,2006 0540.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2007,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2008,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2009,15900000.0,15900000.0,1,2009 0481.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2010,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2011,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2012,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2013,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2014,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2015,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2016,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2017,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2018,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2019,134600000.0,134600000.0,1,2019 s0632-f_I.pdf,single,ISK,krona,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2020,,,0,,gap,,,innovation_instruments
Iceland,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),2021,83900000.0,83900000.0,1,2021 s0726-f_I.pdf,single,ISK,krona,innovation_instruments
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),1990,65415000.0,65415000.0,1,1990 0496.pdf,single,ISK,krona,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),1991,83690000.0,83690000.0,1,1991 0478.pdf,single,ISK,krona,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),1992,,,0,,gap,,,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),1993,,,0,,gap,,,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),1994,,,0,,gap,,,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),1995,194700000.0,194700000.0,1,1995 0503.pdf,single,ISK,krona,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),1996,,,0,,gap,,,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),1997,,,0,,gap,,,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),1998,238500000.0,238500000.0,1,1998 0706.pdf,single,ISK,krona,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),1999,,,0,,gap,,,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),2000,252500000.0,252500000.0,1,2000 0455.pdf,single,ISK,krona,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),2001,10000000.0,10000000.0,1,2001 0489.pdf,single,ISK,krona,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),2002,,,0,,gap,,,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),2003,298900000.0,298900000.0,1,2003 0608.pdf,single,ISK,krona,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),2004,339900000.0,339900000.0,1,2004 0588.pdf,single,ISK,krona,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),2005,372500000.0,372500000.0,1,2005 0536.pdf,single,ISK,krona,science_agency
Iceland,Fiskirannsóknastofnun / Rannsóknastofnun fiskiðnaðarins (Research Institute of Fisheries),2006,427700000.0,427700000.0,1,2006 0540.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1975,301288000.0,301288000.0,1,1975 0246.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1976,49395000.0,49395000.0,1,1976 0292.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1977,321780000.0,321780000.0,1,1977 0282.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1978,,,0,,gap,,,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1979,,,0,,gap,,,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1980,,,0,,gap,,,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1981,,,0,,gap,,,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1982,3695900.0,3695900.0,1,1982 0271.pdf,single,ISK,unit,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1983,61686.0,61686.0,1,1983 0247.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1984,93182000.0,93182000.0,1,1984 0305.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1985,115440000.0,115440000.0,1,1985 0001.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1986,22467000.0,22467000.0,1,1986 0430.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1987,,,0,,gap,,,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1988,,,0,,gap,,,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1989,330600000.0,330600000.0,1,1989 0430.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1990,1610000000.0,1610000000.0,1,1990 0496.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1991,444500000.0,444500000.0,1,1991 0478.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1992,,,0,,gap,,,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1993,,,0,,gap,,,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1994,,,0,,gap,,,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1995,634500000.0,634500000.0,1,1995 0503.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1996,2000000000.0,2000000000.0,1,1996 0500.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1997,,,0,,gap,,,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1998,409800000.0,409800000.0,1,1998 0706.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),1999,908200000.0,908200000.0,1,1999 0631.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),2000,978200000.0,978200000.0,1,2000 0455.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),2001,346700000.0,346700000.0,1,2001 0489.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),2002,376800000.0,376800000.0,1,2002 0516.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),2003,1203800000.0,1203800000.0,1,2003 0608.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),2004,387600000.0,387600000.0,1,2004 0588.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),2005,491800000.0,491800000.0,1,2005 0536.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),2006,1592800000.0,1592800000.0,1,2006 0540.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),2007,1711000000.0,1711000000.0,1,2007 0550.pdf,single,ISK,krona,science_agency
Iceland,Hafrannsóknastofnun (Marine Research Institute),2008,1930200000.0,1930200000.0,1,2008 0507.pdf,single,ISK,krona,science_agency
