year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1975,Hafrannsóknastofnun (Marine Research Institute),science_agency,301288000.0,krona,ISK,program_total,1975 0246.pdf,42,Data/input/finance_bills/Iceland/1975 0246.pdf,,Gjöld samtals,covered_by_final_series,,,Under fisheries ministry (code 05-). Include research vessel and monitoring lines.
1975,Háskóli Íslands (University of Iceland),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Orkustofnun / ÍSOR (Energy and Geothermal Research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Rannsóknaráð ríkisins (National Research Council),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Rannsóknasjóður (Research Fund),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Veðurstofa Íslands (Icelandic Meteorological Office),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Vísindaráð (Science Council),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Vísindasjóður (Science Fund),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Hafrannsóknastofnun (Marine Research Institute),science_agency,49395000.0,krona,ISK,program_total,1976 0292.pdf,44,Data/input/finance_bills/Iceland/1976 0292.pdf,,Gjöld samtals,covered_by_final_series,,,Under fisheries ministry (code 05-). Include research vessel and monitoring lines.
1976,Háskóli Íslands (University of Iceland),higher_education,691265000.0,krona,ISK,program_total,1976 0292.pdf,11,Data/input/finance_bills/Iceland/1976 0292.pdf,,Total expenditures,covered_by_final_series,,,
1976,Orkustofnun / ÍSOR (Energy and Geothermal Research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Rannsóknaráð ríkisins (National Research Council),science_agency,691265000.0,krona,ISK,program_total,1976 0292.pdf,12,Data/input/finance_bills/Iceland/1976 0292.pdf,,Total expenditures,covered_by_final_series,,,"National Research Council. 3-digit code 232 (early), two-tier 02-232 (later). Merged into Rannís 2003."
1976,Rannsóknasjóður (Research Fund),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Veðurstofa Íslands (Icelandic Meteorological Office),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Vísindaráð (Science Council),science_agency,50000000.0,krona,ISK,program_total,1976 0292.pdf,91,Data/input/finance_bills/Iceland/1976 0292.pdf,,Total,covered_by_final_series,,,Science Council. Merged into Rannís 2003.
1976,Vísindasjóður (Science Fund),science_agency,250990000.0,krona,ISK,line_item,1976 0292.pdf,91,Data/input/finance_bills/Iceland/1976 0292.pdf,,Contributions from the state treasury,covered_by_final_series,,,"Science Fund. Code 975 in early budgets, later 02-235. Merged into Rannís 2003."
1977,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,268000000.0,krona,ISK,program_total,1977 0282.pdf,89,Data/input/finance_bills/Iceland/1977 0282.pdf,,Total expenses,covered_by_final_series,,,Validated against original Iceland budget files; long-lived fund supporting sectoral research infrastructure and projects.
1977,Hafrannsóknastofnun (Marine Research Institute),science_agency,321780000.0,krona,ISK,program_total,1977 0282.pdf,44,Data/input/finance_bills/Iceland/1977 0282.pdf,,Gjöld samtals,covered_by_final_series,,,Under fisheries ministry (code 05-). Include research vessel and monitoring lines.
1977,Háskóli Íslands (University of Iceland),higher_education,1261593000.0,krona,ISK,program_total,1977 0282.pdf,11,Data/input/finance_bills/Iceland/1977 0282.pdf,,Total expenditures,covered_by_final_series,,,
1977,Orkustofnun / ÍSOR (Energy and Geothermal Research),science_agency,164500000.0,krona,ISK,program_total,1977 0282.pdf,46,Data/input/finance_bills/Iceland/1977 0282.pdf,,Total expenditures,covered_by_final_series,,,Orkustofnun (code 11-301) under industry ministry. ÍSOR (Iceland GeoSurvey) spun off ~2003 for geothermal/geological research.
1977,Rannsóknaráð ríkisins (National Research Council),science_agency,119105000.0,krona,ISK,program_total,1977 0282.pdf,12,Data/input/finance_bills/Iceland/1977 0282.pdf,,Total expenditures,covered_by_final_series,,,"National Research Council. 3-digit code 232 (early), two-tier 02-232 (later). Merged into Rannís 2003."
1977,Rannsóknasjóður (Research Fund),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Veðurstofa Íslands (Icelandic Meteorological Office),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Vísindaráð (Science Council),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Vísindasjóður (Science Fund),science_agency,375996000.0,krona,ISK,program_total,1977 0282.pdf,92,Data/input/finance_bills/Iceland/1977 0282.pdf,,Total expenses,covered_by_final_series,,,"Science Fund. Code 975 in early budgets, later 02-235. Merged into Rannís 2003."
1978,Byggingarsjóður rannsókna í þágu atvinnuveganna (Building Fund for Industry Research),innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Hafrannsóknastofnun (Marine Research Institute),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Háskóli Íslands (University of Iceland),higher_education,388000000.0,krona,ISK,line_item,1978 0300.pdf,11,Data/input/finance_bills/Iceland/1978 0300.pdf,,For construction and equipment purchases,covered_by_final_series,,,
