canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,1995,1995_Israel.pdf,סוכנות החלל הישראלית,4644.0,Ministry of Science and Technology,0,171,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2001,2001_Israel.pdf,סוכנות החלל הישראלית,466152.0,Ministry of Science,0,249,False
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2004,2004_Israel.pdf,סוכנות החלל הישראלית,405.0,Ministry of Science and Technology,0,271,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2005,2005_Israel.pdf,סוכנות החלל הישראלית,15.343,Ministry of Science,0,281,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2005,2005_Israel.pdf,פעולות סוכנות החלל הישראלית,15.343,Ministry of Science,0,282,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2007,2007_Israel.pdf,סוכנות החלל הישראלית,444934.0,Ministry of Science,0,288,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2009,2009-2010_Israel.pdf,סוכנות החלל הישראלית,8573117.0,Ministry of Science and Technology,0,314,False
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2010,2009-2010_Israel.pdf,סוכנות החלל הישראלית,8573117.0,Ministry of Science and Technology,0,332,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2010,2009-2010_Israel.pdf,סך הכל סוכנות החלל הישראלית,100000.0,Ministry of Science and Technology,0,341,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2010,2009-2010_Israel.pdf,סוכנות החלל הישראלית,440500.0,Ministry of Science and Technology,0,347,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2011,2011-2012_Israel.pdf,סוכנות החלל הישראלית,21607.0,Ministry of Science and Technology,0,357,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2011,2011-2012_Israel.pdf,סוכנות החלל הישראלית,200000.0,Ministry of Science and Technology,0,365,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2012,2011-2012_Israel.pdf,סוכנות החלל הישראלית,500000.0,Ministry of Science and Technology,0,372,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2012,2011-2012_Israel.pdf,סוכנות החלל הישראלית,20857.0,Ministry of Science and Technology,0,379,True
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2013,2013-2014_Israel.pdf,סוכנות החלל הישראלית,12348880.0,Ministry of Science and Technology,0,387,False
Israeli Space Agency (סוכנות החלל הישראלית),science_agency,2018,2017-2018_Israel.pdf,סוכנות החלל הישראלית,17205834.0,Ministry of Science and Technology,0,469,True
