country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role,dedup_notes,temporal_flag
Israel,1975,line_item,74,המועצה הלאומית למחקר ולפיתוח,National Council for Research and Development,,מימון מחקרים משותפים,Funding for joint research,1500000.0,unit,ILP,direct_rd,include,1.0,1975_Israel.pdf,16,gpt-4o-mini,extract,,,,,"Outlier: year total 2,841,866,000 outside [-377,161,831, 504,846,186]"
Israel,1975,line_item,74,המועצה הלאומית למחקר ולפיתוח,National Council for Research and Development,,השתתפות במימון מחקרים,Participation in funding research,1155000.0,unit,ILP,direct_rd,include,1.0,1975_Israel.pdf,16,gpt-4o-mini,extract,,,,,"Outlier: year total 2,841,866,000 outside [-377,161,831, 504,846,186]"
Israel,1975,line_item,74,המועצה הלאומית למחקר ולפיתוח,National Council for Research and Development,,מחקרים,Research,4200000.0,unit,ILP,direct_rd,include,1.0,1975_Israel.pdf,16,gpt-4o-mini,extract,,,,,"Outlier: year total 2,841,866,000 outside [-377,161,831, 504,846,186]"
Israel,1975,section_total,74,המועצה הלאומית למחקר ולפיתוח,National Council for Research and Development,,סך הכל,Total,115000000.0,unit,ILP,science_agency,include,1.0,1975_Israel.pdf,16,gpt-4o-mini,extract,,[israel_section_total],section,,"Outlier: year total 2,841,866,000 outside [-377,161,831, 504,846,186]"
Israel,1975,line_item,36,משרד המסחר והתעשיה,Ministry of Commerce and Industry,,מחקר תעשייתי,Industrial Research,1004000.0,unit,ILP,direct_rd,include,1.0,1975_Israel.pdf,215,gpt-4o-mini,extract,,,,,"Outlier: year total 2,841,866,000 outside [-377,161,831, 504,846,186]"
Israel,1975,line_item,36,משרד המסחר והתעשיה,Ministry of Commerce and Industry,,מינהל למחקר,Research Administration,947794000.0,unit,ILP,direct_rd,include,1.0,1975_Israel.pdf,215,gpt-4o-mini,extract,,,,,"Outlier: year total 2,841,866,000 outside [-377,161,831, 504,846,186]"
Israel,1975,section_total,36,משרד המסחר והתעשיה,Ministry of Commerce and Industry,,"סה""כ",Total,947794000.0,unit,ILP,science_agency,include,1.0,1975_Israel.pdf,215,gpt-4o-mini,extract,,[israel_section_total],section,,"Outlier: year total 2,841,866,000 outside [-377,161,831, 504,846,186]"
Israel,1975,line_item,19,משרד המדע והטכנולוגיה,Ministry of Science and Technology,,מימון מחקרים,Funding for research,8000000.0,unit,ILP,direct_rd,include,1.0,1975_Israel.pdf,22,gpt-4o-mini,extract,,,,,"Outlier: year total 2,841,866,000 outside [-377,161,831, 504,846,186]"
Israel,1975,program_total,19,משרד המדע והטכנולוגיה,Ministry of Science and Technology,,תכניות מחקר,Research Programs,100000000.0,unit,ILP,direct_rd,include,1.0,1975_Israel.pdf,22,gpt-4o-mini,extract,,,,,"Outlier: year total 2,841,866,000 outside [-377,161,831, 504,846,186]"
Israel,1975,line_item,19,משרד המדע והטכנולוגיה,Ministry of Science and Technology,,תמיכה במחקרים,Support for research,5000000.0,unit,ILP,direct_rd,include,1.0,1975_Israel.pdf,22,gpt-4o-mini,extract,,,,,"Outlier: year total 2,841,866,000 outside [-377,161,831, 504,846,186]"
