country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Israel,2017,Israel Innovation Authority (from 2016),innovation_instruments,175750.0,thousand,ILS,line_item,Operation of the Innovation Authority,2017-2018_Israel.pdf,136.0,Replaced the Office of the Chief Scientist at Ministry of Economy in 2016.; locked manual curation
Israel,2025,Israel Innovation Authority (from 2016),innovation_instruments,2008207.0,thousand,ILS,verified_override,Verified against original Israel budget file,2025_Israel.pdf,48.0,Replaced the Office of the Chief Scientist at Ministry of Economy in 2016.; manual override from original Israel budget file; locked manual curation
Israel,1995,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,4644.0,thousand,ILS,program_total,Israeli Space Agency,1995_Israel.pdf,45.0,locked manual curation
Israel,2004,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,405.0,thousand,ILS,line_item,Israeli Space Agency,2004_Israel.pdf,36.0,locked manual curation
Israel,2005,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,15.343,thousand,ILS,line_item,Activities of the Israeli Space Agency,2005_Israel.pdf,36.0,locked manual curation
Israel,2007,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,444934.0,thousand,ILS,program_total,Israeli Space Agency,2007_Israel.pdf,31.0,locked manual curation
Israel,2010,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,562417000.0,shekel,ILS,line_item,Support for Space Agency Activities,2009-2010_Israel.pdf,5,
Israel,2011,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,271935.0,thousand,ILS,line_item,Support for Space Agency Activities,2011-2012_Israel.pdf,55.0,locked manual curation
Israel,2012,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,500000000.0,shekel,ILS,program_total,Israeli Space Agency,2011-2012_Israel.pdf,152,
Israel,2014,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,,,,,,,,gap: no matching rows in this year
Israel,2016,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,,,,,,,,gap: no matching rows in this year
Israel,2018,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,,,,,,,,gap: no matching rows in this year
Israel,2019,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,874951.0,thousand,ILS,program_total,Budget for the Israeli Space Agency,2019_Israel.pdf,82.0,locked manual curation
Israel,2021,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,561109.0,thousand,ILS,line_item,Budget for the Israeli Space Agency,2021_Israel.pdf,84.0,locked manual curation
Israel,2022,Israeli Space Agency (סוכנות החלל הישראלית),science_agency,100000.0,thousand,ILS,line_item,Budget for the Israeli Space Agency - Research and Development,2022_Israel.pdf,27.0,locked manual curation
Israel,1987,"KAMEA Fund (קרן קמ""ח)",innovation_instruments,3783.0,thousand,ILS,line_item,Research funded by KAMEA,1987_Israel.pdf,196.0,Competitive applied research fund. Appears as sub-line in industry ministry (code 31 05).; locked manual curation
Israel,1991,"KAMEA Fund (קרן קמ""ח)",innovation_instruments,3300.0,thousand,ILS,line_item,Research funded by KAMEA,1991_Israel.pdf,88.0,Competitive applied research fund. Appears as sub-line in industry ministry (code 31 05).; locked manual curation
Israel,1992,Ministry of Science and Technology (Israel),rd_ministry,21708.0,thousand,ILS,section_total,Total,1992_Israel.pdf,42.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,1994,Ministry of Science and Technology (Israel),rd_ministry,56624.0,thousand,ILS,section_total,Total,1994_Israel.pdf,39.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,1995,Ministry of Science and Technology (Israel),rd_ministry,152824.0,thousand,ILS,section_total,Total General,1995_Israel.pdf,45.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,1996,Ministry of Science and Technology (Israel),rd_ministry,176579.0,thousand,ILS,section_total,Budget of the Ministry of Science,1996_Israel.pdf,44.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,1997,Ministry of Science and Technology (Israel),rd_ministry,184250.0,thousand,ILS,section_total,Total General,1997_Israel.pdf,41.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,1998,Ministry of Science and Technology (Israel),rd_ministry,825272.0,thousand,ILS,section_total,Total,1998_Israel.pdf,94.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,1999,Ministry of Science and Technology (Israel),rd_ministry,172618.0,thousand,ILS,section_total,Total,1999_Israel.pdf,38.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,2000,Ministry of Science and Technology (Israel),rd_ministry,636117.0,thousand,ILS,section_total,Expenditure,2000_Israel.pdf,36.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,2001,Ministry of Science and Technology (Israel),rd_ministry,722050.0,thousand,ILS,section_total,Total General,2001_Israel.pdf,37.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,2002,Ministry of Science and Technology (Israel),rd_ministry,497804.0,thousand,ILS,section_total,Total,2002_Israel.pdf,41.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,2004,Ministry of Science and Technology (Israel),rd_ministry,118947.0,thousand,ILS,section_total,Total,2004_Israel.pdf,36.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,2005,Ministry of Science and Technology (Israel),rd_ministry,118277.0,thousand,ILS,section_total,Total General,2005_Israel.pdf,36.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,2007,Ministry of Science and Technology (Israel),rd_ministry,700837.0,thousand,ILS,section_total,Total General,2007_Israel.pdf,31.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,2008,Ministry of Science and Technology (Israel),rd_ministry,709529.0,thousand,ILS,section_total,Total General,2008_Israel.pdf,29.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,2009,Ministry of Science and Technology (Israel),rd_ministry,979860.0,thousand,ILS,section_total,Total,2009-2010_Israel.pdf,200.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation"
Israel,2010,Ministry of Science and Technology (Israel),rd_ministry,979860000.0,shekel,ILS,section_total,Total Ministry of Science and Technology,2009-2010_Israel.pdf,200,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency."
Israel,2011,Ministry of Science and Technology (Israel),rd_ministry,1400000.0,thousand,ILS,verified_override,Verified against original Israel budget file,2011-2012_Israel.pdf,200.0,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; manual override from original Israel budget file; locked manual curation"
