country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Israel,2025,Israel Innovation Authority (from 2016),innovation_instruments,2008207.0,ILS,thousand,verified_override,original_pdf,2025_Israel.pdf,48.0,Verified against original Israel budget file,Replaced the Office of the Chief Scientist at Ministry of Economy in 2016.; manual override from original Israel budget file; locked manual curation,verified_against_original_file
Israel,2011,Ministry of Science and Technology (Israel),rd_ministry,1400000.0,ILS,thousand,verified_override,original_pdf,2011-2012_Israel.pdf,200.0,Verified against original Israel budget file,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; manual override from original Israel budget file; locked manual curation",verified_against_original_file
Israel,2013,Ministry of Science and Technology (Israel),rd_ministry,1117322.0,ILS,thousand,verified_override,original_pdf,2013-2014_Israel.pdf,28.0,Verified against original Israel budget file,gap: no matching rows in this year; manual override from original Israel budget file; locked manual curation,verified_against_original_file
Israel,2015,Ministry of Science and Technology (Israel),rd_ministry,1361253.0,ILS,thousand,verified_override,original_pdf,2015-2016_Israel.pdf,31.0,Verified against original Israel budget file,"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; manual override from original Israel budget file; locked manual curation",verified_against_original_file
Israel,2023,Ministry of Science and Technology (Israel),rd_ministry,2535972.0,ILS,thousand,verified_override,original_pdf,2023_Israel.pdf,6.0,Section 19 total (science + culture bundle),gap: no matching rows in this year; locked manual curation,verified_against_original_file
Israel,2024,Ministry of Science and Technology (Israel),rd_ministry,2749765.0,ILS,thousand,verified_override,original_pdf,2024_Israel.pdf,6.0,Section 19 total (science + culture bundle),gap: no matching rows in this year; locked manual curation,verified_against_original_file
Israel,2025,Ministry of Science and Technology (Israel),rd_ministry,2807783.0,ILS,thousand,verified_override,original_pdf,2025_Israel.pdf,6.0,Section 19 total (science + culture bundle),"Budget code 19. Created 1992. Sub-codes: 02=R&D Council, 03=Research, 05=Infrastructure, 07=Space Agency.; locked manual curation",verified_against_original_file
Israel,1980,"National Council for R&D (Israel, pre-1992)",science_agency,604700000.0,ILS_OLD,thousand,verified_override,original_pdf,1980_Israel.pdf,97.0,Verified against original Israel budget file,gap: no matching rows in this year; manual override from original Israel budget file; locked manual curation,verified_against_original_file
Israel,1981,"National Council for R&D (Israel, pre-1992)",science_agency,1000000000.0,ILS_OLD,thousand,verified_override,original_pdf,1981_Israel.pdf,27.0,Verified against original Israel budget file,gap: no matching rows in this year; manual override from original Israel budget file; locked manual curation,verified_against_original_file
Israel,1982,"National Council for R&D (Israel, pre-1992)",science_agency,749000000.0,ILS_OLD,thousand,verified_override,original_pdf,1982_Israel.pdf,102.0,Verified against original Israel budget file,gap: no matching rows in this year; manual override from original Israel budget file; locked manual curation,verified_against_original_file
Israel,1983,"National Council for R&D (Israel, pre-1992)",science_agency,156300000.0,ILS_OLD,thousand,verified_override,original_pdf,1983_Israel.pdf,11.0,Verified against original Israel budget file,gap: no matching rows in this year; manual override from original Israel budget file; locked manual curation,verified_against_original_file
Israel,1984,"National Council for R&D (Israel, pre-1992)",science_agency,411000000.0,ILS_OLD,thousand,verified_override,original_pdf,1984_Israel.pdf,12.0,Verified against original Israel budget file,gap: no matching rows in this year; manual override from original Israel budget file; locked manual curation,verified_against_original_file
