canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
75 Million Euros for Hiring University Professors and Researchers,higher_education,2022,2022 20211231_310_SO_049.pdf,"75 milioni di euro per l’anno 2022 destinati all’assunzione di professori universitari, di ricercatori",75000000000.0,Ministry of University and Research,0,1301,False
ASI — Agenzia Spaziale Italiana,science_agency,1989,1989 19881230_305_SO_114.pdf,Contributo all'Agenzia Spaziale Italiana,742006000059.0,ASI — Agenzia Spaziale Italiana,0,297,True
ASI — Agenzia Spaziale Italiana,science_agency,1989,1989 19881230_305_SO_114.pdf,ASI — Agenzia Spaziale Italiana,932200000000.0,ASI — Agenzia Spaziale Italiana,0,298,True
ASI — Agenzia Spaziale Italiana,science_agency,1990,1990 19891229_302_SO_097.pdf,Istituzione dell'Agenzia spaziale italiana,800000000000.0,Italian Space Agency,0,306,True
ASI — Agenzia Spaziale Italiana,science_agency,1990,1990 19891230_303_SO_098-1.pdf,CONTRIBUTO ALL'AGENZIA SPAZIALE ITALIANA,822000000000.0,ASI — Agenzia Spaziale Italiana,0,315,True
ASI — Agenzia Spaziale Italiana,science_agency,1991,1991 19901231_303_SO_091.pdf,Istituzione del'Agenzia spaziale italiana,700000.0,ASI — Agenzia Spaziale Italiana,0,397,True
ASI — Agenzia Spaziale Italiana,science_agency,1991,1991 19901231_303_SO_092.pdf,Contributo all'Agenzia Spaziale Italiana,700000000.0,Contribution to the Italian Space Agency,0,387,True
ASI — Agenzia Spaziale Italiana,science_agency,1992,1992 19911231_305_SO_094.pdf,SOMMA DA ASSEGNARE ALL'AGENZIA SPAZIALE ITALIANA,800000000000.0,Universities and Scientific Research,0,463,True
ASI — Agenzia Spaziale Italiana,science_agency,1993,1993 19921229_304_SO_135.pdf,"Legge 30 maggio 1988, n. 186: Istituzione dell'Agenzia spaziale italiana (cap. 7504)",800000000.0,Ministry of University and Scientific and Technological Research,0,474,True
ASI — Agenzia Spaziale Italiana,science_agency,1993,1993 19921229_304_SO_136.pdf,CONTRIBUTO ALL'AGENZIA SPAZIALE ITALIANA,900000000000.0,Universities and Scientific Research,0,544,True
ASI — Agenzia Spaziale Italiana,science_agency,1994,1994 19931228_303_SO_121.pdf,Agenzia spaziale italiana,800000.0,ASI — Agenzia Spaziale Italiana,0,640,True
ASI — Agenzia Spaziale Italiana,science_agency,1994,1994 19931228_303_SO_121.pdf,Agenzia spaziale italiana,900000.0,ASI — Agenzia Spaziale Italiana,0,641,True
ASI — Agenzia Spaziale Italiana,science_agency,1994,1994 19931228_303_SO_121.pdf,Agenzia spaziale italiana,950000.0,ASI — Agenzia Spaziale Italiana,0,642,True
ASI — Agenzia Spaziale Italiana,science_agency,1994,1994 19931228_303_SO_122.pdf,CONTRIBUTO ALL'AGENZIA SPAZIALE ITALIANA,800000000000.0,Scientific and Technological Research,0,620,True
ASI — Agenzia Spaziale Italiana,science_agency,1995,1995 19941230_304_SO_174.pdf,Istituzione del'Agenzia spaziale italiana,850000.0,ASI — Agenzia Spaziale Italiana,0,736,True
ASI — Agenzia Spaziale Italiana,science_agency,1995,1995 19941230_304_SO_174.pdf,Istituzione del'Agenzia spaziale italiana,750000.0,ASI — Agenzia Spaziale Italiana,0,737,True
ASI — Agenzia Spaziale Italiana,science_agency,1995,1995 19941230_304_SO_175.pdf,CONTRIBUTO ALL'AGENZIA SPAZIALE ITALIANA,850000000000.0,Universities and Scientific Research,0,725,True
ASI — Agenzia Spaziale Italiana,science_agency,1996,1996 19951229_302_SO_153.pdf,Agenzia spaziale italiana,946200.0,ASI — Agenzia Spaziale Italiana,0,839,True
ASI — Agenzia Spaziale Italiana,science_agency,1996,1996 19951229_302_SO_153.pdf,Agenzia spaziale italiana,1150000.0,ASI — Agenzia Spaziale Italiana,0,840,True
ASI — Agenzia Spaziale Italiana,science_agency,1996,1996 19951229_302_SO_153.pdf,Agenzia spaziale italiana,1300000.0,ASI — Agenzia Spaziale Italiana,0,841,True
ASI — Agenzia Spaziale Italiana,science_agency,1996,1996 19951229_302_SO_153.pdf,Total for Agenzia spaziale italiana,3289200.0,ASI — Agenzia Spaziale Italiana,0,842,True
ASI — Agenzia Spaziale Italiana,science_agency,1996,1996 19951229_302_SO_154.pdf,CONTRIBUTO ALL'AGENZIA SPAZIALE ITALIANA PER I PROGRAMMI NAZIONALI E BILATERALI,385950000000.0,Contribution to the Italian Space Agency for National and Bilateral Programs,0,830,True
ASI — Agenzia Spaziale Italiana,science_agency,1997,1997 19961228_303_SO_233.pdf,Agenzia spaziale italiana,1037000.0,ASI — Agenzia Spaziale Italiana,0,855,True
ASI — Agenzia Spaziale Italiana,science_agency,1997,1997 19961228_303_SO_233.pdf,Agenzia spaziale italiana,1232000.0,ASI — Agenzia Spaziale Italiana,0,856,True
ASI — Agenzia Spaziale Italiana,science_agency,1997,1997 19961228_303_SO_233.pdf,Agenzia spaziale italiana,1285000.0,ASI — Agenzia Spaziale Italiana,0,857,True
ASI — Agenzia Spaziale Italiana,science_agency,1997,1997 19961228_303_SO_234.pdf,CONTRIBUTO ALL'AGENZIA SPAZIALE ITALIANA PER I PROGRAMMI NAZIONALI E BILATERALI,369750000000.0,ASI — Agenzia Spaziale Italiana,0,860,True
ASI — Agenzia Spaziale Italiana,science_agency,1997,1997 19961228_303_SO_234.pdf,CONTRIBUTO ALL'AGENZIA SPAZIALE ITALIANA PER I PROGRAMMI DI COLLABORAZIONE CON L'AGENZIA SPAZIALE EUROPEA (ESA),667250000000.0,ASI — Agenzia Spaziale Italiana,0,861,True
ASI — Agenzia Spaziale Italiana,science_agency,2013,2013 20121229_302_SO_212.pdf,Agenzia spaziale italiana,2828009000.0,"Ministry of Education, University and Research",0,986,True
Activation of Program Agreements in Scientific and Technological Research,direct_rd,1996,1996 19951229_302_SO_154.pdf,ATTIVAZIONE DI ACCORDI DI PROGRAMMA NEL SETTORE DELLA RICERCA SCIENTIFICA E TECNOLOGICA,94687000000.0,Activation of Program Agreements in the Scientific and Technological Research Sector,0,834,False
Alternative Energies,direct_rd,1987,1987 19861230_301_SO_125.pdf,CONTRIBUTO AL COMITATO NAZIONALE PER LA RICERCA E PER LO SVILUPPO DELL'ENERGIA NUCLEARE E DELLE ENERGIE ALTERNATIVE (ENEA),590000000000.0,Ministry of University and Scientific and Technological Research,0,140,False
Alternative Energies,direct_rd,1990,1990 19891230_303_SO_098-1.pdf,NERGIE ALTERNATIVE,450000000000.0,ENEA,0,314,False
Amount to be allocated to research and experimentation institutions and entities,direct_rd,1993,1993 19921229_304_SO_136.pdf,SOMMA DA ASSEGNARE ALLE ISTITUZIONI ED ENTI DI RICERCA E SPERIMENTAZIONE,325900000.0,Ministry of University and Scientific and Technological Research,0,497,False
Amount to be allocated to research and experimentation institutions and entities,direct_rd,1995,1995 19941230_304_SO_175.pdf,SOMMA DA ASSEGNARE ALLE ISTITUZIONI ED ENTI DI RICERCA E SPERIMENTAZIONE,325900000.0,Ministry of University and Scientific and Technological Research,0,677,False
Amount to be allocated to research and experimentation institutions and entities,direct_rd,1995,1995 19941230_304_SO_175.pdf,SOMMA DA ASSEGNARE ALLE ISTITUZIONI ED ENTI DI RICERCA E SPERIMENTAZIONE,9013300000.0,Universities and Scientific Research,0,729,False
Amount to be allocated to research and experimentation institutions and entities,direct_rd,1996,1996 19951229_302_SO_154.pdf,"SOMMA DA ASSEGNARE ALLE ISTITUZIONI ED ENTI DI RICERCA E SPERIMENTAZIONE, IN ATTUAZIONE DEL DECRETO DEL PRESIDENTE DELLA REPUBBLICA 12 FEBBRAIO 1991, N. 171",312000000.0,TRANSFERS,0,773,False
Annual Contribution to the International Cancer Research Center in Lyon,direct_rd,1989,1989 19881230_305_SO_114.pdf,"CONTRIBUTO ANNUO AL CENTRO INTERNAZIONALE DI RICERCHE PER IL CANCRO, CON SEDE IN LIONE",1250000000.0,Ministry of University and Scientific and Technological Research,0,287,False
Annual Contribution to the International Cancer Research Center in Lyon,direct_rd,1994,1994 19931228_303_SO_122.pdf,"CONTRIBUTO ANNUO AL CENTRO INTERNAZIONALE DI RICERCHE PER IL CANCRO, CON SEDE IN LIONE",1800000000000.0,Universities and Scientific Research,0,608,False
