country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role,dedup_notes,temporal_flag,qa_flags
Italy,1986,line_item,ENEA,"Agenzia nazionale per le nuove tecnologie, l'energia e lo sviluppo economico sostenibile","National Agency for New Technologies, Energy and Sustainable Economic Development",,Contributo per il piano quinquennale 1985-1989,Contribution for the five-year plan 1985-1989,500000000.0,lira,ITL,direct_rd,include,1.0,1986 19860228_049_SO_013.pdf,20,gpt-4o-mini,extract,,[italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] [italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] ,,,"Outlier: year total 452,708,268,493,165 outside [-53,498,105,659,668, 71,331,122,705,936]",ok
Italy,1986,line_item,MURST,Ministero dell'Università e della Ricerca Scientifica e Tecnologica,Ministry of University and Scientific and Technological Research,,Fondo speciale rotativo per l'innovazione tecnologica,Rotating special fund for technological innovation,250000000.0,lira,ITL,innovation_instruments,include,1.0,1986 19860228_049_SO_013.pdf,20,gpt-4o-mini,extract,,[italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] [italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] ,,,"Outlier: year total 452,708,268,493,165 outside [-53,498,105,659,668, 71,331,122,705,936]",ok
Italy,1986,line_item,MURST,Ministero dell'Università e della Ricerca Scientifica e Tecnologica,Ministry of University and Scientific and Technological Research,,Fondo speciale per la ricerca applicata,Special fund for applied research,250000000.0,lira,ITL,direct_rd,include,1.0,1986 19860228_049_SO_013.pdf,20,gpt-4o-mini,extract,,[italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] [italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] ,,,"Outlier: year total 452,708,268,493,165 outside [-53,498,105,659,668, 71,331,122,705,936]",ok
Italy,1986,line_item,MUR,Ministero dell'università e della ricerca,Ministry of University and Research,,"Legge 24 aprile 1980, n. 146: Disposizioni per la formazione del bilancio annuale e pluriennale dello Stato (legge finanziaria 1980): Art. 36 - Assegnazione a favore dell'Istituto centrale di statistica (cap. 1183)",Allocation in favor of the Central Institute of Statistics (cap. 1183),116000000000.0,lira,ITL,unclear,review,0.4,1986 19860228_049_SO_013.pdf,89,gpt-4o-mini,extract,,[italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] [italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] ,,,"Outlier: year total 452,708,268,493,165 outside [-53,498,105,659,668, 71,331,122,705,936]",ok
Italy,1986,line_item,MUR,Ministero dell'università e della ricerca,Ministry of University and Research,,"Legge 22 dicembre 1977, n. 951: Disposizioni per la formazione del bilancio di previsione dello Stato: Art. 11 - Autorizzazione di spesa in relazione all'articolo 18 del decreto legislativo luogotenenziale del 1° marzo 1945, n. 82, ed agli impegni in materia di personale non statale addetto agli istituti scientifici ed ai centri di studio, di cui al decreto legislativo 7 maggio 1948, n.1167 (cap. 7141) (CNR)","Authorization of expenditure in relation to Article 18 of the legislative decree of March 1, 1945, n. 82, and commitments regarding non-state personnel assigned to scientific institutes and study centers, as per legislative decree of May 7, 1948, n. 1167 (CNR)",698000000000.0,lira,ITL,science_agency,include,1.0,1986 19860228_049_SO_013.pdf,89,gpt-4o-mini,extract,,[italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] [italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] ,,,"Outlier: year total 452,708,268,493,165 outside [-53,498,105,659,668, 71,331,122,705,936]",ok
Italy,1986,line_item,MUR,Ministero dell'università e della ricerca,Ministry of University and Research,,"Legge 22 giugno 1954, n. 385: Sovvenzione straordinaria a favore del Gruppo medaglie d'oro al valor militare (cap. 1193)",Extraordinary subsidy in favor of the Gold Medal Group for military valor (cap. 1193),30000000.0,lira,ITL,unclear,review,0.4,1986 19860228_049_SO_013.pdf,89,gpt-4o-mini,extract,,[italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] [italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] ,,,"Outlier: year total 452,708,268,493,165 outside [-53,498,105,659,668, 71,331,122,705,936]",ok
Italy,1986,line_item,MUR,Ministero dell'università e della ricerca,Ministry of University and Research,,"Legge 16 luglio 1974, n. 407, modificata dalla legge 13 aprile 1977, n. 216: Ratifica ed esecuzione degli accordi firmati a Bruxelles il 23 novembre 1971 nell'ambito del programma europeo di cooperazione scientifica e tecnologica (COST) ed autorizzazione alle spese connesse alla partecipazione italiana ad iniziative da attuarsi in esecuzione del programma medesimo (cap. 7501)","Ratification and execution of agreements signed in Brussels on November 23, 1971, under the European program for scientific and technological cooperation (COST) and authorization for expenses related to Italy's participation in initiatives to be implemented under the program (cap. 7501)",2415000000.0,lira,ITL,rd_adjacent,include,0.7,1986 19860228_049_SO_013.pdf,89,gpt-4o-mini,extract,,[italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] [italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] ,,,"Outlier: year total 452,708,268,493,165 outside [-53,498,105,659,668, 71,331,122,705,936]",ok
Italy,1986,section_total,MUR,Ministero dell'università e della ricerca,Ministry of University and Research,,Totale per il Ministero dell'università e della ricerca,Total for the Ministry of University and Research,698000000000.0,lira,ITL,science_agency,include,1.0,1986 19860228_049_SO_013.pdf,89,gpt-4o-mini,extract,,[italy_macro_total: section aggregate] [italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] [italy_macro_total: section aggregate] [italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] ,section,,"Outlier: year total 452,708,268,493,165 outside [-53,498,105,659,668, 71,331,122,705,936]",ok
Italy,1986,line_item,MINISTERO DELLA SANITA,Ministero della Sanità,Ministry of Health,,"Legge 21 aprile 1977, n. 164: Modifiche alla legge 2 ottobre 1967, n. 947, concernente contributo dell’Italia al Centro internazionale di ricerche per il cancro (cap. 2593)","Law April 21, 1977, n. 164: Amendments to Law October 2, 1967, n. 947, concerning Italy's contribution to the International Cancer Research Center (chapter 2593)",1100000000.0,lira,ITL,direct_rd,include,0.9,1986 19860228_049_SO_013.pdf,99,gpt-4o-mini,extract,,[italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] [italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] ,,,"Outlier: year total 452,708,268,493,165 outside [-53,498,105,659,668, 71,331,122,705,936]",ok
Italy,1986,line_item,MINISTERO DELLA SANITA,Ministero della Sanità,Ministry of Health,,"Legge 22 dicembre 1980, n. 927: Contributo all'Ufficio internazionale delle epizoozie, con sede a Parigi (cap. 1226)","Law December 22, 1980, n. 927: Contribution to the International Office of Epizootics, based in Paris (chapter 1226)",100000000.0,lira,ITL,direct_rd,include,0.7,1986 19860228_049_SO_013.pdf,99,gpt-4o-mini,extract,,[italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] [italy_pre1997_scanned: expect garbled/empty OCR from rotated-column Gazzetta Ufficiale] ,,,"Outlier: year total 452,708,268,493,165 outside [-53,498,105,659,668, 71,331,122,705,936]",ok
