country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Italy,1988,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,gap: no matching rows in this year
Italy,1989,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,gap: no matching rows in this year
Italy,1990,ASI — Agenzia Spaziale Italiana,science_agency,800000000000.0,lira,ITL,line_item,Establishment of the Italian Space Agency,1990 19891229_302_SO_097.pdf,64,"Italian Space Agency, established 1988."
Italy,1991,ASI — Agenzia Spaziale Italiana,science_agency,700000000.0,lira,ITL,line_item,Contribution to the Italian Space Agency,1991 19901231_303_SO_092.pdf,891,"Italian Space Agency, established 1988."
Italy,1992,ASI — Agenzia Spaziale Italiana,science_agency,800000000000.0,lira,ITL,line_item,AMOUNT TO BE ASSIGNED TO THE ITALIAN SPACE AGENCY,1992 19911231_305_SO_094.pdf,902,"Italian Space Agency, established 1988."
Italy,1993,ASI — Agenzia Spaziale Italiana,science_agency,800000000.0,lira,ITL,line_item,"Law May 30, 1988, n. 186: Establishment of the Italian Space Agency",1993 19921229_304_SO_135.pdf,42,"Italian Space Agency, established 1988."
Italy,1994,ASI — Agenzia Spaziale Italiana,science_agency,800000000000.0,lira,ITL,line_item,Contribution to the Italian Space Agency,1994 19931228_303_SO_122.pdf,730,"Italian Space Agency, established 1988."
Italy,1995,ASI — Agenzia Spaziale Italiana,science_agency,850000000000.0,lira,ITL,line_item,CONTRIBUTION TO THE ITALIAN SPACE AGENCY,1995 19941230_304_SO_175.pdf,747,"Italian Space Agency, established 1988."
Italy,1996,ASI — Agenzia Spaziale Italiana,science_agency,385950000000.0,lira,ITL,line_item,Contribution to the Italian Space Agency for National and Bilateral Programs,1996 19951229_302_SO_154.pdf,739,"Italian Space Agency, established 1988."
Italy,1997,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,gap: no matching rows in this year
Italy,2009,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,gap: no matching rows in this year
Italy,2010,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,gap: no matching rows in this year
Italy,2013,ASI — Agenzia Spaziale Italiana,science_agency,2828009000.0,euro,EUR,line_item,Italian Space Agency,2013 20121229_302_SO_212.pdf,240,"Italian Space Agency, established 1988."
Italy,2015,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,gap: no matching rows in this year
Italy,2016,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,gap: no matching rows in this year
Italy,2017,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,gap: no matching rows in this year
Italy,2018,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,gap: no matching rows in this year
Italy,2019,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,gap: no matching rows in this year
Italy,2020,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,gap: no matching rows in this year
