country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Italy,ASI — Agenzia Spaziale Italiana,1988,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,1989,7420060000.0,7420060000.0,1,1989 19881230_305_SO_114.pdf,single,,euro,science_agency
Italy,ASI — Agenzia Spaziale Italiana,1990,800000000000.0,800000000000.0,1,1990 19891229_302_SO_097.pdf,single,ITL,lira,science_agency
Italy,ASI — Agenzia Spaziale Italiana,1991,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,1992,800000000000.0,800000000000.0,1,1992 19911231_305_SO_094.pdf,single,ITL,lira,science_agency
Italy,ASI — Agenzia Spaziale Italiana,1993,900000000000.0,900000000000.0,1,1993 19921229_304_SO_136.pdf,single,ITL,lira,science_agency
Italy,ASI — Agenzia Spaziale Italiana,1994,800000000000.0,800000000000.0,1,1994 19931228_303_SO_122.pdf,single,ITL,lira,science_agency
Italy,ASI — Agenzia Spaziale Italiana,1995,850000000000.0,850000000000.0,1,1995 19941230_304_SO_175.pdf,single,ITL,lira,science_agency
Italy,ASI — Agenzia Spaziale Italiana,1996,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,1997,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,1998,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,1999,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2009,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2010,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2013,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2015,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2016,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2017,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2018,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2019,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2020,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2021,1168172000.0,1168172000.0,1,2021 20201230_322_SO_046.pdf,single,EUR,euro,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2022,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2023,,,0,,gap,,,science_agency
Italy,ASI — Agenzia Spaziale Italiana,2024,20800000.0,20800000.0,1,2024 20231230_303_SO_040-1.pdf,single,EUR,euro,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1986,698000000000.0,698000000000.0,1,1986 19860228_049_SO_013.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1987,400000000000.0,400000000000.0,1,1987 19861230_301_SO_125.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1988,380000000000.0,380000000000.0,1,1988 19880319_066_SO_020.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1989,200000000000.0,200000000000.0,1,1989 19881230_305_SO_114.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1990,550000000000.0,550000000000.0,1,1990 19891229_302_SO_097.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1991,1000000000000.0,1000000000000.0,1,1991 19901231_303_SO_091.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1992,1110000000000.0,1110000000000.0,1,1992 19911231_305_SO_094.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1993,1090000000000.0,1090000000000.0,1,1993 19921229_304_SO_136.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1994,1047000000000.0,1047000000000.0,1,1994 19931228_303_SO_121.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1995,788000000000.0,788000000000.0,1,1995 19941230_304_SO_174.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1996,1050000000000.0,1050000000000.0,1,1996 19951229_302_SO_154.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1997,1000000000000.0,1000000000000.0,1,1997 19961228_303_SO_233.pdf,single,ITL,lira,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1998,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,1999,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2009,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2010,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2013,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2015,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2016,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2017,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2018,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2019,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2020,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2021,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2022,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2023,,,0,,gap,,,science_agency
Italy,CNR — Consiglio Nazionale delle Ricerche,2024,,,0,,gap,,,science_agency
Italy,ENEA,1986,23000000000.0,23000000000.0,1,1986 19860228_049_SO_014.pdf,single,ITL,lira,science_agency
Italy,ENEA,1987,590000000000.0,590000000000.0,1,1987 19861230_301_SO_125.pdf,single,ITL,lira,science_agency
Italy,ENEA,1988,50000000000.0,50000000000.0,1,1988 19880319_066_SO_020.pdf,single,ITL,lira,science_agency
Italy,ENEA,1989,45000000000.0,45000000000.0,1,1989 19881230_305_SO_114.pdf,single,,euro,science_agency
Italy,ENEA,1990,700000000000.0,700000000000.0,1,1990 19891229_302_SO_097.pdf,single,ITL,lira,science_agency
Italy,ENEA,1991,500000000000.0,500000000000.0,1,1991 19901231_303_SO_092.pdf,single,ITL,lira,science_agency
Italy,ENEA,1992,,,0,,gap,,,science_agency
Italy,ENEA,1993,,,0,,gap,,,science_agency
Italy,ENEA,1994,550000000000.0,550000000000.0,1,1994 19931228_303_SO_122.pdf,single,ITL,lira,science_agency
Italy,ENEA,1995,,,0,,gap,,,science_agency
Italy,ENEA,1996,475000000000.0,475000000000.0,1,1996 19951229_302_SO_154.pdf,single,ITL,lira,science_agency
Italy,ENEA,1997,,,0,,gap,,,science_agency
Italy,ENEA,1998,,,0,,gap,,,science_agency
Italy,ENEA,1999,,,0,,gap,,,science_agency
Italy,ENEA,2009,,,0,,gap,,,science_agency
Italy,ENEA,2010,,,0,,gap,,,science_agency
Italy,ENEA,2013,,,0,,gap,,,science_agency
Italy,ENEA,2015,,,0,,gap,,,science_agency
Italy,ENEA,2016,,,0,,gap,,,science_agency
Italy,ENEA,2017,,,0,,gap,,,science_agency
Italy,ENEA,2018,,,0,,gap,,,science_agency
Italy,ENEA,2019,,,0,,gap,,,science_agency
Italy,ENEA,2020,,,0,,gap,,,science_agency
Italy,ENEA,2021,,,0,,gap,,,science_agency
Italy,ENEA,2022,,,0,,gap,,,science_agency
Italy,ENEA,2023,,,0,,gap,,,science_agency
Italy,ENEA,2024,20800000.0,20800000.0,1,2024 20231230_303_SO_040-1.pdf,single,EUR,euro,science_agency
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,1995,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,1996,50000000000.0,50000000000.0,1,1996 19951229_302_SO_154.pdf,single,ITL,lira,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,1997,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,1998,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,1999,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,2009,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,2010,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,2013,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,2015,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,2016,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,2017,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,2018,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,2019,,,0,,gap,,,direct_rd
Italy,FIRST / FAR / FIRB — Fondi per la ricerca,2020,,,0,,gap,,,direct_rd
