country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Italy,1998,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,missing,,"Year absent from raw_rows, but italy_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1998 19971230_302_SO_255.pdf,reextract,,,,5000000000000.0
Italy,1999,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,missing,,"Year absent from raw_rows, but italy_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1999 19981229_302_SO_210.pdf,reextract,,,,5000000000000.0
Italy,2000,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,missing,,"Year absent from raw_rows, but italy_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,2000 19991227_302_SO_227.pdf,reextract,,,,5000000000000.0
Italy,2001,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,ok,,,,,,none,5000000000000.0,ITL,,
Italy,2002,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,missing,,"Year absent from raw_rows, but extracted results contain a matching text row for this agency-year in 2002 20011229_301_SO_285.pdf without a defendable numeric total.",no,,2002 20011229_301_SO_285.pdf,reextract,,,5000000000000.0,
Italy,2003,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (3,693,407,000 in 2003 20021231_305_SO_241.pdf). The gap is downstream of extraction.",no,,2003 20021231_305_SO_241.pdf,reclassify,,,5000000000000.0,
Italy,2004,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (14,750,000,000 in 2004 20031227_299_SO_196-1.pdf). The gap is downstream of extraction.",no,,2004 20031227_299_SO_196-1.pdf,reclassify,,,5000000000000.0,
Italy,2005,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (0 in 2005 20041231_306_SO_193.pdf). The gap is downstream of extraction.",no,,2005 20041231_306_SO_193.pdf,reclassify,,,5000000000000.0,
Italy,2006,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,missing,,"Year absent from raw_rows, but italy_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,2006 20051229_302_SO_211.pdf,reextract,,,5000000000000.0,
Italy,2007,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,missing,,"Year absent from raw_rows, but italy_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,2007 20061227_299_SO_244.pdf,reextract,,,5000000000000.0,
Italy,1998,FIRST / FAR / FIRB — Fondi per la ricerca,direct_rd,ok,,,,,,none,140400000000.0,ITL,,500000000000.0
