country,year,source_file,file_path,missing_agencies
Italy,1993,1993 19921229_304_SO_135.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/1993 19921229_304_SO_135.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,1993,1993 19921229_304_SO_136.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/1993 19921229_304_SO_136.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,1997,1997 19961228_303_SO_233.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/1997 19961228_303_SO_233.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,1997,1997 19961228_303_SO_234.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/1997 19961228_303_SO_234.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,1998,1998 19971230_302_SO_255.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/1998 19971230_302_SO_255.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,1998,1998 19971231_303_SO_257.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/1998 19971231_303_SO_257.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,1999,1999 19981229_302_SO_210.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/1999 19981229_302_SO_210.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,1999,1999 19981230_303_SO_211.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/1999 19981230_303_SO_211.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,2000,2000 19991227_302_SO_227.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/2000 19991227_302_SO_227.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,2000,2000 19991227_302_SO_228.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/2000 19991227_302_SO_228.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,2002,2002 20011229_301_SO_285.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/2002 20011229_301_SO_285.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,2002,2002 20011229_301_SO_286.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/2002 20011229_301_SO_286.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,2006,2006 20051229_302_SO_211.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/2006 20051229_302_SO_211.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,2006,2006 20051229_302_SO_212.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/2006 20051229_302_SO_212.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,2007,2007 20061227_299_SO_244.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/2007 20061227_299_SO_244.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,2007,2007 20061228_300_SO_247.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/2007 20061228_300_SO_247.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,2009,2009 20081230_303_SO_285.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/2009 20081230_303_SO_285.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,2009,2009 20081230_303_SO_286.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/2009 20081230_303_SO_286.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
Italy,2013,2013 20121229_302_SO_212.pdf,/sessions/affectionate-serene-dijkstra/mnt/Innovation-Policy/Data/input/finance_bills/Italy/2013 20121229_302_SO_212.pdf,FOE — Fondo Ordinario per gli Enti di ricerca
