year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1986,CNR — Consiglio Nazionale delle Ricerche,science_agency,698000000000.0,lira,ITL,line_item,1986 19860228_049_SO_013.pdf,89,Data/input/finance_bills/Italy/1986 19860228_049_SO_013.pdf,,"Authorization of expenditure in relation to Article 18 of the legislative decree of March 1, 1945, n. 82, and commitments regarding non-state personnel assigned to scientific institutes and study centers, as per legislative decree of May 7, 1948, n. 1167 (CNR)",covered_by_final_series,,,Italy's main multidisciplinary research council. MUR-supervised.
1986,ENEA,science_agency,500000000.0,lira,ITL,line_item,1986 19860228_049_SO_013.pdf,20,Data/input/finance_bills/Italy/1986 19860228_049_SO_013.pdf,,Contribution for the five-year plan 1985-1989,covered_by_final_series,,,Energy and environment research agency. MUR-supervised.
1986,INFN — Istituto Nazionale di Fisica Nucleare,science_agency,220000000.0,lira,ITL,line_item,1986 19860228_049_SO_014.pdf,426,Data/input/finance_bills/Italy/1986 19860228_049_SO_014.pdf,,CONTRIBUTION TO THE NATIONAL INSTITUTE OF NUCLEAR PHYSICS,covered_by_final_series,,,National nuclear physics institute. MUR-supervised.
1987,CNR — Consiglio Nazionale delle Ricerche,science_agency,400000000000.0,lira,ITL,line_item,1987 19861230_301_SO_125.pdf,166,Data/input/finance_bills/Italy/1987 19861230_301_SO_125.pdf,,Extraordinary contributions to the National Research Council for the implementation of national space programs,covered_by_final_series,,,Italy's main multidisciplinary research council. MUR-supervised.
1987,ENEA,science_agency,590000000000.0,lira,ITL,line_item,1987 19861230_301_SO_125.pdf,695,Data/input/finance_bills/Italy/1987 19861230_301_SO_125.pdf,,Contribution to the National Committee for Research and Development of Nuclear Energy and Alternative Energies (ENEA),covered_by_final_series,,,Energy and environment research agency. MUR-supervised.
1987,INFN — Istituto Nazionale di Fisica Nucleare,science_agency,230000000000.0,lira,ITL,line_item,1987 19861230_301_SO_125.pdf,431,Data/input/finance_bills/Italy/1987 19861230_301_SO_125.pdf,,CONTRIBUTION TO THE NATIONAL INSTITUTE OF NUCLEAR PHYSICS (I.N.F.N.),covered_by_final_series,,,National nuclear physics institute. MUR-supervised.
1988,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1988,CNR — Consiglio Nazionale delle Ricerche,science_agency,380000000000.0,lira,ITL,line_item,1988 19880319_066_SO_020.pdf,166,Data/input/finance_bills/Italy/1988 19880319_066_SO_020.pdf,,Extraordinary contributions to the National Research Council for the implementation of national space programs,covered_by_final_series,,,Italy's main multidisciplinary research council. MUR-supervised.
1988,ENEA,science_agency,50000000000.0,lira,ITL,line_item,1988 19880319_066_SO_020.pdf,168,Data/input/finance_bills/Italy/1988 19880319_066_SO_020.pdf,,Contribution to ENEA for the National Research Program in Antarctica,covered_by_final_series,,,Energy and environment research agency. MUR-supervised.
1988,INFN — Istituto Nazionale di Fisica Nucleare,science_agency,240000000.0,lira,ITL,line_item,1988 19880319_066_SO_020.pdf,456,Data/input/finance_bills/Italy/1988 19880319_066_SO_020.pdf,,CONTRIBUTION TO THE NATIONAL INSTITUTE OF NUCLEAR PHYSICS (C.N.F.N.),covered_by_final_series,,,National nuclear physics institute. MUR-supervised.
1989,ASI — Agenzia Spaziale Italiana,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1989,CNR — Consiglio Nazionale delle Ricerche,science_agency,200000000000.0,lira,ITL,line_item,1989 19881230_305_SO_114.pdf,5,Data/input/finance_bills/Italy/1989 19881230_305_SO_114.pdf,,Research funding for the CNR,covered_by_final_series,,,Italy's main multidisciplinary research council. MUR-supervised.
1989,ENEA,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1989,INFN — Istituto Nazionale di Fisica Nucleare,science_agency,280000000.0,lira,ITL,line_item,1989 19881230_305_SO_114.pdf,280,Data/input/finance_bills/Italy/1989 19881230_305_SO_114.pdf,,Contribution to the National Institute of Nuclear Physics for the 1989-1993 five-year period,covered_by_final_series,,,National nuclear physics institute. MUR-supervised.
1989,Ministero dell'università e della ricerca (MUR/MIUR/MURST),ministry,,,,,,,,,,covered_by_final_series,,,"Italy's main R&D ministry: MURST 1989–1999, MIUR 1999–2020, MUR 2020+.; excluded from final Italy panel: broad ministry/mission aggregate retained only for audit traceability"
1990,ASI — Agenzia Spaziale Italiana,science_agency,800000000000.0,lira,ITL,line_item,1990 19891229_302_SO_097.pdf,64,Data/input/finance_bills/Italy/1990 19891229_302_SO_097.pdf,,Establishment of the Italian Space Agency,covered_by_final_series,,,"Italian Space Agency, established 1988."
1990,CNR — Consiglio Nazionale delle Ricerche,science_agency,550000000000.0,lira,ITL,line_item,1990 19891229_302_SO_097.pdf,64,Data/input/finance_bills/Italy/1990 19891229_302_SO_097.pdf,,Contribution to the CNR,covered_by_final_series,,,Italy's main multidisciplinary research council. MUR-supervised.
1990,ENEA,science_agency,700000000000.0,lira,ITL,line_item,1990 19891229_302_SO_097.pdf,40,Data/input/finance_bills/Italy/1990 19891229_302_SO_097.pdf,,ENEA financing plan,covered_by_final_series,,,Energy and environment research agency. MUR-supervised.
1990,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,10000000000.0,lira,ITL,line_item,1990 19891229_302_SO_097.pdf,28,Data/input/finance_bills/Italy/1990 19891229_302_SO_097.pdf,,Ordinary Fund for Research Entities,covered_by_final_series,,,"Main block grant to MUR-supervised research institutes (CNR, ENEA, ASI, INFN, INAF)."
1990,INFN — Istituto Nazionale di Fisica Nucleare,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1990,Ministero dell'università e della ricerca (MUR/MIUR/MURST),ministry,,,,,,,,,,covered_by_final_series,,,"Italy's main R&D ministry: MURST 1989–1999, MIUR 1999–2020, MUR 2020+.; excluded from final Italy panel: broad ministry/mission aggregate retained only for audit traceability"
1991,ASI — Agenzia Spaziale Italiana,science_agency,700000000.0,lira,ITL,line_item,1991 19901231_303_SO_092.pdf,891,Data/input/finance_bills/Italy/1991 19901231_303_SO_092.pdf,,Contribution to the Italian Space Agency,covered_by_final_series,,,"Italian Space Agency, established 1988."
1991,CNR — Consiglio Nazionale delle Ricerche,science_agency,1000000000000.0,lira,ITL,line_item,1991 19901231_303_SO_091.pdf,53,Data/input/finance_bills/Italy/1991 19901231_303_SO_091.pdf,,Contribution to CNR,covered_by_final_series,,,Italy's main multidisciplinary research council. MUR-supervised.
1991,ENEA,science_agency,500000000000.0,lira,ITL,line_item,1991 19901231_303_SO_092.pdf,289,Data/input/finance_bills/Italy/1991 19901231_303_SO_092.pdf,,Funding plan for ENEA,covered_by_final_series,,,Energy and environment research agency. MUR-supervised.
1991,FOE — Fondo Ordinario per gli Enti di ricerca,direct_rd,4000000000.0,lira,ITL,program_total,1991 19901231_303_SO_092.pdf,745,Data/input/finance_bills/Italy/1991 19901231_303_SO_092.pdf,,Ordinary Fund for Research Entities,covered_by_final_series,,,"Main block grant to MUR-supervised research institutes (CNR, ENEA, ASI, INFN, INAF)."
1991,INFN — Istituto Nazionale di Fisica Nucleare,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
