source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1986 19860228_049_SO_013.pdf,Data/input/finance_bills/Italy/1986 19860228_049_SO_013.pdf,,0,,,,,not_used_in_final_series,
1986 19860228_049_SO_014.pdf,Data/input/finance_bills/Italy/1986 19860228_049_SO_014.pdf,,0,,,,,not_used_in_final_series,
1987 19861230_301_SO_124.pdf,Data/input/finance_bills/Italy/1987 19861230_301_SO_124.pdf,,0,,,,,not_used_in_final_series,
1987 19861230_301_SO_125.pdf,Data/input/finance_bills/Italy/1987 19861230_301_SO_125.pdf,,0,,,,,not_used_in_final_series,
1988 19880319_066_SO_020.pdf,Data/input/finance_bills/Italy/1988 19880319_066_SO_020.pdf,,0,,,,,not_used_in_final_series,
1989 19881230_305_SO_114.pdf,Data/input/finance_bills/Italy/1989 19881230_305_SO_114.pdf,,0,,,,,not_used_in_final_series,
1990 19891229_302_SO_097.pdf,Data/input/finance_bills/Italy/1990 19891229_302_SO_097.pdf,,0,,,,,not_used_in_final_series,
1990 19891230_303_SO_098-1.pdf,Data/input/finance_bills/Italy/1990 19891230_303_SO_098-1.pdf,,0,,,,,not_used_in_final_series,
1991 19901231_303_SO_091.pdf,Data/input/finance_bills/Italy/1991 19901231_303_SO_091.pdf,,0,,,,,not_used_in_final_series,
1991 19901231_303_SO_092.pdf,Data/input/finance_bills/Italy/1991 19901231_303_SO_092.pdf,,0,,,,,not_used_in_final_series,
1992 19911231_305_SO_093.pdf,Data/input/finance_bills/Italy/1992 19911231_305_SO_093.pdf,,0,,,,,not_used_in_final_series,
1992 19911231_305_SO_094.pdf,Data/input/finance_bills/Italy/1992 19911231_305_SO_094.pdf,,0,,,,,not_used_in_final_series,
1993 19921229_304_SO_135.pdf,Data/input/finance_bills/Italy/1993 19921229_304_SO_135.pdf,,0,,,,,not_used_in_final_series,
1993 19921229_304_SO_136.pdf,Data/input/finance_bills/Italy/1993 19921229_304_SO_136.pdf,,0,,,,,not_used_in_final_series,
1994 19931228_303_SO_121.pdf,Data/input/finance_bills/Italy/1994 19931228_303_SO_121.pdf,,0,,,,,not_used_in_final_series,
1994 19931228_303_SO_122.pdf,Data/input/finance_bills/Italy/1994 19931228_303_SO_122.pdf,,0,,,,,not_used_in_final_series,
1995 19941230_304_SO_174.pdf,Data/input/finance_bills/Italy/1995 19941230_304_SO_174.pdf,,0,,,,,not_used_in_final_series,
1995 19941230_304_SO_175.pdf,Data/input/finance_bills/Italy/1995 19941230_304_SO_175.pdf,,0,,,,,not_used_in_final_series,
1996 19951229_302_SO_153.pdf,Data/input/finance_bills/Italy/1996 19951229_302_SO_153.pdf,,0,,,,,not_used_in_final_series,
1996 19951229_302_SO_154.pdf,Data/input/finance_bills/Italy/1996 19951229_302_SO_154.pdf,,0,,,,,not_used_in_final_series,
1997 19961228_303_SO_233.pdf,Data/input/finance_bills/Italy/1997 19961228_303_SO_233.pdf,,0,,,,,not_used_in_final_series,
1997 19961228_303_SO_234.pdf,Data/input/finance_bills/Italy/1997 19961228_303_SO_234.pdf,,0,,,,,not_used_in_final_series,
