canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2000,2000 DL200011001.pdf,産業技術総合研究所に必要な経費,7743321.0,National Institute of Advanced Industrial Science and Technology,0,2529,False
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2003,2003 DL200311001.pdf,独立行政法人産業技術総合研究所運営費,68411330.0,"Ministry of Economy, Trade and Industry",0,1012,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2003,2003 DL200311001.pdf,独立行政法人産業技術総合研究所施設整備費,4385000.0,"Ministry of Economy, Trade and Industry",0,1013,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2003,2003 DL200311001.pdf,中小企業新技術の研究開発の推進を図るための中小企業創造技術研究開発事業等の独立行政法人産業技術総合研究所等への委託等,2000000.0,Promotion of New Technologies for Small and Medium Enterprises,0,1038,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2004,2004 DL200411001.pdf,独立行政法人産業技術総合研究所運営費,68218340.0,"Ministry of Economy, Trade and Industry",0,1057,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2004,2004 DL200411001.pdf,独立行政法人産業技術総合研究所施設整備費,3340000.0,"Ministry of Economy, Trade and Industry",0,1058,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2005,2005 DL200511001.pdf,独立行政法人産業技術総合研究所運営費,67431520.0,"Ministry of Economy, Trade and Industry",0,1112,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2006,2006 DL200611001.pdf,AIST Operating Expenses,994220.0,AIST (National Institute of Advanced Industrial Science and Technology),0,1207,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2006,2006 DL200611001.pdf,AIST Facility Improvement Costs,5800000.0,AIST (National Institute of Advanced Industrial Science and Technology),0,1208,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2006,2006 DL200611001.pdf,AIST Operating Expenses,549.0,AIST (National Institute of Advanced Industrial Science and Technology),0,1209,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2006,2006 DL200611001.pdf,AIST Facility Improvement Costs,687.0,AIST (National Institute of Advanced Industrial Science and Technology),0,1210,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2007,2007 DL200711001.pdf,独立行政法人産業技術総合研究所運営費,65682368.0,"Ministry of Economy, Trade and Industry",0,2560,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2010,2010 DL201011001.pdf,独立行政法人産業技術総合研究所運営費交付金に必要な経費,61406811.0,"Ministry of Economy, Trade and Industry",0,1416,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2010,2010 DL201011001.pdf,独立行政法人産業技術総合研究所施設整備に必要な経費,1321061.0,"Ministry of Economy, Trade and Industry",0,1417,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2011,2011 DL201111001.pdf,独立行政法人産業技術総合研究所運営費交付金に必要な経費,60390000.0,"Ministry of Economy, Trade and Industry",0,1490,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2011,2011 DL201111001.pdf,独立行政法人産業技術総合研究所施設整備に必要な経費,1599993.0,"Ministry of Economy, Trade and Industry",0,1491,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2012,2012 DL201211001.pdf,産業技術総合研究所運営費,79500000000.0,"Ministry of Economy, Trade and Industry",0,1545,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2013,2013 DL201311001.pdf,独立行政法人産業技術総合研究所の行う業務の財源の一部に充てるための同研究所に対する運営費交付金の交付,60078300.0,Operating Expenses for the National Institute of Advanced Industrial Science and Technology,0,1611,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2013,2013 DL201311001.pdf,独立行政法人産業技術総合研究所運営費交付金に必要な経費,60078300.0,Operating Expenses for the National Institute of Advanced Industrial Science and Technology,0,2610,True
AIST (National Institute of Advanced Industrial Science and Technology),science_agency,2014,2014 DL201411001.pdf,独立行政法人産業技術総合研究所運営費交付金に必要な経費,60832599.0,Operating Expenses for the National Institute of Advanced Industrial Science and Technology,0,1649,True
