country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,研究振興費,Research Promotion Expenses,279433113.0,thousand,JPY,higher_education,review,0.9,2015 DL201511001.pdf,61,gpt-4o-mini,extract,
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,研究開発推進費,Research and Development Promotion Expenses,131194684.0,thousand,JPY,direct_rd,include,0.9,2015 DL201511001.pdf,61,gpt-4o-mini,extract,
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,国立研究開発法人科学技術振興機構運営費,Operating Expenses for Japan Science and Technology Agency,100553048.0,thousand,JPY,science_agency,include,0.9,2015 DL201511001.pdf,61,gpt-4o-mini,extract,
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,国立研究開発法人物質・材料研究機構運営費,Operating Expenses for National Institute for Materials Science,11917948.0,thousand,JPY,science_agency,include,0.9,2015 DL201511001.pdf,61,gpt-4o-mini,extract,
Japan,2015,line_item,経済産業省,経済産業省,"Ministry of Economy, Trade and Industry",,国立研究開発法人産業技術総合研究所運営費,Operating Expenses for the National Institute of Advanced Industrial Science and Technology,61787122.0,thousand,JPY,science_agency,include,0.9,2015 DL201511001.pdf,77,gpt-4o-mini,extract,Core operating funding for a dedicated research agency.
Japan,2015,line_item,経済産業省,経済産業省,"Ministry of Economy, Trade and Industry",,国立研究開発法人新エネルギー・産業技術総合開発機構運営費,Operating Expenses for the New Energy and Industrial Technology Development Organization,7791536.0,thousand,JPY,science_agency,include,0.9,2015 DL201511001.pdf,77,gpt-4o-mini,extract,Core operating funding for a dedicated research agency.
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,科学研究費補助,Scientific Research Fund Subsidy,7987390.0,thousand,JPY,higher_education,include,1.0,2015 DL201511001.pdf,146,gpt-4o-mini,extract,
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,国立大学法人施設整備費補助,National University Corporation Facility Improvement Subsidy,33736355.0,thousand,JPY,higher_education,include,1.0,2015 DL201511001.pdf,146,gpt-4o-mini,extract,
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,国際熱核融合実験炉研究開発費補助,International Thermonuclear Experimental Reactor Research and Development Subsidy,5592840.0,thousand,JPY,direct_rd,include,1.0,2015 DL201511001.pdf,147,gpt-4o-mini,extract,
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,地球観測システム研究開発費補助,Earth Observation System Research and Development Subsidy,768571.0,thousand,JPY,direct_rd,include,1.0,2015 DL201511001.pdf,148,gpt-4o-mini,extract,
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,先進的核融合研究開発費補助,Advanced Fusion Research and Development Subsidy,237168.0,thousand,JPY,direct_rd,include,1.0,2015 DL201511001.pdf,149,gpt-4o-mini,extract,
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,国際宇宙ステーション開発費補助,International Space Station Development Subsidy,20710686.0,thousand,JPY,direct_rd,include,1.0,2015 DL201511001.pdf,149,gpt-4o-mini,extract,
Japan,2015,line_item,5203-75,国立研究開発法人医薬基盤・健康・栄養研究所納付金,"National Institute of Biomedical Innovation, Health and Nutrition",,国立研究開発法人医薬基盤・健康・栄養研究所納付金,"National Institute of Biomedical Innovation, Health and Nutrition",1143792.0,thousand,JPY,science_agency,include,0.9,2015 DL201511001.pdf,228,gpt-4o-mini,extract,
Japan,2015,line_item,5203-02,国立研究開発法人国立がん研究センター納付金,National Cancer Center,,国立研究開発法人国立がん研究センター納付金,National Cancer Center,1809683.0,thousand,JPY,science_agency,include,0.9,2015 DL201511001.pdf,228,gpt-4o-mini,extract,
Japan,2015,line_item,5203-57,国立研究開発法人国立成育医療研究センター納付金,National Center for Child Health and Development,,国立研究開発法人国立成育医療研究センター納付金,National Center for Child Health and Development,1929369.0,thousand,JPY,science_agency,include,0.9,2015 DL201511001.pdf,228,gpt-4o-mini,extract,
Japan,2015,line_item,5203-71,国立研究開発法人国立長寿医療研究センター納付金,National Center for Geriatrics and Gerontology,,国立研究開発法人国立長寿医療研究センター納付金,National Center for Geriatrics and Gerontology,1156559.0,thousand,JPY,science_agency,include,0.9,2015 DL201511001.pdf,228,gpt-4o-mini,extract,
Japan,2015,line_item,06,内閣府,Cabinet Office,,科学技術振興費,Science and Technology Promotion Expenses,71007063.0,thousand,JPY,direct_rd,review,0.9,2015 DL201511001.pdf,311,gpt-4o-mini,extract,Direct funding for science and technology promotion.
Japan,2015,line_item,06,内閣府,Cabinet Office,,宇宙開発利用政策費,Space Development and Utilization Policy Expenses,15037547.0,thousand,JPY,direct_rd,include,0.9,2015 DL201511001.pdf,314,gpt-4o-mini,extract,Funding for space development and utilization policies.
Japan,2015,line_item,06,内閣府,Cabinet Office,,実用準天頂衛星システム開発等委託費,Commissioned Expenses for Development of Quasi-Zenith Satellite System,1496839.0,thousand,JPY,direct_rd,include,0.9,2015 DL201511001.pdf,324,gpt-4o-mini,extract,Funding for the development of the quasi-zenith satellite system.
Japan,2015,line_item,06,内閣府,Cabinet Office,,科学技術・イノベーション政策の企画立案等に必要な経費,Expenses necessary for planning and drafting science and technology innovation policies,388293.0,thousand,JPY,unclear,review,0.5,2015 DL201511001.pdf,314,gpt-4o-mini,extract,Mixed-purpose ministry; includes non-R&D components.
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,科学技術関係人材の育成等に必要な経費,Expenses necessary for the development of human resources related to science and technology,11000000.0,thousand,JPY,unclear,review,0.5,2015 DL201511001.pdf,564,gpt-4o-mini,extract,"Ambiguous, may include non-R&D components"
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,研究大学強化促進事業等に要する経費の大学に対する補助等,Subsidies to universities for expenses related to the promotion of research university strengthening projects,234403713.0,thousand,JPY,higher_education,include,0.9,2015 DL201511001.pdf,565,gpt-4o-mini,extract,Direct funding for research activities at universities
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,ライフサイエンス分野の研究開発に要する経費の国立研究開発法人日本医療研究開発機構に対する補助等,Subsidies to the National Research and Development Agency for expenses related to research and development in the life sciences field,18828393.0,thousand,JPY,direct_rd,include,0.9,2015 DL201511001.pdf,566,gpt-4o-mini,extract,Direct funding for life sciences research
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,国立研究開発法人理化学研究所運営費交付金に必要な経費,Expenses necessary for the operating expenses of the RIKEN research institute,53118591.0,thousand,JPY,science_agency,include,0.9,2015 DL201511001.pdf,569,gpt-4o-mini,extract,Core operating funding for RIKEN
Japan,2015,line_item,文部科学省,文部科学省,"Ministry of Education, Culture, Sports, Science and Technology",,国立研究開発法人宇宙航空研究開発機構運営費交付金に必要な経費,Expenses necessary for the operating expenses of the Japan Aerospace Exploration Agency,112132984.0,thousand,JPY,science_agency,include,0.9,2015 DL201511001.pdf,568,gpt-4o-mini,extract,Core operating funding for JAXA
Japan,2015,line_item,13073-2125-14,科学技術試験研究委託費,Science and Technology Trial Research Commission Expenses,,科学技術試験研究委託費,Science and Technology Trial Research Commission Expenses,5000.0,thousand,JPY,direct_rd,include,0.9,2015 DL201511001.pdf,576,gpt-4o-mini,extract,
Japan,2015,line_item,13073-2125-14,科学技術基礎調査等委託費,Basic Science and Technology Survey Commission Expenses,,科学技術基礎調査等委託費,Basic Science and Technology Survey Commission Expenses,3615.0,thousand,JPY,direct_rd,include,0.9,2015 DL201511001.pdf,576,gpt-4o-mini,extract,
Japan,2015,line_item,13073-2305-16,国立大学法人先端研究推進費補助金,National University Corporation Advanced Research Promotion Subsidy,,国立大学法人先端研究推進費補助金,National University Corporation Advanced Research Promotion Subsidy,6005859.0,thousand,JPY,higher_education,include,0.9,2015 DL201511001.pdf,576,gpt-4o-mini,extract,
Japan,2015,line_item,13073-2125-14,科学技術試験研究委託費,Science and Technology Trial Research Commission Expenses,,科学技術試験研究委託費,Science and Technology Trial Research Commission Expenses,2739502.0,thousand,JPY,direct_rd,include,0.9,2015 DL201511001.pdf,577,gpt-4o-mini,extract,
Japan,2015,line_item,13073-2305-16,科学研究費補助金,Scientific Research Fund Subsidy,,科学研究費補助金,Scientific Research Fund Subsidy,133133000.0,thousand,JPY,direct_rd,include,0.9,2015 DL201511001.pdf,577,gpt-4o-mini,extract,
Japan,2015,line_item,13073-2305-16,学術研究助成基金補助金,Academic Research Grant Fund Subsidy,,学術研究助成基金補助金,Academic Research Grant Fund Subsidy,94156000.0,thousand,JPY,direct_rd,include,0.9,2015 DL201511001.pdf,577,gpt-4o-mini,extract,
Japan,2015,line_item,13073-2305-16,研究大学強化促進費補助金,Research University Strengthening Promotion Subsidy,,研究大学強化促進費補助金,Research University Strengthening Promotion Subsidy,6200000.0,thousand,JPY,higher_education,include,0.9,2015 DL201511001.pdf,577,gpt-4o-mini,extract,
Japan,2015,line_item,13073-2305-16,高性能汎用計算機高度利用事業費補助金,High-Performance General-Purpose Computer Utilization Project Subsidy,,高性能汎用計算機高度利用事業費補助金,High-Performance General-Purpose Computer Utilization Project Subsidy,1989550.0,thousand,JPY,research_infrastructure,include,0.9,2015 DL201511001.pdf,577,gpt-4o-mini,extract,
