country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Japan,2001,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,69310487000.0,yen,JPY,line_item,運営費交付金,2001 DL200111001.pdf,684,
Japan,2002,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,68411330000.0,yen,JPY,verified_override,Verified against original Japan budget tables,2002 DL200211001.pdf,,manual override from original Japan budget file
Japan,2003,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,68411330000.0,yen,JPY,line_item,Operating expenses for the National Institute of Advanced Industrial Science and Technology,2003 DL200311001.pdf,67,
Japan,2004,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,68218340000.0,yen,JPY,line_item,Operating Expenses of the National Institute of Advanced Industrial Science and Technology,2004 DL200411001.pdf,67,
Japan,2005,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,67431520000.0,yen,JPY,verified_override,Verified against original Japan budget tables,2005 DL200511001.pdf,,manual override from original Japan budget file
Japan,2006,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,,,,,,,,gap: no matching rows in this year
Japan,2007,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,65682368000.0,yen,JPY,program_total,Operating Expenses for National Institute of Advanced Industrial Science and Technology,2007 DL200711001.pdf,66,
Japan,2008,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,64237356000.0,yen,JPY,verified_override,Verified against original Japan budget tables,2008 DL200811001.pdf,,manual override from original Japan budget file
Japan,2009,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,63305991000.0,yen,JPY,verified_override,Verified against original Japan budget tables,2009 DL200911001.pdf,,manual override from original Japan budget file
Japan,2010,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,61406811000.0,yen,JPY,verified_override,Verified against original Japan budget tables,2010 DL201011001.pdf,,manual override from original Japan budget file
Japan,2011,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,60390000000.0,yen,JPY,line_item,Expenses necessary for the operating subsidy for the National Institute of Advanced Industrial Science and Technology,2011 DL201111001.pdf,750,
Japan,2012,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,,,,,,,,gap: no matching rows in this year
Japan,2013,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,60078300000.0,yen,JPY,line_item,Grant for operating expenses to cover part of the funding for the operations of the National Institute of Advanced Industrial Science and Technology,2013 DL201311001.pdf,754,
Japan,2014,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,60832599000.0,yen,JPY,line_item,Expenses necessary for the operating expenses grant for the National Institute of Advanced Industrial Science and Technology,2014 DL201411001.pdf,1015,
Japan,2015,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,61787122000.0,yen,JPY,line_item,Operating expenses grant for National Institute of Advanced Industrial Science and Technology,2015 DL201511001.pdf,803,
Japan,2016,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,62847560000.0,yen,JPY,verified_override,Verified against original Japan budget tables,2016 DL201611001.pdf,,manual override from original Japan budget file
Japan,2017,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,62440586000.0,yen,JPY,line_item,Operating expenses for National Institute of Advanced Industrial Science and Technology,2017 DL201711001.pdf,800,
Japan,2018,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,61924777000.0,yen,JPY,line_item,Expenses necessary for the operating expenses grant for the National Institute of Advanced Industrial Science and Technology,2018 DL201811001.pdf,797,
Japan,2019,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,62342817000.0,yen,JPY,line_item,Expenses necessary for the operating expenses grant for the National Institute of Advanced Industrial Science and Technology,2019 DL201911001.pdf,1123,
Japan,2020,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,742799000.0,yen,JPY,line_item,Operating subsidy for AIST,2020 DL202011001.pdf,829,
Japan,2021,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,61984113000.0,yen,JPY,line_item,Expenses necessary for the operating expenses grant for the National Institute of Advanced Industrial Science and Technology,2021 DL202111001.pdf,829,
Japan,2022,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,61484113000.0,yen,JPY,line_item,Expenses necessary for the operating subsidy of the National Research and Development Agency for Industrial Technology,2022 DL202211001.pdf,802,
Japan,2023,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,61800000000.0,yen,JPY,line_item,Operating expenses for the National Research and Development Agency National Institute of Advanced Industrial Science and Technology,2023 DL202311001.pdf,827,
Japan,2024,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,65000661000.0,yen,JPY,verified_override,Verified against original Japan budget tables,2024 DL202411001.pdf,,manual override from original Japan budget file
Japan,2025,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,66687223000.0,yen,JPY,line_item,Operating subsidy for AIST,2025 DL202511001.pdf,843,
Japan,1975,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1976,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1977,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1978,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1979,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1980,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1981,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1982,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1983,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1984,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1985,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1986,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1987,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1988,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1989,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1990,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1991,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1992,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1993,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1994,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1995,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1996,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1997,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1998,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,1999,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2000,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2001,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2002,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2003,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2004,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2005,Institute for Science and Technology Policy,unclear,883528000.0,yen,JPY,line_item,Expenses necessary for the Science and Technology Policy Institute,2005 DL200511001.pdf,501,"The entity focuses on science and technology policy, which typically involves R&D considerations."
Japan,2006,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2007,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2008,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2009,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2010,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2011,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2012,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2013,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2014,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2015,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2016,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2017,Institute for Science and Technology Policy,unclear,784409000.0,yen,JPY,line_item,Institute for Science and Technology Policy,2017 DL201711001.pdf,593,"The entity focuses on science and technology policy, which typically involves R&D considerations."
Japan,2018,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
Japan,2019,Institute for Science and Technology Policy,unclear,,,,,,,,gap: no matching rows in this year
