country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Japan,AIST (National Institute of Advanced Industrial Science and Technology),2015,61787122.0,61787122.0,1,2015 DL201511001.pdf,single,JPY,thousand,science_agency
Japan,AIST (National Institute of Advanced Industrial Science and Technology),2016,62847560.0,62847560.0,1,2016 DL201611001.pdf,single,JPY,thousand,science_agency
Japan,AIST (National Institute of Advanced Industrial Science and Technology),2017,,,0,,gap,,,science_agency
Japan,AIST (National Institute of Advanced Industrial Science and Technology),2018,61924777.0,61924777.0,1,2018 DL201811001.pdf,single,JPY,thousand,science_agency
Japan,AIST (National Institute of Advanced Industrial Science and Technology),2019,62342817.0,62342817.0,1,2019 DL201911001.pdf,single,JPY,thousand,science_agency
Japan,AIST (National Institute of Advanced Industrial Science and Technology),2020,,,0,,gap,,,science_agency
Japan,AIST (National Institute of Advanced Industrial Science and Technology),2021,61984113.0,61984113.0,1,2021 DL202111001.pdf,single,JPY,thousand,science_agency
Japan,AIST (National Institute of Advanced Industrial Science and Technology),2022,61484113.0,61484113.0,1,2022 DL202211001.pdf,single,JPY,thousand,science_agency
Japan,AIST (National Institute of Advanced Industrial Science and Technology),2023,61800000.0,61800000.0,1,2023 DL202311001.pdf,single,JPY,thousand,science_agency
Japan,AIST (National Institute of Advanced Industrial Science and Technology),2024,65000661.0,65000661.0,1,2024 DL202411001.pdf,single,JPY,thousand,science_agency
Japan,AIST (National Institute of Advanced Industrial Science and Technology),2025,66687223.0,66687223.0,1,2025 DL202511001.pdf,single,JPY,thousand,science_agency
Japan,JAEA (Japan Atomic Energy Agency),2015,574000000.0,574000000.0,1,2015 DL201511001.pdf,single,JPY,thousand,science_agency
Japan,JAEA (Japan Atomic Energy Agency),2016,,,0,,gap,,,science_agency
Japan,JAEA (Japan Atomic Energy Agency),2017,34614821.0,34614821.0,1,2017 DL201711001.pdf,single,JPY,thousand,science_agency
Japan,JAEA (Japan Atomic Energy Agency),2018,36991207.0,36991207.0,1,2018 DL201811001.pdf,single,JPY,thousand,science_agency
Japan,JAEA (Japan Atomic Energy Agency),2019,36393856.0,36393856.0,1,2019 DL201911001.pdf,single,JPY,thousand,science_agency
Japan,JAEA (Japan Atomic Energy Agency),2020,,,0,,gap,,,science_agency
Japan,JAEA (Japan Atomic Energy Agency),2021,36379870.0,36379870.0,1,2021 DL202111001.pdf,single,JPY,thousand,science_agency
Japan,JAEA (Japan Atomic Energy Agency),2022,380061000.0,380061000.0,1,2022 DL202211001.pdf,single,JPY,thousand,science_agency
Japan,JAEA (Japan Atomic Energy Agency),2023,,,0,,gap,,,science_agency
Japan,JAEA (Japan Atomic Energy Agency),2024,,,0,,gap,,,science_agency
Japan,JAEA (Japan Atomic Energy Agency),2025,37466362.0,37466362.0,1,2025 DL202511001.pdf,single,JPY,thousand,science_agency
Japan,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),2015,33512223.0,33512223.0,1,2015 DL201511001.pdf,single,JPY,thousand,science_agency
Japan,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),2016,30618486.0,30618486.0,1,2016 DL201611001.pdf,single,JPY,thousand,science_agency
Japan,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),2017,30618486.0,30618486.0,1,2017 DL201711001.pdf,single,JPY,thousand,science_agency
Japan,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),2018,31260631.0,31260631.0,1,2018 DL201811001.pdf,single,JPY,thousand,science_agency
Japan,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),2019,32069528.0,32069528.0,1,2019 DL201911001.pdf,single,JPY,thousand,science_agency
Japan,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),2020,31843418.0,31843418.0,1,2020 DL202011001.pdf,single,JPY,thousand,science_agency
Japan,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),2021,29708549.0,29708549.0,1,2021 DL202111001.pdf,single,JPY,thousand,science_agency
Japan,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),2022,30292576.0,30292576.0,1,2022 DL202211001.pdf,single,JPY,thousand,science_agency
Japan,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),2023,30621991.0,30621991.0,1,2023 DL202311001.pdf,single,JPY,thousand,science_agency
Japan,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),2024,30366656.0,30366656.0,1,2024 DL202411001.pdf,single,JPY,thousand,science_agency
Japan,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),2025,30900656.0,30900656.0,1,2025 DL202511001.pdf,single,JPY,thousand,science_agency
Japan,JAXA (Japan Aerospace Exploration Agency),2015,114471942.0,114471942.0,1,2015 DL201511001.pdf,single,JPY,thousand,science_agency
Japan,JAXA (Japan Aerospace Exploration Agency),2016,105342777.0,105342777.0,1,2016 DL201611001.pdf,single,JPY,thousand,science_agency
Japan,JAXA (Japan Aerospace Exploration Agency),2017,111286260.0,111286260.0,1,2017 DL201711001.pdf,single,JPY,thousand,science_agency
Japan,JAXA (Japan Aerospace Exploration Agency),2018,113060958.0,113060958.0,1,2018 DL201811001.pdf,single,JPY,thousand,science_agency
Japan,JAXA (Japan Aerospace Exploration Agency),2019,115922994.0,115922994.0,1,2019 DL201911001.pdf,single,JPY,thousand,science_agency
Japan,JAXA (Japan Aerospace Exploration Agency),2020,118447193.0,118447193.0,1,2020 DL202011001.pdf,single,JPY,thousand,science_agency
Japan,JAXA (Japan Aerospace Exploration Agency),2021,112295751.0,112295751.0,1,2021 DL202111001.pdf,single,JPY,thousand,science_agency
