country,year,canonical_name,category,gap_type,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,prev_amount,next_amount
Japan,1975,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,1579000000.0,,1748000000.0
Japan,1976,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,1748000000.0,1579000000.0,2680400000.0
Japan,1977,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,2680400000.0,1748000000.0,2179000000.0
Japan,1978,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,2179000000.0,2680400000.0,5881000000.0
Japan,1979,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,5881000000.0,2179000000.0,2616000000.0
Japan,1980,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,2616000000.0,5881000000.0,6620000000.0
Japan,1981,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,6620000000.0,2616000000.0,2890000000.0
Japan,1982,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,2890000000.0,6620000000.0,8467000000.0
Japan,1983,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,8467000000.0,2890000000.0,2886000000.0
Japan,1984,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,2886000000.0,8467000000.0,2424000000.0
Japan,1985,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,2424000000.0,2886000000.0,6251000000.0
Japan,1986,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,6251000000.0,2424000000.0,2796000000.0
Japan,1987,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,2796000000.0,6251000000.0,5561000000.0
Japan,1988,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,5561000000.0,2796000000.0,8794000000.0
Japan,1989,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,8794000000.0,5561000000.0,2686000000.0
Japan,1990,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,2686000000.0,8794000000.0,1633000000.0
Japan,1991,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,1633000000.0,2686000000.0,10000000000.0
Japan,1992,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,10000000000.0,1633000000.0,3742000000.0
Japan,1993,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,3742000000.0,10000000000.0,4596000000.0
Japan,1994,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,4596000000.0,3742000000.0,21539050000.0
Japan,1995,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,21539050000.0,4596000000.0,0.0
Japan,1996,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,0.0,21539050000.0,0.0
Japan,1997,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,0.0,0.0,0.0
Japan,1998,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,0.0,0.0,0.0
Japan,1999,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,0.0,0.0,81940072000.0
Japan,2000,JST (Japan Science and Technology Agency),science_agency,ok,,,,,none,81940072000.0,0.0,0.0
