country,year,canonical_name,gap_type,action,series_amount,prev_amount,next_amount,diagnosis,verdict,correct_amount_local,correct_unit,preferred_source_files,evidence_page,confidence,reason
Japan,2004,JST (Japan Science and Technology Agency),outlier,verify,494000000.0,55573937.0,99611126.0,"Amount 494,000,000 outside expected range [-303,960,776 – 405,281,034] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,494.0,thousand,"[""2004 DL200411001.pdf""]",901,0.9,"The amount of 494,000,000 thousand JPY is confirmed by the source document as the operating expenses for the Japan Science and Technology Agency, which aligns with the agency's budget."
Japan,2004,RIKEN (Institute of Physical and Chemical Research),outlier,verify,495000000.0,36968423.0,49400000.0,"Amount 495,000,000 outside expected range [-151,486,828 – 201,982,438] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,49500.0,million,"[""2004 DL200411001.pdf""]",903,0.9,"The amount of 495,000,000 thousand JPY appears to be a unit error, as it should be interpreted as 49500 million JPY based on the context of the document and typical budget formats."
Japan,2014,NIMS (National Institute for Materials Science),outlier,verify,78200000.0,12850203.0,11917948.0,"Amount 78,200,000 outside expected range [-47,409,954 – 63,213,272] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,78200000.0,thousand,"[""2014 DL201411001.pdf""]",1344,0.9,"The amount of 78,200,000 thousand JPY for the National Institute for Materials Science is confirmed by the source document row, which states it is for operating expenses."
Japan,2002,NEDO (New Energy and Industrial Technology Development Organization),outlier,verify,660000000.0,0.0,0.0,"Amount 660,000,000 outside expected range [-41,250,879 – 55,001,172] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,660000000.0,thousand,"[""2002 DL200211001.pdf""]",823,1.0,"The current annual total of 660,000,000 thousand JPY is directly supported by the source document row indicating the same amount for operating expenses related to NEDO."
Japan,2004,NEDO (New Energy and Industrial Technology Development Organization),outlier,verify,704000000.0,0.0,41670822.0,"Amount 704,000,000 outside expected range [-41,250,879 – 55,001,172] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,41670822.0,thousand,"[""2004 DL200411001.pdf""]",702,0.9,"The current total of 704,000,000 thousand JPY is inconsistent with the neighboring year of 41,670,822 thousand JPY and the previous year of 0. The evidence suggests that the correct total for 2004 should be 41,670,822 thousand JPY based on the operating expenses for NEDO."
Japan,2011,NEDO (New Energy and Industrial Technology Development Organization),outlier,verify,60439000.0,746000.0,80000000000.0,"Amount 60,439,000 outside expected range [-41,250,879 – 55,001,172] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,25469516.0,thousand,"[""2011 DL201111001.pdf""]",76,0.9,"The amount of 60,439,000 thousand JPY for NEDO appears to be incorrect based on the evidence provided. The correct amount, as indicated in the document, is 25,469,516 thousand JPY for operating expenses."
Japan,2012,NEDO (New Energy and Industrial Technology Development Organization),outlier,verify,80000000000.0,60439000.0,0.0,"Amount 80,000,000,000 outside expected range [-41,250,879 – 55,001,172] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,22411162.0,thousand,"[""2012 DL201211001.pdf""]",794,0.9,"The amount of 22,411,162 thousand JPY for NEDO's operating expenses is supported by the source document, while the current total of 80,000,000,000 thousand JPY appears to be a significant overstatement."
Japan,2012,AIST (National Institute of Advanced Industrial Science and Technology),outlier,verify,79500000000.0,0.0,60078300.0,"Amount 79,500,000,000 outside expected range [-187,321,758 – 249,762,344] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,79500000.0,thousand,"[""2012 DL201211001.pdf""]",1062,0.9,"The current total of 79,500,000,000 thousand is likely a unit error, as the amount should be 79,500,000 thousand based on the source document row which lists the operating expenses for AIST."
Japan,2006,"MEXT (Ministry of Education, Culture, Sports, Science and Technology)",outlier,verify,4860000000.0,230601186.0,128826326.0,"Amount 4,860,000,000 outside expected range [-202,211,578 – 555,210,759] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,486000000.0,thousand,"[""2006 DL200611001.pdf""]",867,0.9,"The current total of 4,860,000,000 thousand appears to be a misinterpretation of the amount, which should be 486,000,000 thousand based on the source document row for the Antarctic Region Observation Project."
Japan,2012,"MEXT (Ministry of Education, Culture, Sports, Science and Technology)",outlier,verify,101300000000.0,150000000.0,97552555.0,"Amount 101,300,000,000 outside expected range [-202,211,578 – 555,210,759] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,101300000000.0,thousand,"[""2012 DL201211001.pdf""]",1055,1.0,"The current annual total of 101,300,000,000 thousand is directly supported by the source document row indicating R&D Promotion Expenses for MEXT."
