country,year,canonical_name,verdict,old_rows,old_amounts,review_amount,review_unit,preferred_source_files,reason,confidence,applied,skip_reason,match_reason
Japan,2004,JST (Japan Science and Technology Agency),correct,1,94715490000.0,494.0,thousand,"[""2004 DL200411001.pdf""]","The amount of 494,000,000 thousand JPY is confirmed by the source document as the operating expenses for the Japan Science and Technology Agency, which aligns with the agency's budget.",0.9,False,no_exact_source_match,no_exact_source_match
Japan,2004,RIKEN (Institute of Physical and Chemical Research),correct,1,69192377000.0,49500.0,million,"[""2004 DL200411001.pdf""]","The amount of 495,000,000 thousand JPY appears to be a unit error, as it should be interpreted as 49500 million JPY based on the context of the document and typical budget formats.",0.9,False,no_exact_source_match,no_exact_source_match
Japan,2014,NIMS (National Institute for Materials Science),correct,1,12329191000.0,78200000.0,thousand,"[""2014 DL201411001.pdf""]","The amount of 78,200,000 thousand JPY for the National Institute for Materials Science is confirmed by the source document row, which states it is for operating expenses.",0.9,False,no_exact_source_match,no_exact_source_match
Japan,2002,NEDO (New Energy and Industrial Technology Development Organization),correct,1,22842042000.0,660000000.0,thousand,"[""2002 DL200211001.pdf""]","The current annual total of 660,000,000 thousand JPY is directly supported by the source document row indicating the same amount for operating expenses related to NEDO.",1.0,False,no_exact_source_match,no_exact_source_match
Japan,2004,NEDO (New Energy and Industrial Technology Development Organization),correct,1,nan,41670822.0,thousand,"[""2004 DL200411001.pdf""]","The current total of 704,000,000 thousand JPY is inconsistent with the neighboring year of 41,670,822 thousand JPY and the previous year of 0. The evidence suggests that the correct total for 2004 should be 41,670,822 thousand JPY based on the operating expenses for NEDO.",0.9,False,no_exact_source_match,no_exact_source_match
Japan,2011,NEDO (New Energy and Industrial Technology Development Organization),correct,1,60439000000.0,25469516.0,thousand,"[""2011 DL201111001.pdf""]","The amount of 60,439,000 thousand JPY for NEDO appears to be incorrect based on the evidence provided. The correct amount, as indicated in the document, is 25,469,516 thousand JPY for operating expenses.",0.9,False,no_exact_source_match,no_exact_source_match
Japan,2012,NEDO (New Energy and Industrial Technology Development Organization),correct,1,nan,22411162.0,thousand,"[""2012 DL201211001.pdf""]","The amount of 22,411,162 thousand JPY for NEDO's operating expenses is supported by the source document, while the current total of 80,000,000,000 thousand JPY appears to be a significant overstatement.",0.9,False,no_exact_source_match,no_exact_source_match
Japan,2012,AIST (National Institute of Advanced Industrial Science and Technology),correct,1,nan,79500000.0,thousand,"[""2012 DL201211001.pdf""]","The current total of 79,500,000,000 thousand is likely a unit error, as the amount should be 79,500,000 thousand based on the source document row which lists the operating expenses for AIST.",0.9,False,no_exact_source_match,no_exact_source_match
Japan,2006,"MEXT (Ministry of Education, Culture, Sports, Science and Technology)",correct,1,nan,486000000.0,thousand,"[""2006 DL200611001.pdf""]","The current total of 4,860,000,000 thousand appears to be a misinterpretation of the amount, which should be 486,000,000 thousand based on the source document row for the Antarctic Region Observation Project.",0.9,False,no_exact_source_match,no_exact_source_match
Japan,2012,"MEXT (Ministry of Education, Culture, Sports, Science and Technology)",keep,1,nan,101300000000.0,thousand,"[""2012 DL201211001.pdf""]","The current annual total of 101,300,000,000 thousand is directly supported by the source document row indicating R&D Promotion Expenses for MEXT.",1.0,False,verdict_not_actionable,
Japan,2019,"MEXT (Ministry of Education, Culture, Sports, Science and Technology)",correct,1,nan,1097054656.0,thousand,"[""2019 DL201911001.pdf""]","The current annual total is supported by the source document row, which lists the same amount for Operating Grants for National University Corporations.",0.9,False,no_exact_source_match,no_exact_source_match
Japan,2019,Academic Research Promotion Fund,keep,0,,97210000.0,thousand,"[""2019 DL201911001.pdf""]","The current annual total is directly supported by the source document row, which confirms the amount and unit.",1.0,False,verdict_not_actionable,
Japan,2014,Operating expenses grant for the National Institute of Advanced Industrial Science and Technology,keep,0,,60832599.0,thousand,"[""2014 DL201411001.pdf""]","The current annual total is directly supported by the source document row, which confirms the amount for the operating expenses grant for the agency.",1.0,False,verdict_not_actionable,
Japan,2018,Operating expenses grant for the National Institute of Advanced Industrial Science and Technology,keep,0,,61924777.0,thousand,"[""2018 DL201811001.pdf""]",The current annual total is supported by the source document row which explicitly states the amount for the operating expenses grant for the agency.,1.0,False,verdict_not_actionable,
Japan,2019,Operating expenses grant for the National Institute of Advanced Industrial Science and Technology,keep,0,,62342817.0,thousand,"[""2019 DL201911001.pdf""]",The current annual total is supported by the source document row which matches the agency name and amount.,1.0,False,verdict_not_actionable,
Japan,2021,Operating expenses grant for the National Institute of Advanced Industrial Science and Technology,keep,0,,61984113.0,thousand,"[""2021 DL202111001.pdf""]","The current annual total is directly supported by the source document row, which confirms the amount for the operating expenses grant for the agency.",1.0,False,verdict_not_actionable,
Japan,2024,Operating expenses grant for the National Institute of Advanced Industrial Science and Technology,keep,0,,65000661.0,thousand,"[""2024 DL202411001.pdf""]","The current annual total is directly supported by the source document row, which matches the agency name and amount.",1.0,False,verdict_not_actionable,
Japan,2007,Grants for Operating Specific Advanced Large Research Facilities,keep,0,,11760000.0,thousand,"[""2007 DL200711001.pdf""]","The current annual total of 11,760,000 thousand is directly supported by the source document row, which confirms the amount and unit.",1.0,False,verdict_not_actionable,
Japan,2019,Grants for Operating Specific Advanced Large Research Facilities,keep,0,,36940146.0,thousand,"[""2019 DL201911001.pdf""]","The current annual total is directly supported by the source document row, which matches the amount and description for the agency.",1.0,False,verdict_not_actionable,
Japan,2007,Subsidy for the development of the International Space Station,keep,0,,31443995.0,thousand,"[""2007 DL200711001.pdf""]","The current annual total is directly supported by the source document row, which matches the amount and description for the agency.",1.0,False,verdict_not_actionable,
Japan,2008,Subsidy for the development of the International Space Station,keep,0,,21574144.0,thousand,"[""2008 DL200811001.pdf""]","The current annual total is directly supported by the source document row, which matches the agency name and amount.",1.0,False,verdict_not_actionable,
Japan,2009,Subsidy for the development of the International Space Station,keep,0,,21981339.0,thousand,"[""2009 DL200911001.pdf""]","The current annual total is directly supported by the source document row, which matches the amount and description for the agency.",1.0,False,verdict_not_actionable,
