country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Japan,2002,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,68411330000.0,JPY,yen,verified_override,original_pdf,2002 DL200211001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2005,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,67431520000.0,JPY,yen,verified_override,original_pdf,2005 DL200511001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2008,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,64237356000.0,JPY,yen,verified_override,original_pdf,2008 DL200811001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2009,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,63305991000.0,JPY,yen,verified_override,original_pdf,2009 DL200911001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2010,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,61406811000.0,JPY,yen,verified_override,original_pdf,2010 DL201011001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2016,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,62847560000.0,JPY,yen,verified_override,original_pdf,2016 DL201611001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2024,AIST (National Institute of Advanced Industrial Science and Technology),science_agency,65000661000.0,JPY,yen,verified_override,original_pdf,2024 DL202411001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2010,JAEA (Japan Atomic Energy Agency),science_agency,63468679000.0,JPY,yen,verified_override,original_pdf,2010 DL201011001.pdf,,Verified against original Japan budget tables,Pre-2005 bridge uses Japan Atomic Energy Research Institute support rows where explicitly identified.; manual override from original Japan budget file,verified_against_original_file
Japan,2012,JAEA (Japan Atomic Energy Agency),science_agency,50589375000.0,JPY,yen,verified_override,original_pdf,2012 DL201211001.pdf,,Verified against original Japan budget tables,Pre-2005 bridge uses Japan Atomic Energy Research Institute support rows where explicitly identified.; manual override from original Japan budget file,verified_against_original_file
Japan,2014,JAEA (Japan Atomic Energy Agency),science_agency,46916707000.0,JPY,yen,verified_override,original_pdf,2014 DL201411001.pdf,,Verified against original Japan budget tables,Pre-2005 bridge uses Japan Atomic Energy Research Institute support rows where explicitly identified.; manual override from original Japan budget file,verified_against_original_file
Japan,2016,JAEA (Japan Atomic Energy Agency),science_agency,34614821000.0,JPY,yen,verified_override,original_pdf,2016 DL201611001.pdf,,Verified against original Japan budget tables,Pre-2005 bridge uses Japan Atomic Energy Research Institute support rows where explicitly identified.; manual override from original Japan budget file,verified_against_original_file
Japan,2024,JAEA (Japan Atomic Energy Agency),science_agency,36478799000.0,JPY,yen,verified_override,original_pdf,2024 DL202411001.pdf,,Verified against original Japan budget tables,Pre-2005 bridge uses Japan Atomic Energy Research Institute support rows where explicitly identified.; manual override from original Japan budget file,verified_against_original_file
Japan,2004,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),science_agency,30713740000.0,JPY,yen,verified_override,original_pdf,2004 DL200411001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2005,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),science_agency,32692784000.0,JPY,yen,verified_override,original_pdf,2005 DL200511001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2008,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),science_agency,38430626000.0,JPY,yen,verified_override,original_pdf,2008 DL200811001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2010,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),science_agency,36336563000.0,JPY,yen,verified_override,original_pdf,2010 DL201011001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2012,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),science_agency,35114135000.0,JPY,yen,verified_override,original_pdf,2012 DL201211001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2016,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),science_agency,30618486000.0,JPY,yen,verified_override,original_pdf,2016 DL201611001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2024,JAMSTEC (Japan Agency for Marine-Earth Science and Technology),science_agency,30366656000.0,JPY,yen,verified_override,original_pdf,2024 DL202411001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2000,JAXA (Japan Aerospace Exploration Agency),science_agency,167902000000.0,JPY,yen,verified_override,original_pdf,2000 DL200011001.pdf,,Verified against original Japan budget tables,gap: no matching rows in this year; manual override from original Japan budget file,verified_against_original_file
Japan,2005,JAXA (Japan Aerospace Exploration Agency),science_agency,131411464000.0,JPY,yen,verified_override,original_pdf,2005 DL200511001.pdf,,Verified against original Japan budget tables,JAXA formed 2003 from NASDA + ISAS + NAL merger.; manual override from original Japan budget file,verified_against_original_file
Japan,2010,JAXA (Japan Aerospace Exploration Agency),science_agency,130391959000.0,JPY,yen,verified_override,original_pdf,2010 DL201011001.pdf,,Verified against original Japan budget tables,JAXA formed 2003 from NASDA + ISAS + NAL merger.; manual override from original Japan budget file,verified_against_original_file
