canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
Ministry of Science and ICT (Korea),rd_ministry,2019,2019년도 예산안 개요.pdf,과학기술정보통신부,17000000000.0,Ministry of Science and ICT,0,16,True
Ministry of Science and ICT (Korea),rd_ministry,2021,2021년 예산안 40대 중점프로젝트.pdf,과학기술정보통신부,0.0,Ministry of Science and ICT,0,35,True
Ministry of Science and ICT (Korea),rd_ministry,2022,3. 2022년 예산안.pdf,과학기술정보통신부,0.0,Ministry of Science and ICT,0,77,True
Ministry of Science and ICT (Korea),rd_ministry,2022,3. 2022년 예산안.pdf,과학기술정보통신부,6000000000.0,Ministry of Science and ICT,0,84,True
Ministry of Science and ICT (Korea),rd_ministry,2022,3. 2022년 예산안.pdf,과학기술정보통신부,298006000000.0,Ministry of Science and ICT,0,93,True
Ministry of Science and ICT (Korea),rd_ministry,2023,2. 2023년 예산안 홍보자료★.pdf,과학기술정보통신부,45123.0,Ministry of Science and ICT,0,120,True
Ministry of Science and ICT (Korea),rd_ministry,2024,2. 2024년  예산안 홍보자료.pdf,과학기술정보통신부,90768.0,Ministry of Science and ICT,0,167,True
Ministry of Science and ICT (Korea),rd_ministry,2025,2. 2025 예산안 홍보자료.pdf,과학기술정보통신부,109112000000.0,Ministry of Science and ICT,0,193,True
National R&D Programmes (Korea),innovation_instruments,2018,2018년도 예산안 개요.pdf,R&D,196338000000.0,R&D,0,0,True
National R&D Programmes (Korea),innovation_instruments,2018,2018년도 예산안 개요.pdf,치매대응R&D 분야,4270000000.0,Dementia Response R&D,0,4,True
National R&D Programmes (Korea),innovation_instruments,2018,2018년도 예산안 개요.pdf,미세먼지R&D 분야,1590000000.0,Fine Dust R&D,0,5,True
National R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,연구개발,20400000000000.0,Research and Development,0,7,True
National R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,차세대 AI 핵심기술 R&D 확대,763000000000.0,Artificial Intelligence,0,8,True
National R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,수소 생산저장이송활용 기술국산화 R&D 확대,901000000000.0,Hydrogen Economy,0,10,True
National R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,과학기술정보통신부,17000000000.0,Ministry of Science and ICT,0,16,True
National R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,국방 R&D 투자,3100000000000.0,Defense Sector,0,23,True
National R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,주력산업 경쟁력 제고및 중소기업 역량 강화를 위한 R&D 확대,203997000000.0,Ministry of Science and ICT,0,25,True
National R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,중소기업 전용 R&D,3700000000000.0,Ministry of Science and ICT,0,26,True
National R&D Programmes (Korea),innovation_instruments,2021,2021년 예산안 40대 중점프로젝트.pdf,과학기술정보통신부,0.0,Ministry of Science and ICT,0,35,True
National R&D Programmes (Korea),innovation_instruments,2021,2021년 예산안 40대 중점프로젝트.pdf,수소생산·저장·운송 R&D,5986000000000.0,Hydrogen Economy,0,40,True
National R&D Programmes (Korea),innovation_instruments,2021,2021년 예산안 40대 중점프로젝트.pdf,범부처 전주기 의료기기 연구개발,4079.0,Ministry of Health and Welfare,0,41,True
National R&D Programmes (Korea),innovation_instruments,2021,2021년 예산안 40대 중점프로젝트.pdf,국가간협력기반조성(R&D),505.0,"Ministry of Trade, Industry and Energy",0,45,True
National R&D Programmes (Korea),innovation_instruments,2021,2021년 예산안 국민 삶을 개선하는 특색사업 60선.pdf,맞춤형 R&D 전략 지원,5800000000.0,Korean Intellectual Property Office,0,55,True
National R&D Programmes (Korea),innovation_instruments,2021,2021년 예산안 국민 삶을 개선하는 특색사업 60선.pdf,UAM 관련 연구개발 지원,11800000000.0,"Ministry of Land, Infrastructure and Transport",0,56,True
National R&D Programmes (Korea),innovation_instruments,2021,2021년 예산안 국민 삶을 개선하는 특색사업 60선.pdf,R&D 성장을 주도할 고경력 연구인력 채용에 따른 인건비를 지원,1029300000.0,Ministry of SMEs and Startups,0,59,True
National R&D Programmes (Korea),innovation_instruments,2021,7. 2021-2025년 국가재정운용계획 주요내용.pdf,R&D,27400000000.0,R&D,0,61,True
National R&D Programmes (Korea),innovation_instruments,2021,7. 2021-2025년 국가재정운용계획 주요내용.pdf,Future car and new industry R&D,0.0,R&D,0,62,True
National R&D Programmes (Korea),innovation_instruments,2022,2. 2022년 예산안 주요내용.pdf,R&D,29800000000000.0,R&D,0,66,True
National R&D Programmes (Korea),innovation_instruments,2022,2. 2022년 예산안 주요내용.pdf,Future Industry Strategy R&D investment,3600000000000.0,R&D,0,67,True
National R&D Programmes (Korea),innovation_instruments,2022,3. 2022년 예산안.pdf,R&D,29800000000000.0,R&D,0,71,True
National R&D Programmes (Korea),innovation_instruments,2022,3. 2022년 예산안.pdf,미래산업 전략 R&D 투자,6200000000000.0,R&D,0,72,True
National R&D Programmes (Korea),innovation_instruments,2022,3. 2022년 예산안.pdf,소부장 특화단지 R&D,14900000000.0,R&D,0,76,True
National R&D Programmes (Korea),innovation_instruments,2022,3. 2022년 예산안.pdf,과학기술정보통신부,0.0,Ministry of Science and ICT,0,77,True
National R&D Programmes (Korea),innovation_instruments,2022,3. 2022년 예산안.pdf,뉴딜 R&D 투자,3560000000000.0,New Deal R&D,0,81,True
National R&D Programmes (Korea),innovation_instruments,2022,3. 2022년 예산안.pdf,과학기술정보통신부,6000000000.0,Ministry of Science and ICT,0,84,True
National R&D Programmes (Korea),innovation_instruments,2022,3. 2022년 예산안.pdf,과학기술정보통신부,298006000000.0,Ministry of Science and ICT,0,93,True
National R&D Programmes (Korea),innovation_instruments,2022,3. 2022년 예산안.pdf,신규R&D 투자지원,107800000000.0,K-Semiconductor Strategy,0,95,True
National R&D Programmes (Korea),innovation_instruments,2022,3. 2022년 예산안.pdf,국방-민간 분야 R&D 협력,6873000000000.0,Civil-Military Technology Cooperation in Advanced Weapons,0,102,True
National R&D Programmes (Korea),innovation_instruments,2022,3. 2022년 예산안.pdf,소재부품기술개발(R&D),8410000000.0,Industrial Innovation Support,0,105,True
National R&D Programmes (Korea),innovation_instruments,2022,3. 2022년 예산안.pdf,"소재부품기술개발(R&D) (7,109→8,410)",8410000000.0,Industrial Innovation Support,0,106,True
National R&D Programmes (Korea),innovation_instruments,2022,4. 2022_2026년 국가재정운용계획 주요내용★.pdf,R&D,29.8,R&D,0,107,True
National R&D Programmes (Korea),innovation_instruments,2022,4. 2022_2026년 국가재정운용계획 주요내용★.pdf,반도체 등 초격차 전략기술 연구개발,30.7,R&D,0,108,True
National R&D Programmes (Korea),innovation_instruments,2022,4. 2022_2026년 국가재정운용계획 주요내용★.pdf,민간투자연계형 R&D 확대,,R&D,0,110,True
National R&D Programmes (Korea),innovation_instruments,2023,2. 2023년 예산안 홍보자료★.pdf,R&D,30.7,R&D,0,114,True
National R&D Programmes (Korea),innovation_instruments,2023,2. 2023년 예산안 홍보자료★.pdf,국방기술 등 핵심기술개발(R&D),0.3,R&D,0,115,True
National R&D Programmes (Korea),innovation_instruments,2023,2. 2023년 예산안 홍보자료★.pdf,R&D 고도화,6.0,R&D,0,116,True
National R&D Programmes (Korea),innovation_instruments,2023,2. 2023년 예산안 홍보자료★.pdf,반도체 등 미래전략산업 집중 육성 R&D,1.0,R&D,0,117,True
National R&D Programmes (Korea),innovation_instruments,2023,2. 2023년 예산안 홍보자료★.pdf,국산화 R&D,2.2,R&D,0,119,True
National R&D Programmes (Korea),innovation_instruments,2023,2. 2023년 예산안 홍보자료★.pdf,과학기술정보통신부,45123.0,Ministry of Science and ICT,0,120,True
National R&D Programmes (Korea),innovation_instruments,2023,2. 2023년 예산안 홍보자료★.pdf,성과기반 R&D,59160.0,Ministry of Science and ICT,0,139,True
National R&D Programmes (Korea),innovation_instruments,2023,2. 2023년 예산안 홍보자료★.pdf,R&D 분야,30000000000.0,R&D Sector,0,144,True
National R&D Programmes (Korea),innovation_instruments,2023,2. 2023년 예산안 홍보자료★.pdf,초격차기술 분야 R&D 투자,45000000000.0,R&D Sector,0,145,True
National R&D Programmes (Korea),innovation_instruments,2023,2. 2023년 예산안 홍보자료★.pdf,치매극복연구개발사업,2680000000.0,R&D Sector,0,152,True
National R&D Programmes (Korea),innovation_instruments,2023,2. 2023년 예산안 홍보자료★.pdf,과학기술인재육성,5860000000.0,R&D Sector,0,154,True
National R&D Programmes (Korea),innovation_instruments,2023,3. 2023~2027 국가재정운용계획 주요내용.pdf,R&D,31100000000.0,R&D,0,156,True
National R&D Programmes (Korea),innovation_instruments,2023,3. 2023~2027 국가재정운용계획 주요내용.pdf,첨단전략분야R&D 투자,5000000000.0,R&D Sector,0,157,True
National R&D Programmes (Korea),innovation_instruments,2023,3. 2023~2027 국가재정운용계획 주요내용.pdf,글로벌R&D 투자,500000000.0,R&D Sector,0,159,True
National R&D Programmes (Korea),innovation_instruments,2024,2. 2024년  예산안 홍보자료.pdf,R&D,25900000000.0,R&D,0,160,True
National R&D Programmes (Korea),innovation_instruments,2024,2. 2024년  예산안 홍보자료.pdf,과학기술정보통신부,90768.0,Ministry of Science and ICT,0,167,True
National R&D Programmes (Korea),innovation_instruments,2024,4. 2024~2028년 국가재정운용계획 주요내용.pdf,R&D,26500000000.0,R&D,0,173,True
National R&D Programmes (Korea),innovation_instruments,2024,4. 2024년 예산안 20대 핵심과제.pdf,한계도전 R&D,14000000000.0,National R&D,0,181,True
National R&D Programmes (Korea),innovation_instruments,2025,2. 2025 예산안 홍보자료.pdf,R&D,29700000000.0,R&D,0,186,True
National R&D Programmes (Korea),innovation_instruments,2025,2. 2025 예산안 홍보자료.pdf,미래도전형 R&D,71000000000.0,R&D,0,187,True
National R&D Programmes (Korea),innovation_instruments,2025,2. 2025 예산안 홍보자료.pdf,과학기술정보통신부,109112000000.0,Ministry of Science and ICT,0,193,True
National R&D Programmes (Korea),innovation_instruments,2025,2. 2025 예산안 홍보자료.pdf,양자과학기술플래그십프로젝트착수,200000000000.0,Ministry of Science and ICT,0,197,True
National R&D Programmes (Korea),innovation_instruments,2025,3. 2025 예산안 20대 핵심과제.pdf,국가연구개발,3500000000000.0,National R&D,0,201,True
National R&D Programmes (Korea),innovation_instruments,2025,3. 2025 예산안 20대 핵심과제.pdf,신규지역혁신선도기업육성(R&D),21600000000.0,Regional Innovation,0,211,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2018,2018년도 예산안 개요.pdf,인공지능산업원천기술개발,4800000000.0,AI,0,3,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2018,2018년도 예산안 개요.pdf,AI․구제역대응,2900000000.0,AI,0,6,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,차세대 AI 핵심기술 R&D 확대,763000000000.0,Artificial Intelligence,0,8,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,차세대 지능형반도체 기술개발,300000000000.0,Artificial Intelligence,0,9,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,차세대 지능형반도체 기술개발,3000000000.0,Ministry of Science and ICT,0,17,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,양자컴퓨팅 기술개발,6000000000.0,Ministry of Science and ICT,0,18,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,AI 알고리즘 기술개발,4030000000.0,Ministry of Science and ICT,0,19,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2019,2019년도 예산안 개요.pdf,자폐아동 사회성 향상 AI 로봇,1100000000.0,Ministry of Science and ICT,0,33,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2021,2021년 예산안 40대 중점프로젝트.pdf,시스템반도체 성장생태계 조성,3530.0,"Ministry of Trade, Industry and Energy",0,43,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2021,2021년 예산안 40대 중점프로젝트.pdf,"자율·인공지능, 초연결등국방전략기술8대분야개발과제 100개확대",,Ministry of Economy and Finance,0,49,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2021,2021년 예산안 40대 중점프로젝트.pdf,우주기술등미래기술개발투자확대,1204.0,Ministry of Economy and Finance,0,50,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2021,2021년 예산안 국민 삶을 개선하는 특색사업 60선.pdf,AI 기반 임상 의사결정시스템 개발,5300000000.0,Ministry of Health and Welfare,0,54,True
Strategic Technology R&D Programmes (Korea),innovation_instruments,2022,2. 2022년 예산안 주요내용.pdf,AI semiconductor core technology development,509000000000.0,R&D,0,68,True
