country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role,dedup_notes,temporal_flag
Korea,2018,program_total,융합기술개발,융합기술개발,Convergence Technology Development,,융합기술개발,Convergence Technology Development,700000000000.0,thousand,KRW,direct_rd,include,1.0,2018년도 예산안 개요.pdf,28,gpt-4o-mini,extract,,,,,
Korea,2018,program_total,4차산업혁명핵심기술개발,4차산업혁명핵심기술개발,Core Technology Development for the 4th Industrial Revolution,,4차산업혁명핵심기술개발,Core Technology Development for the 4th Industrial Revolution,700000000000.0,thousand,KRW,direct_rd,include,1.0,2018년도 예산안 개요.pdf,28,gpt-4o-mini,extract,,,,,
Korea,2018,line_item,AI,AI,AI,,AI․구제역대응,AI and Foot-and-Mouth Disease Response,2900000000.0,thousand,KRW,direct_rd,include,1.0,2018년도 예산안 개요.pdf,29,gpt-4o-mini,extract,,,,,
Korea,2018,line_item,치매대응R&D,치매대응R&D,Dementia Response R&D,,치매대응R&D 분야,Dementia Response R&D,4270000000.0,thousand,KRW,direct_rd,include,1.0,2018년도 예산안 개요.pdf,29,gpt-4o-mini,extract,,,,,
Korea,2018,line_item,미세먼지R&D,미세먼지R&D,Fine Dust R&D,,미세먼지R&D 분야,Fine Dust R&D,1590000000.0,thousand,KRW,direct_rd,include,1.0,2018년도 예산안 개요.pdf,29,gpt-4o-mini,extract,,,,,
Korea,2018,line_item,AI,AI,AI,,인공지능산업원천기술개발,Development of Core Technologies for AI Industry,4800000000.0,thousand,KRW,direct_rd,include,1.0,2018년도 예산안 개요.pdf,55,gpt-4o-mini,extract,,,,,
Korea,2018,section_total,R&D,R&D,R&D,,총지출,Total Expenditure,196338000000.0,thousand,KRW,direct_rd,review,1.0,2018년도 예산안 개요.pdf,55,gpt-4o-mini,extract,,[korea_macro_budget_summary][korea_section_total],macro,,
Korea,2019,line_item,Hydrogen Economy,수소경제,Hydrogen Economy,,수소차 가격저감기술 개발,Development of hydrogen vehicle cost reduction technology,11700000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,25,gpt-4o-mini,extract,,,,,
Korea,2019,line_item,AI,인공지능,Artificial Intelligence,,차세대 지능형반도체 기술개발,Development of next-generation intelligent semiconductor technology,300000000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,25,gpt-4o-mini,extract,"Jointly promoted by the Ministry of Science and ICT and the Ministry of Trade, Industry and Energy",,,,
Korea,2019,program_total,Data Economy,데이터 경제,Data Economy,,한국형 빅데이터 네트워크 구축,Establishment of a Korean-style big data network,81600000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,25,gpt-4o-mini,extract,,,,,
Korea,2019,program_total,Hydrogen Economy,수소경제,Hydrogen Economy,,수소 생산저장이송활용 기술국산화 R&D 확대,"Expansion of R&D for localization of hydrogen production, storage, transportation, and utilization technology",901000000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,25,gpt-4o-mini,extract,,,,,
Korea,2019,program_total,AI,인공지능,Artificial Intelligence,,차세대 AI 핵심기술 R&D 확대,Expansion of next-generation AI core technology R&D,763000000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,25,gpt-4o-mini,extract,,,,,
Korea,2019,line_item,Data Economy,데이터 경제,Data Economy,,데이터 거래소 구축방안 연구,Research on the establishment of a data exchange,1000000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,25,gpt-4o-mini,extract,,,,,
Korea,2019,line_item,Innovation Talent Development,혁신인재 양성,Innovation Talent Development,,해외 유수 대학․연구소에 석·박사를 파견,Dispatch of master's and doctoral students to prestigious overseas universities and research institutes,25000000000.0,thousand,KRW,higher_education,include,1.0,2019년도 예산안 개요.pdf,27,gpt-4o-mini,extract,,,,,
Korea,2019,program_total,Innovation Talent Development,혁신인재 양성,Innovation Talent Development,,4차 산업혁명 특화 글로벌 수준의 혁신형 비학위 교육기관 설립,Establishment of an innovative non-degree education institution specialized in the 4th Industrial Revolution,35000000000.0,thousand,KRW,higher_education,include,1.0,2019년도 예산안 개요.pdf,27,gpt-4o-mini,extract,,,,,
Korea,2019,section_total,R&D,연구개발,Research and Development,,R&D 지원,R&D support,20400000000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,6,gpt-4o-mini,extract,,[korea_section_total],section,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,AI 알고리즘 기술개발,AI algorithm technology development,4030000000.0,thousand,KRW,direct_rd,include,0.9,2019년도 예산안 개요.pdf,74,gpt-4o-mini,extract,Funding increase for AI algorithm development,,,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,정밀의료 데이터 통합플랫폼 구축,Establishment of a precision medicine data integration platform,850000000.0,thousand,KRW,direct_rd,include,0.9,2019년도 예산안 개요.pdf,74,gpt-4o-mini,extract,New funding for precision medicine data platform,,,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,수소에너지 혁신기술개발,Hydrogen energy innovation technology development,1020000000.0,thousand,KRW,direct_rd,include,0.9,2019년도 예산안 개요.pdf,74,gpt-4o-mini,extract,New funding for hydrogen energy R&D,,,,
Korea,2019,program_total,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,차세대 지능형반도체 기술개발,Next-generation intelligent semiconductor technology development,3000000000.0,thousand,KRW,direct_rd,include,0.9,2019년도 예산안 개요.pdf,74,gpt-4o-mini,extract,New funding for semiconductor R&D,,,,
Korea,2019,program_total,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,양자컴퓨팅 기술개발,Quantum computing technology development,6000000000.0,thousand,KRW,direct_rd,include,0.9,2019년도 예산안 개요.pdf,74,gpt-4o-mini,extract,New funding for quantum computing R&D,,,,
Korea,2019,section_total,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,R&D 분야,R&D sector,17000000000.0,thousand,KRW,science_agency,include,0.9,2019년도 예산안 개요.pdf,74,gpt-4o-mini,extract,Total for R&D sector,[korea_section_total],section,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,자폐아동 사회성 향상 AI 로봇,AI Robot for Improving Social Skills of Autistic Children,1100000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,75,gpt-4o-mini,extract,,,,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,돌봄로봇 기술개발,Care Robot Technology Development,4200000000.0,thousand,KRW,direct_rd,review,1.0,2019년도 예산안 개요.pdf,75,gpt-4o-mini,extract,,[korea_social_non_rd],,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,중소기업 전용 R&D,Dedicated R&D for Small and Medium Enterprises,3700000000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,75,gpt-4o-mini,extract,,,,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,발달장애인 의사소통 지원 콘텐츠 개발,Development of Communication Support Content for Individuals with Developmental Disabilities,1000000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,75,gpt-4o-mini,extract,,,,,
Korea,2019,program_total,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,주력산업 경쟁력 제고및 중소기업 역량 강화를 위한 R&D 확대,Expansion of R&D to Enhance Competitiveness of Key Industries and Strengthen Small and Medium Enterprises,203997000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,75,gpt-4o-mini,extract,,,,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,미세먼지 공모사업,Fine Dust Contest Project,5100000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,75,gpt-4o-mini,extract,,,,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,식품 안전관리,Food Safety Management,3100000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,75,gpt-4o-mini,extract,,,,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,생활안전 공모사업,Living Safety Contest Project,4200000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,75,gpt-4o-mini,extract,,,,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,생활폐기물,Living Waste,7600000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,75,gpt-4o-mini,extract,,,,,
Korea,2019,line_item,과학기술정보통신부,과학기술정보통신부,Ministry of Science and ICT,,방사선안전소재,Radiation Safety Material,1100000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,75,gpt-4o-mini,extract,,,,,
Korea,2019,line_item,국방,국방 분야,Defense Sector,,"방산기술우위확보, 무기 국산화위한 적극 지원",Active Support for Securing Defense Technology Superiority and Domestic Production of Weapons,3100000000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,84,gpt-4o-mini,extract,,,,,
Korea,2019,program_total,국방,국방 분야,Defense Sector,,국방 R&D 투자,Defense R&D Investment,3100000000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,84,gpt-4o-mini,extract,,,,,
Korea,2019,section_total,국방,국방 분야,Defense Sector,,국방 R&D 투자 확대와 방위산업의 차세대 전략산업화추진,Expansion of Defense R&D Investment and Promotion of Next-Generation Strategic Industry in Defense,3100000000000.0,thousand,KRW,direct_rd,include,1.0,2019년도 예산안 개요.pdf,84,gpt-4o-mini,extract,,[korea_section_total],section,,
Korea,2021,program_total,K-방역,K-방역,K-Quarantine,,코로나19 백신·치료제 임상지원,Clinical support for COVID-19 vaccines and treatments,1378000000000.0,thousand,KRW,direct_rd,include,0.9,2021년 예산안 40대 중점프로젝트.pdf,22,gpt-4o-mini,extract,Funding for clinical trials related to COVID-19.,,,,
Korea,2021,line_item,K-방역,K-방역,K-Quarantine,,신약 후보물질 도출~임상시험 전주기 지원(국가신약개발),Support for the entire process from drug candidate development to clinical trials (National New Drug Development),45200000000.0,thousand,KRW,direct_rd,include,0.9,2021년 예산안 40대 중점프로젝트.pdf,22,gpt-4o-mini,extract,Funding for new drug development.,,,,
Korea,2021,program_total,바이오-ICT 융합,바이오-ICT 융합,Bio-ICT Convergence,,의료데이터 중심병원 5개소 선정,Selection of 5 hospitals centered on medical data,22500000000.0,thousand,KRW,direct_rd,include,0.9,2021년 예산안 40대 중점프로젝트.pdf,23,gpt-4o-mini,extract,Funding for hospitals focusing on medical data.,,,,
Korea,2021,line_item,바이오-ICT 융합,바이오-ICT 융합,Bio-ICT Convergence,,의과학자·역학조사관 등 의료전문인력 연구실습비 지원,Support for research and practice costs for medical professionals such as medical scientists and epidemiologists,2200000000.0,thousand,KRW,direct_rd,include,0.9,2021년 예산안 40대 중점프로젝트.pdf,23,gpt-4o-mini,extract,Funding for training medical professionals.,,,,
Korea,2021,program_total,수소경제,수소경제,Hydrogen Economy,,수소생산·저장·운송 R&D,"R&D for hydrogen production, storage, and transportation",5986000000000.0,thousand,KRW,direct_rd,include,0.9,2021년 예산안 40대 중점프로젝트.pdf,32,gpt-4o-mini,extract,Funding for R&D in hydrogen economy.,,,,
Korea,2021,program_total,15,보건복지부,Ministry of Health and Welfare,,범부처 전주기 의료기기 연구개발,Comprehensive R&D for medical devices across ministries,4079.0,thousand,KRW,direct_rd,include,0.9,2021년 예산안 40대 중점프로젝트.pdf,34,gpt-4o-mini,extract,"Total for 24 projects, significant increase from previous year.",,,,
Korea,2021,program_total,16,산업부,"Ministry of Trade, Industry and Energy",,자율주행기술개발혁신사업,Innovative project for autonomous driving technology development,20046.0,thousand,KRW,direct_rd,include,0.9,2021년 예산안 40대 중점프로젝트.pdf,34,gpt-4o-mini,extract,"Total for 32 projects, aimed at achieving full autonomy by 2027.",,,,
Korea,2021,program_total,17,산업부,"Ministry of Trade, Industry and Energy",,시스템반도체 성장생태계 조성,Creation of a growth ecosystem for system semiconductors,3530.0,thousand,KRW,direct_rd,include,0.9,2021년 예산안 40대 중점프로젝트.pdf,35,gpt-4o-mini,extract,"Total for 21 projects, focusing on enhancing competitiveness.",,,,
Korea,2021,program_total,18,산업부,"Ministry of Trade, Industry and Energy",,핵심 전략품목의 안정적 공급,Stable supply of core strategic items,611.0,thousand,KRW,direct_rd,include,0.9,2021년 예산안 40대 중점프로젝트.pdf,36,gpt-4o-mini,extract,"Total for 3 projects, focusing on R&D for key materials.",,,,
Korea,2021,program_total,26,산업부,"Ministry of Trade, Industry and Energy",,국가간협력기반조성(R&D),Establishment of international cooperation foundation (R&D),505.0,thousand,KRW,rd_adjacent,include,0.9,2021년 예산안 40대 중점프로젝트.pdf,50,gpt-4o-mini,extract,Supports international collaboration in science and technology.,,,,
