country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role,dedup_notes,temporal_flag
Latvia,1991,line_item,15,Zinātņu akadēmija,Academy of Sciences,,Sociālo un kultūras pasākumu finansēšanai,financing for social and cultural events,603.0,thousand,LVL,unclear,review,0.4,Finance law for 1991.pdf,6,gpt-4o-mini,extract,"Funding for social and cultural events, not strictly R&D.",,,,
Latvia,1991,line_item,15,Zinātņu akadēmija,Academy of Sciences,,valsts kapitalieguldījumi,state capital investments,7520.0,thousand,LVL,science_agency,review,0.7,Finance law for 1991.pdf,6,gpt-4o-mini,extract,Capital investments for the Academy of Sciences.,,,,
Latvia,1991,section_total,15,Zinātņu akadēmija,Academy of Sciences,,kopā,total,8123.0,thousand,LVL,science_agency,review,0.7,Finance law for 1991.pdf,6,gpt-4o-mini,extract,"Total for the Academy of Sciences, includes various funding.",[latvia_section_total],section,,
Latvia,1992,line_item,,,,,Zinātnes finansēšanai,For science funding,161822.0,thousand,LVL,direct_rd,include,1.0,likumi_lv_72579_16.06.1992__lv.pdf,4,gpt-4o-mini,extract,Direct funding for science,,,,
Latvia,1992,line_item,5,Zinātnes finansēšanai,Funding for Science,,Lietišķo zinātņu finansēšanai,Funding for applied sciences,44645.0,thousand,LVL,direct_rd,include,0.9,likumi_lv_74144_11.07.1992__lv.pdf,2,gpt-4o-mini,extract,,,,,
Latvia,1992,line_item,5,Zinātnes finansēšanai,Funding for Science,,Zinātnes finansēšanai,Funding for science,229510.0,thousand,LVL,direct_rd,include,0.9,likumi_lv_74144_11.07.1992__lv.pdf,2,gpt-4o-mini,extract,,,,,
Latvia,1992,section_total,5,Zinātnes finansēšanai,Funding for Science,,Kopā zinātnes finansēšanai,Total funding for science,274155.0,thousand,LVL,direct_rd,review,0.7,likumi_lv_74144_11.07.1992__lv.pdf,2,gpt-4o-mini,extract,Total includes various science funding lines.,[latvia_section_total],section,,
Latvia,1992,line_item,8,Zinātņu akadēmija,Academy of Sciences,,Mikrobioloģijas institūta bioinženierijas laboratoriju korpuss,Building for the bioengineering laboratory of the Microbiology Institute,13.0,thousand,LVL,research_infrastructure,include,0.9,likumi_lv_74144_11.07.1992__lv.pdf,25,gpt-4o-mini,extract,,,,,
Latvia,1992,line_item,8,Zinātņu akadēmija,Academy of Sciences,,Fundamentālais bibliotēkas J. Misiņa literatūras nodaļas ēka,Building for the fundamental library's J. Misiņš literature department,108.0,thousand,LVL,research_infrastructure,include,0.9,likumi_lv_74144_11.07.1992__lv.pdf,25,gpt-4o-mini,extract,,,,,
Latvia,1992,section_total,8,Zinātņu akadēmija,Academy of Sciences,,Latvijas Zinātņu akadēmija,Latvian Academy of Sciences,13500.0,thousand,LVL,science_agency,include,0.8,likumi_lv_74144_11.07.1992__lv.pdf,25,gpt-4o-mini,extract,,[latvia_section_total],section,,
Latvia,1992,line_item,8,Zinātņu akadēmija,Academy of Sciences,,Fizikas institūta izpētes līpa reaktora un radioķīmiskās laboratorijas attīrīšanas ietaises Salaspīlī,Research of the Physics Institute on the reactor and radiochemical laboratory cleaning facilities in Salaspils,136.0,thousand,LVL,research_infrastructure,include,0.9,likumi_lv_74144_11.07.1992__lv.pdf,25,gpt-4o-mini,extract,,,,,
Latvia,1993,line_item,LATVIJAS ZINĀTNES PADOME,Latvijas Zinātnes padome,Latvian Science Council,,Zinātnes finansēšanai,Funding for science,19400.0,thousand,LVL,direct_rd,include,0.9,likumi_lv_60011_21.04.1993__lv.pdf,14,gpt-4o-mini,extract,,,,,
Latvia,1993,program_total,LATVIJAS ZINĀTNES PADOME,Latvijas Zinātnes padome,Latvian Science Council,,Kopā zinātnes finansēšanai,Total funding for science,24820.0,thousand,LVL,science_agency,review,0.7,likumi_lv_60011_21.04.1993__lv.pdf,14,gpt-4o-mini,extract,Total includes non-R&D components,[latvia_section_total],section,,
