country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Latvia,1996,Fundamental Scientific Research (Latvia),direct_rd,5687898.0,unit,LVL,line_item,Fundamental scientific research,likumi_lv_305652_21.11.1996__lv.pdf,25,
Latvia,2000,Fundamental Scientific Research (Latvia),direct_rd,5000000.0,unit,LVL,program_total,Fundamental scientific research,likumi_lv_305669_18.11.2000__lv.pdf,34,
Latvia,2006,Fundamental Scientific Research (Latvia),direct_rd,2000000.0,unit,LVL,program_total,Total Fundamental Scientific Research,likumi_lv_121006_09.11.2006__lv.pdf,313,
Latvia,1992,Latvian Academy of Sciences,science_agency,13500.0,thousand,RUB,section_total,Latvian Academy of Sciences,likumi_lv_74144_11.07.1992__lv.pdf,25,
Latvia,1993,Latvian Academy of Sciences,science_agency,19400.0,thousand,RUB,program_total,Latvijas Zinātņu akadēmija kopā,likumi_lv_60011_21.04.1993__lv.pdf,59,
Latvia,1997,Science Base Funding (Latvia),science_agency,6731662.0,unit,LVL,verified_override,Verified 1997 scientific-activities provision from the original Latvia budget table,likumi_lv_305681_12.12.1997__lv.pdf,24.0,"manual override from original Latvia budget file (page 24, programme 05.01.00 total expenditures)"
Latvia,1999,Science Base Funding (Latvia),science_agency,7415859.0,unit,LVL,verified_override,Verified 1999 scientific-activities provision from the original Latvia budget table,likumi_lv_22778_03.11.1999__lv.pdf,42.0,"manual override from original Latvia budget file (page 42, programme 05.01.00 total expenditures)"
Latvia,2000,Science Base Funding (Latvia),science_agency,6700000.0,unit,LVL,program_total,Science base funding,likumi_lv_305669_18.11.2000__lv.pdf,34,
Latvia,2001,Science Base Funding (Latvia),science_agency,7646507.0,unit,LVL,verified_override,Verified 2001 provision of scientific activities from the original Latvia budget table,likumi_lv_13735_07.07.2001__lv.pdf,60.0,"manual override from original Latvia budget file (page 60, programme 05.01.00 total expenditures)"
Latvia,2003,Science Base Funding (Latvia),science_agency,7930511.0,unit,LVL,verified_override,Verified 2003 ensuring scientific activity from the original Latvia budget table,2003 likumi_lv_72288_27.11.2003__lv.pdf,61.0,"manual override from original Latvia budget file (page 61, programme 05.01.00 total expenditures)"
Latvia,2006,Science Base Funding (Latvia),science_agency,4625554.0,unit,LVL,verified_override,Verified 2006 science base funding from the original Latvia budget table,likumi_lv_121006_09.11.2006__lv.pdf,64.0,"manual override from original Latvia budget file (page 64, programme 05.02.00 total expenditures)"
Latvia,2009,Science Base Funding (Latvia),science_agency,8482229.0,unit,LVL,program_total,Total expenditures,likumi_lv_184709_01.07.2009__lv.pdf,123,
Latvia,1992,Science Programme (Latvia),rd_ministry,274155.0,thousand,RUB,section_total,Total funding for science,likumi_lv_74144_11.07.1992__lv.pdf,2,Hybrid programme-level canonical for Latvian science budget lines across eras.
Latvia,1993,Science Programme (Latvia),rd_ministry,638528.0,thousand,RUB,section_total,Total funding for science,likumi_lv_60011_21.04.1993__lv.pdf,4,Hybrid programme-level canonical for Latvian science budget lines across eras.
Latvia,1995,Science Programme (Latvia),rd_ministry,5718864.0,unit,LVL,program_total,Funding for scientific activities,likumi_lv_58940_20.12.1995__lv.pdf,11,Hybrid programme-level canonical for Latvian science budget lines across eras.
Latvia,1996,Science Programme (Latvia),rd_ministry,7321512.0,unit,LVL,program_total,Science - total,likumi_lv_305652_21.11.1996__lv.pdf,25,Hybrid programme-level canonical for Latvian science budget lines across eras.
Latvia,1998,Science Programme (Latvia),rd_ministry,8755763.0,unit,LVL,section_total,Total expenditures,likumi_lv_305566_23.12.1998__lv.pdf,38,Hybrid programme-level canonical for Latvian science budget lines across eras.
Latvia,1999,Science Programme (Latvia),rd_ministry,9262103.0,unit,LVL,program_total,Science,likumi_lv_22778_03.11.1999__lv.pdf,41,Hybrid programme-level canonical for Latvian science budget lines across eras.
Latvia,2000,Science Programme (Latvia),rd_ministry,10135464.0,unit,LVL,program_total,Total expenditures,likumi_lv_305669_18.11.2000__lv.pdf,54,Hybrid programme-level canonical for Latvian science budget lines across eras.
Latvia,2001,Science Programme (Latvia),rd_ministry,11405638.0,unit,LVL,program_total,Science,likumi_lv_13735_07.07.2001__lv.pdf,60,Hybrid programme-level canonical for Latvian science budget lines across eras.
Latvia,2003,Science Programme (Latvia),rd_ministry,11688764.0,unit,LVL,program_total,Science,2003 likumi_lv_72288_27.11.2003__lv.pdf,60,Hybrid programme-level canonical for Latvian science budget lines across eras.
