country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Latvia,1997,Science Base Funding (Latvia),science_agency,6731662.0,LVL,unit,verified_override,original_pdf,likumi_lv_305681_12.12.1997__lv.pdf,24.0,Verified 1997 scientific-activities provision from the original Latvia budget table,"manual override from original Latvia budget file (page 24, programme 05.01.00 total expenditures)",verified_against_original_file
Latvia,1999,Science Base Funding (Latvia),science_agency,7415859.0,LVL,unit,verified_override,original_pdf,likumi_lv_22778_03.11.1999__lv.pdf,42.0,Verified 1999 scientific-activities provision from the original Latvia budget table,"manual override from original Latvia budget file (page 42, programme 05.01.00 total expenditures)",verified_against_original_file
Latvia,2001,Science Base Funding (Latvia),science_agency,7646507.0,LVL,unit,verified_override,original_pdf,likumi_lv_13735_07.07.2001__lv.pdf,60.0,Verified 2001 provision of scientific activities from the original Latvia budget table,"manual override from original Latvia budget file (page 60, programme 05.01.00 total expenditures)",verified_against_original_file
Latvia,2003,Science Base Funding (Latvia),science_agency,7930511.0,LVL,unit,verified_override,original_pdf,2003 likumi_lv_72288_27.11.2003__lv.pdf,61.0,Verified 2003 ensuring scientific activity from the original Latvia budget table,"manual override from original Latvia budget file (page 61, programme 05.01.00 total expenditures)",verified_against_original_file
Latvia,2006,Science Base Funding (Latvia),science_agency,4625554.0,LVL,unit,verified_override,original_pdf,likumi_lv_121006_09.11.2006__lv.pdf,64.0,Verified 2006 science base funding from the original Latvia budget table,"manual override from original Latvia budget file (page 64, programme 05.02.00 total expenditures)",verified_against_original_file
Latvia,2006,Science Programme (Latvia),rd_ministry,8544825.0,LVL,unit,verified_override,original_pdf,likumi_lv_121006_09.11.2006__lv.pdf,64.0,Verified 2006 ensuring scientific activity total from the original Latvia budget table,"Hybrid programme-level canonical for Latvian science budget lines across eras.; manual override from original Latvia budget file (page 64, programme 05.01.00 total expenditures)",verified_against_original_file
Latvia,2018,State Research Programmes (Latvia),direct_rd,2000000.0,EUR,unit,verified_override,original_pdf,likumi_lv_295569_01.01.2018__lv.pdf,10.0,Verified 2018 state research programme in energy from the original Latvia budget law,"manual override from original Latvia budget file (page 10, subprogramme 29.05.00 energy state research programme)",verified_against_original_file
Latvia,2000,State-Commissioned Scientific Research (Latvia),direct_rd,529571.0,LVL,unit,verified_override,original_pdf,likumi_lv_305669_18.11.2000__lv.pdf,55.0,Verified 2000 total expenditures for State-commissioned scientific research from the original Latvia budget table,"manual override from original Latvia budget file (page 55, programme 05.06.00 total expenditures)",verified_against_original_file
Latvia,2001,State-Commissioned Scientific Research (Latvia),direct_rd,554571.0,LVL,unit,verified_override,original_pdf,likumi_lv_13735_07.07.2001__lv.pdf,60.0,Verified 2001 state-commissioned scientific research from the original Latvia budget table,"gap: no matching rows in this year; manual override from original Latvia budget file (page 60, programme 05.06.00 total expenditures)",verified_against_original_file
Latvia,2003,State-Commissioned Scientific Research (Latvia),direct_rd,70209.0,LVL,unit,verified_override,original_pdf,2003 likumi_lv_72288_27.11.2003__lv.pdf,61.0,Verified 2003 state-commissioned scientific research from the original Latvia budget table,"gap: no matching rows in this year; manual override from original Latvia budget file (page 61, programme 05.06.00 total expenditures)",verified_against_original_file
Latvia,2006,University Science Development (Latvia),higher_education,2400000.0,LVL,unit,verified_override,original_pdf,likumi_lv_121006_09.11.2006__lv.pdf,63.0,Verified 2006 development of scientific activities in universities from the original Latvia budget table,"gap: no matching rows in this year; manual override from original Latvia budget file (page 63, programme 03.12.00 total expenditures)",verified_against_original_file
