canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
Chemistry Institute,science_agency,2009,2009 TAR.D641C5B5ADFD.docx,Chemijos institutas,1630.0,iš jų:,2,115,True
Chemistry Institute,science_agency,2009,2009 TAR.D641C5B5ADFD.docx,Biochemijos institutas,1350.0,iš jų:,2,116,True
Chemistry Institute,science_agency,2010,2010 TAR.E5C7DCAD90FA.docx,Chemijos institutas,1610.0,"VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",2,107,True
Chemistry Institute,science_agency,2010,2010 TAR.E5C7DCAD90FA.docx,Biochemijos institutas,820.0,"VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",2,108,True
Institute of Geology and Geography,science_agency,2009,2009 TAR.D641C5B5ADFD.docx,Geologijos ir geografijos institutas,1200.0,iš jų:,2,122,True
Institute of Geology and Geography,science_agency,2010,2010 TAR.E5C7DCAD90FA.docx,Geologijos ir geografijos institutas,1207.0,"VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",2,114,True
Institute of Lithuanian Literature and Folklore,science_agency,2009,2009 TAR.D641C5B5ADFD.docx,Lietuvių literatūros ir tautosakos institutas,50.0,iš jų:,2,125,True
Institute of Lithuanian Literature and Folklore,science_agency,2010,2010 TAR.E5C7DCAD90FA.docx,Lietuvių literatūros ir tautosakos institutas,50.0,"VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI) VII. ŠVIETIMO, KULTŪROS IR MOKSLO ORGANIZACIJOS (INSTITUTAI)",2,117,True
Institute of Lithuanian Literature and Folklore,science_agency,2011,2011 TAR.FE51590E2B56.docx,Lietuvių literatūros ir tautosakos institutas,90.0,iš jų:,2,100,True
Institute of Lithuanian Literature and Folklore,science_agency,2017,2017 XIII-177.docx,Lietuvių literatūros ir tautosakos institutas,30.0,iš jų:,2,94,True
