country,year,source_file,page_number,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,amount_prior,unit,currency,rd_category,decision,confidence,llm_model,extraction_pass,notes
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,MOKESTINĖS PAJAMOS MOKESTINĖS PAJAMOS,Akcizai,,Akcizai,Akcizai,21676380000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 5"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,"Įplaukos, gautos pritaikius sankcijas už pajamų ir",Biudžetinių lėšų likutis metų pradžioje,,Biudžetinių lėšų likutis metų pradžioje,Biudžetinių lėšų likutis metų pradžioje,1000000000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 18"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,MOKESTINĖS PAJAMOS MOKESTINĖS PAJAMOS,Fizinių asmenų pajamų mokestis,,Fizinių asmenų pajamų mokestis,Fizinių asmenų pajamų mokestis,16867086000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 2"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,"Įplaukos, gautos pritaikius sankcijas už pajamų ir",Iš viso pajamų:,,Iš viso pajamų:,Iš viso pajamų:,116333179000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 16"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,MOKESTINĖS PAJAMOS MOKESTINĖS PAJAMOS,Juridinių asmenų pelno mokestis,,Juridinių asmenų pelno mokestis,Juridinių asmenų pelno mokestis,27934000000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 3"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,"Įplaukos, gautos pritaikius sankcijas už pajamų ir",Kitos nemokestinės pajamos,,Kitos nemokestinės pajamos,Kitos nemokestinės pajamos,1901590000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 14"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,"Įplaukos, gautos pritaikius sankcijas už pajamų ir",Mokestis už aplinkos teršimą,,Mokestis už aplinkos teršimą,Mokestis už aplinkos teršimą,46200000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 13"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,MOKESTINĖS PAJAMOS MOKESTINĖS PAJAMOS,Mokestis už valstybinius gamtos išteklius,,Mokestis už valstybinius gamtos išteklius,Mokestis už valstybinius gamtos išteklius,777270000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 7"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,NEMOKESTINĖS PAJAMOS NEMOKESTINĖS PAJAMOS,Pajamos iš valstybės nuosavybės,,Pajamos iš valstybės nuosavybės,Pajamos iš valstybės nuosavybės,1027000000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 10"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,MOKESTINĖS PAJAMOS MOKESTINĖS PAJAMOS,Pridėtosios vertės mokestis,,Pridėtosios vertės mokestis,Pridėtosios vertės mokestis,45330053000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 4"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,MOKESTINĖS PAJAMOS MOKESTINĖS PAJAMOS,Tarptautinės prekybos ir sandėrių mokesčiai,,Tarptautinės prekybos ir sandėrių mokesčiai,Tarptautinės prekybos ir sandėrių mokesčiai,430500000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 6"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,0,line_item,,"Įplaukos, gautos pritaikius sankcijas už pajamų ir",kitų apmokestinamųjų objektų slėpimą,,kitų apmokestinamųjų objektų slėpimą,kitų apmokestinamųjų objektų slėpimą,343100000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 12"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,"Įplaukos, gautos pritaikius sankcijas už pajamų ir",Aplinkos apsaugos departamentas,,Aplinkos apsaugos departamentas,Aplinkos apsaugos departamentas,76982000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 8"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,II. Departamentai ir kitos tarnybos bei inspekcijos II. Departamentai ir kitos tarnybos bei inspekcijos II. Departamentai ir kitos tarnybos bei inspekcijos II. Departamentai ir kitos tarnybos bei inspekcijos II. Departamentai ir kitos tarnybos bei inspekcijos II. Departamentai ir kitos tarnybos bei inspekcijos II. Departamentai ir kitos tarnybos bei inspekcijos II. Departamentai ir kitos tarnybos bei inspekcijos,Darbų saugos departamentas,,Darbų saugos departamentas,Darbų saugos departamentas,720000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 35"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,I. Ministerijos I. Ministerijos,Ekonomikos ministerija,,Ekonomikos ministerija,Ekonomikos ministerija,28507000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 15"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,I. Ministerijos I. Ministerijos,Energetikos ministerija,,Energetikos ministerija,Energetikos ministerija,10302000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 16"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,I. Ministerijos I. Ministerijos,Finansų ministerija,,Finansų ministerija,Finansų ministerija,17835000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 17"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,"Įplaukos, gautos pritaikius sankcijas už pajamų ir",Konstitucinis Teismas,,Konstitucinis Teismas,Konstitucinis Teismas,9000000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 5"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,I. Ministerijos I. Ministerijos,Krašto apsaugos ministerija,,Krašto apsaugos ministerija,Krašto apsaugos ministerija,2170522000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 18"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,I. Ministerijos I. Ministerijos,Kultūros ir švietimo ministerija,,Kultūros ir švietimo ministerija,Kultūros ir švietimo ministerija,514325000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 19"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,"Įplaukos, gautos pritaikius sankcijas už pajamų ir",Kultūros paveldo inspekcija,,Kultūros paveldo inspekcija,Kultūros paveldo inspekcija,2927000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 10"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,"Įplaukos, gautos pritaikius sankcijas už pajamų ir",Lietuvos Respublikos Seimas (įskaitant Seimo kontrolierius),,Lietuvos Respublikos Seimas (įskaitant Seimo kontrolierius),Lietuvos Respublikos Seimas (įskaitant Seimo kontrolierius),34341000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 4"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,I. Ministerijos I. Ministerijos,Miškų ūkio ministerija,,Miškų ūkio ministerija,Miškų ūkio ministerija,44780000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 20"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,I. Ministerijos I. Ministerijos,Pramonės ir prekybos ministerija,,Pramonės ir prekybos ministerija,Pramonės ir prekybos ministerija,1225690000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 21"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,"Įplaukos, gautos pritaikius sankcijas už pajamų ir",Republic of Lithuania,,Lietuvos Respublikos Vyriausybė,Republic of Lithuania,21592000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 11"
Lithuania,1993,1993 TAR.8C4914C2ACED.docx,1,line_item,,"Įplaukos, gautos pritaikius sankcijas už pajamų ir",Respublikos Prezidento institucija,,Respublikos Prezidento institucija,Respublikos Prezidento institucija,10000000.0,,euro,EUR,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 3"
