country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Lithuania,2009,Chemistry Institute,science_agency,1630000.0,euro,EUR,line_item,Chemijos institutas,2009 TAR.D641C5B5ADFD.docx,2,The institute is focused on chemical research and development.
Lithuania,2010,Chemistry Institute,science_agency,1610000.0,euro,EUR,line_item,Chemijos institutas,2010 TAR.E5C7DCAD90FA.docx,2,The institute is focused on chemical research and development.
Lithuania,2009,Institute of Geology and Geography,science_agency,1200000.0,euro,EUR,line_item,Geologijos ir geografijos institutas,2009 TAR.D641C5B5ADFD.docx,2,"This institute focuses on geological and geographical research, indicating R&D relevance."
Lithuania,2010,Institute of Geology and Geography,science_agency,1207000.0,euro,EUR,line_item,Geologijos ir geografijos institutas,2010 TAR.E5C7DCAD90FA.docx,2,"This institute focuses on geological and geographical research, indicating R&D relevance."
Lithuania,2009,Institute of Lithuanian Literature and Folklore,science_agency,50000.0,euro,EUR,line_item,Lietuvių literatūros ir tautosakos institutas,2009 TAR.D641C5B5ADFD.docx,2,"This institute is dedicated to literature and folklore research, engaging in R&D activities."
Lithuania,2010,Institute of Lithuanian Literature and Folklore,science_agency,50000.0,euro,EUR,line_item,Lietuvių literatūros ir tautosakos institutas,2010 TAR.E5C7DCAD90FA.docx,2,"This institute is dedicated to literature and folklore research, engaging in R&D activities."
Lithuania,2011,Institute of Lithuanian Literature and Folklore,science_agency,90000.0,euro,EUR,line_item,Lietuvių literatūros ir tautosakos institutas,2011 TAR.FE51590E2B56.docx,2,"This institute is dedicated to literature and folklore research, engaging in R&D activities."
Lithuania,2017,Institute of Lithuanian Literature and Folklore,science_agency,30000.0,euro,EUR,line_item,Lietuvių literatūros ir tautosakos institutas,2017 XIII-177.docx,2,"This institute is dedicated to literature and folklore research, engaging in R&D activities."
Lithuania,2018,Institute of Lithuanian Literature and Folklore,science_agency,30000.0,euro,EUR,line_item,Lietuvių literatūros ir tautosakos institutas,2018 XIII-868.docx,2,"This institute is dedicated to literature and folklore research, engaging in R&D activities."
Lithuania,2019,Institute of Lithuanian Literature and Folklore,science_agency,30000.0,euro,EUR,line_item,Lietuvių literatūros ir tautosakos institutas,2019 XIII-1710.docx,2,"This institute is dedicated to literature and folklore research, engaging in R&D activities."
Lithuania,2020,Institute of Lithuanian Literature and Folklore,science_agency,30000.0,euro,EUR,line_item,Lietuvių literatūros ir tautosakos institutas,2020 XIII-2695.docx,2,"This institute is dedicated to literature and folklore research, engaging in R&D activities."
Lithuania,2021,Institute of Lithuanian Literature and Folklore,science_agency,,,,,,,,gap: no matching rows in this year
Lithuania,2022,Institute of Lithuanian Literature and Folklore,science_agency,2184000.0,euro,EUR,line_item,Lietuvių literatūros ir tautosakos institutas,2022 XIV-745.docx,1,"This institute is dedicated to literature and folklore research, engaging in R&D activities."
Lithuania,2023,Institute of Lithuanian Literature and Folklore,science_agency,2634000.0,euro,EUR,line_item,Lietuvių literatūros ir tautosakos institutas,2023 XIV-1556.docx,1,"This institute is dedicated to literature and folklore research, engaging in R&D activities."
Lithuania,2024,Institute of Lithuanian Literature and Folklore,science_agency,3765000.0,euro,EUR,line_item,Lietuvių literatūros ir tautosakos institutas,2024 XIV-2297.docx,1,"This institute is dedicated to literature and folklore research, engaging in R&D activities."
Lithuania,2025,Institute of Lithuanian Literature and Folklore,science_agency,4787000.0,euro,EUR,line_item,Lietuvių literatūros ir tautosakos institutas,2025 XV-89.docx,2,"This institute is dedicated to literature and folklore research, engaging in R&D activities."
Lithuania,2009,Institute of Semiconductor Physics,science_agency,1300000.0,euro,EUR,line_item,Puslaidininkių fizikos institutas,2009 TAR.D641C5B5ADFD.docx,2,This institute is dedicated to research in semiconductor physics.
Lithuania,2010,Institute of Semiconductor Physics,science_agency,1000000.0,euro,EUR,line_item,Puslaidininkių fizikos institutas,2010 TAR.E5C7DCAD90FA.docx,2,This institute is dedicated to research in semiconductor physics.
Lithuania,2009,Institute of the Lithuanian Language,science_agency,250000.0,euro,EUR,line_item,Lietuvių kalbos institutas,2009 TAR.D641C5B5ADFD.docx,1,"This institute conducts research on the Lithuanian language, relevant to R&D."
Lithuania,2010,Institute of the Lithuanian Language,science_agency,125000.0,euro,EUR,line_item,Lietuvių kalbos institutas,2010 TAR.E5C7DCAD90FA.docx,1,"This institute conducts research on the Lithuanian language, relevant to R&D."
Lithuania,2011,Institute of the Lithuanian Language,science_agency,130000.0,euro,EUR,line_item,Lietuvių kalbos institutas,2011 TAR.FE51590E2B56.docx,2,"This institute conducts research on the Lithuanian language, relevant to R&D."
