country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2011,17635000.0,17635000.0,1,2011 TAR.FE51590E2B56.docx,single,LTL,litas,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2012,18577000.0,18577000.0,1,2012 TAR.B75745DE003E.docx,single,LTL,litas,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2013,20344000.0,20344000.0,1,2013 TAR.CABB5B7DAFB1.docx,single,LTL,litas,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2014,22769000.0,22769000.0,1,2014 TAIS_462848.docx,single,LTL,litas,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2015,7145012.0,7145012.0,1,2015 12-1408.docx,single,EUR,euro,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2016,7716000.0,7716000.0,1,2016 12-2161.docx,single,EUR,euro,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2017,12321000.0,12321000.0,1,2017 XIII-177.docx,single,EUR,euro,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2018,10966000.0,10966000.0,1,2018 XIII-868.docx,single,EUR,euro,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2019,10347000.0,10347000.0,1,2019 XIII-1710.docx,single,EUR,euro,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2020,11587000.0,11587000.0,1,2020 XIII-2695.docx,single,EUR,euro,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2021,11584000.0,11584000.0,1,2021 AR_2021-07-01.pdf,single,EUR,euro,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2022,12845000.0,12845000.0,1,2022 XIV-745.docx,single,EUR,euro,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2023,16447000.0,16447000.0,1,2023 XIV-1556.docx,single,EUR,euro,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2024,18909000.0,18909000.0,1,2024 XIV-2297.docx,single,EUR,euro,science_agency
Lithuania,Centre for Physical Sciences and Technology (Lithuania),2025,21975000.0,21975000.0,1,2025 XV-89.docx,single,EUR,euro,science_agency
Lithuania,Chemistry Institute,2009,7949000.0,7949000.0,1,2009 TAR.D641C5B5ADFD.docx,single,LTL,litas,science_agency
Lithuania,Chemistry Institute,2010,5798000.0,5798000.0,1,2010 TAR.E5C7DCAD90FA.docx,single,LTL,litas,science_agency
Lithuania,Fundamental Scientific Research,1999,3390000.0,3390000.0,1,1999 TAIS_102336.docx,single,LTL,litas,science_agency
Lithuania,Institute of Geology and Geography,2009,3950000.0,3950000.0,1,2009 TAR.D641C5B5ADFD.docx,single,LTL,litas,science_agency
Lithuania,Institute of Geology and Geography,2010,2931000.0,2931000.0,1,2010 TAR.E5C7DCAD90FA.docx,single,LTL,litas,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2009,3745000.0,3745000.0,1,2009 TAR.D641C5B5ADFD.docx,single,LTL,litas,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2010,2868000.0,2868000.0,1,2010 TAR.E5C7DCAD90FA.docx,single,LTL,litas,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2011,2917000.0,2917000.0,1,2011 TAR.FE51590E2B56.docx,single,LTL,litas,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2012,2894000.0,2894000.0,1,2012 TAR.B75745DE003E.docx,single,LTL,litas,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2013,3162000.0,3162000.0,1,2013 TAR.CABB5B7DAFB1.docx,single,LTL,litas,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2014,3415000.0,3415000.0,1,2014 TAIS_462848.docx,single,LTL,litas,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2015,1067917.0,1067917.0,1,2015 12-1408.docx,single,EUR,euro,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2016,1085000.0,1085000.0,1,2016 12-2161.docx,single,EUR,euro,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2017,1141000.0,1141000.0,1,2017 XIII-177.docx,single,EUR,euro,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2018,1213000.0,1213000.0,1,2018 XIII-868.docx,single,EUR,euro,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2019,1485000.0,1485000.0,1,2019 XIII-1710.docx,single,EUR,euro,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2020,1682000.0,1682000.0,1,2020 XIII-2695.docx,single,EUR,euro,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2021,1933000.0,1933000.0,1,2021 AR_2021-07-01.pdf,single,EUR,euro,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2022,2548000.0,2548000.0,1,2022 XIV-745.docx,single,EUR,euro,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2023,3363000.0,3363000.0,1,2023 XIV-1556.docx,single,EUR,euro,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2024,3765000.0,3765000.0,1,2024 XIV-2297.docx,single,EUR,euro,science_agency
Lithuania,Institute of Lithuanian Literature and Folklore,2025,4539000.0,4539000.0,1,2025 XV-89.docx,single,EUR,euro,science_agency
