country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Lithuania,1994,"State Science, Studies and Technology Service (Lithuania)",science_agency,ok,,,,,,none,408000.0,LTL,,1419000.0
Lithuania,1999,"State Science, Studies and Technology Service (Lithuania)",science_agency,ok,,,,,,none,1419000.0,LTL,408000.0,5052000.0
Lithuania,2001,"State Science, Studies and Technology Service (Lithuania)",science_agency,ok,,,,,,none,5052000.0,LTL,1419000.0,
Lithuania,2005,Lithuanian Research Council,science_agency,ok,,,,,,none,865000.0,LTL,,6492000.0
Lithuania,2009,Lithuanian Research Council,science_agency,ok,,,,,,none,6492000.0,LTL,865000.0,54909000.0
Lithuania,2010,Lithuanian Research Council,science_agency,ok,,,,,,none,54909000.0,LTL,6492000.0,91018000.0
Lithuania,2011,Lithuanian Research Council,science_agency,ok,,,,,,none,91018000.0,LTL,54909000.0,18641000.0
Lithuania,2017,Lithuanian Research Council,science_agency,ok,,,,,,none,18641000.0,EUR,91018000.0,18913000.0
Lithuania,2018,Lithuanian Research Council,science_agency,ok,,,,,,none,18913000.0,EUR,18641000.0,19125000.0
Lithuania,2019,Lithuanian Research Council,science_agency,ok,,,,,,none,19125000.0,EUR,18913000.0,22270000.0
Lithuania,2020,Lithuanian Research Council,science_agency,ok,,,,,,none,22270000.0,EUR,19125000.0,22329000.0
Lithuania,2021,Lithuanian Research Council,science_agency,ok,,,,,,none,22329000.0,EUR,22270000.0,31013000.0
Lithuania,2022,Lithuanian Research Council,science_agency,ok,,,,,,none,31013000.0,EUR,22329000.0,50065000.0
Lithuania,2023,Lithuanian Research Council,science_agency,ok,,,,,,none,50065000.0,EUR,31013000.0,59870000.0
Lithuania,2024,Lithuanian Research Council,science_agency,ok,,,,,,none,59870000.0,EUR,50065000.0,67564000.0
Lithuania,2025,Lithuanian Research Council,science_agency,ok,,,,,,none,67564000.0,EUR,59870000.0,
Lithuania,2011,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,17635000.0,LTL,,18577000.0
Lithuania,2012,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,18577000.0,LTL,17635000.0,20344000.0
Lithuania,2013,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,20344000.0,LTL,18577000.0,22769000.0
Lithuania,2014,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,22769000.0,LTL,20344000.0,7145012.0
Lithuania,2015,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,7145012.0,EUR,22769000.0,7716000.0
Lithuania,2016,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,7716000.0,EUR,7145012.0,12321000.0
Lithuania,2017,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,12321000.0,EUR,7716000.0,10966000.0
Lithuania,2018,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,10966000.0,EUR,12321000.0,10347000.0
Lithuania,2019,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,10347000.0,EUR,10966000.0,11587000.0
Lithuania,2020,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,11587000.0,EUR,10347000.0,11584000.0
Lithuania,2021,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,11584000.0,EUR,11587000.0,12845000.0
Lithuania,2022,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,12845000.0,EUR,11584000.0,16447000.0
Lithuania,2023,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,16447000.0,EUR,12845000.0,18909000.0
Lithuania,2024,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,18909000.0,EUR,16447000.0,21975000.0
Lithuania,2025,Centre for Physical Sciences and Technology (Lithuania),science_agency,ok,,,,,,none,21975000.0,EUR,18909000.0,
Lithuania,1997,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,3141000.0,LTL,,5902000.0
Lithuania,1998,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,5902000.0,LTL,3141000.0,6631000.0
Lithuania,1999,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,6631000.0,LTL,5902000.0,3198000.0
Lithuania,2001,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,3198000.0,LTL,6631000.0,5191000.0
Lithuania,2005,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,5191000.0,LTL,3198000.0,7585000.0
Lithuania,2009,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,7585000.0,LTL,5191000.0,5325000.0
Lithuania,2010,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,5325000.0,LTL,7585000.0,5669000.0
Lithuania,2011,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,5669000.0,LTL,5325000.0,2266000.0
Lithuania,2017,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,2266000.0,EUR,5669000.0,2540000.0
Lithuania,2018,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,2540000.0,EUR,2266000.0,2688000.0
Lithuania,2019,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,2688000.0,EUR,2540000.0,2895000.0
Lithuania,2020,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,2895000.0,EUR,2688000.0,3208000.0
Lithuania,2021,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,3208000.0,EUR,2895000.0,3766000.0
Lithuania,2022,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,3766000.0,EUR,3208000.0,4086000.0
Lithuania,2023,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,4086000.0,EUR,3766000.0,4734000.0
Lithuania,2024,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,4734000.0,EUR,4086000.0,4923000.0
Lithuania,2025,Lithuanian Genocide and Resistance Research Centre,science_agency,ok,,,,,,none,4923000.0,EUR,4734000.0,
Lithuania,2011,Lithuanian Research Centre for Agriculture and Forestry,science_agency,ok,,,,,,none,15712000.0,LTL,,16802000.0
Lithuania,2012,Lithuanian Research Centre for Agriculture and Forestry,science_agency,ok,,,,,,none,16802000.0,LTL,15712000.0,18618000.0
Lithuania,2013,Lithuanian Research Centre for Agriculture and Forestry,science_agency,ok,,,,,,none,18618000.0,LTL,16802000.0,20049000.0
Lithuania,2014,Lithuanian Research Centre for Agriculture and Forestry,science_agency,ok,,,,,,none,20049000.0,LTL,18618000.0,6033683.0
