canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
Acquisition and maintenance of laboratory equipment,direct_rd,1993,1993 eli-etat-leg-memorial-1992-a100-fr-pdf.pdf,Acquisition et entretien de matériel de laboratoire,500000.0,Ministry of Higher Education and Research,0,227,False
Acquisition and maintenance of laboratory equipment,direct_rd,1995,1995 eli-etat-leg-memorial-1994-a114-fr-pdf.pdf,Acquisition et entretien de matériel de laboratoire.,72000000.0,Ministry of Higher Education and Research,0,279,False
Acquisition of Equipment and Software for Research Projects,innovation_instruments,1995,1995 eli-etat-leg-memorial-1994-a114-fr-pdf.pdf,Acquisition d'équipements et de logiciels informatiques dans l'intérêt de projets de recherche,360000.0,Ministry of Higher Education and Research,0,274,False
Acquisition of Equipment and Software for Research Projects,innovation_instruments,1996,1996 eli-etat-leg-memorial-1995-a98-fr-pdf.pdf,Acquisition d'équipements et de logiciels informatiques dans l'intérêt de projets de recherche.,320000.0,Scientific research and applied research,0,314,False
Acquisition of Equipment and Software for Research Projects,innovation_instruments,1998,1998 eli-etat-leg-memorial-1997-a98-fr-pdf.pdf,Acquisition d'équipements et de logiciels informatiques dans l'intérêt de projets de recherche,300000.0,Ministry of Higher Education and Research,0,361,False
Acquisition of Equipment and Software for Research Projects,innovation_instruments,1999,1999 eli-etat-leg-memorial-1998-a109-fr-pdf.pdf,Acquisition d'équipements et de logiciels informatiques dans l'intérêt de projets de recherche,300000.0,Scientific and Applied Research,0,399,False
Acquisition of Equipment and Software for Research Projects,innovation_instruments,2001,2001 eli-etat-leg-memorial-2000-a140-fr-pdf.pdf,Acquisition d'équipements et de logiciels informatiques dans l'intérêt de projets de recherche.,6197.0,Scientific Research and Applied Research,0,465,False
Acquisition of Laboratory Equipment,direct_rd,1996,1996 eli-etat-leg-memorial-1995-a98-fr-pdf.pdf,Acquisition d'appareils de laboratoire,5000000.0,Ministry of Higher Education and Research,0,318,False
"Acquisition of Reagents, Glassware, Instruments, Isotopes, Vaccines and SELUMS",direct_rd,1999,1999 eli-etat-leg-memorial-1998-a109-fr-pdf.pdf,"Acquisition de réactifs, verrerie, instruments, isotopes, vaccins et SELUMS",6000000.0,Ministry of Higher Education and Research,0,402,False
"Acquisition of Reagents, Glassware, Instruments, Isotopes, Vaccines and SEPUMS",direct_rd,1996,1996 eli-etat-leg-memorial-1995-a98-fr-pdf.pdf,"Acquisition de réactifs, verrerie, instruments, isotopes, vaccins et SEPUMS",5000000.0,Ministry of Higher Education and Research,0,317,False
"Acquisition of Reagents, Glassware, Instruments, Isotopes, Vaccines, and Serums",direct_rd,2002,2002 eli-etat-leg-memorial-2001-a148-fr-pdf.pdf,"Acquisition de réactifs, verrerie, instruments, isotopes, vaccins et sérums.",2187872.0,Ministry of Higher Education and Research,0,503,False
Acquisition of Software for Research Projects,innovation_instruments,1993,1993 eli-etat-leg-memorial-1992-a100-fr-pdf.pdf,Acquisition de logiciels dans l'intérêt de projets de recherche,400000.0,Ministry of Higher Education and Research,0,218,False
Acquisition of computer equipment for research projects,direct_rd,1993,1993 eli-etat-leg-memorial-1992-a100-fr-pdf.pdf,Acquisition d'équipements informatiques dans l'intérêt de projets de recherche,500000.0,Ministry of Higher Education and Research,0,217,False
Bacteriology and Parasitology Division: Chlamydia Trachomatis Screening Program in Luxembourg,direct_rd,2009,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,Division de bactériologie et parasitologie: programme de dépistage de chlamydiatrachomatis au Luxembourg.,25000.0,Ministry of Higher Education and Research,0,735,False
CRP Gabriel Lippmann (Luxembourg),research_institute,2006,2006 eli-etat-leg-memorial-2005-a217-fr-pdf.pdf,Dotation au CRP Gabriel Lippmann pour la recherche,10000000.0,Ministry of Higher Education and Research,0,608,False
CRP Gabriel Lippmann (Luxembourg),research_institute,2011,budget-de-l-etat-2011.pdf,Subvention pour le CRP Gabriel Lippmann,4000000.0,Public Research Center Gabriel Lippmann,0,788,True
CRP Gabriel Lippmann (Luxembourg),research_institute,2014,budget-de-l-etat-2014.pdf,CRP Gabriel Lippmann: operational funding,,Ministry of Higher Education and Research,0,894,True
CRP Gabriel Lippmann (Luxembourg),research_institute,2014,budget-de-l-etat-2014.pdf,Mesures dans l'intérêt de l'accompagnement de la fusion du CRP Gabriel Lippmann et du CRP Henri Tudor: dépenses diverses.,1500000.0,Research and Innovation,0,925,True
Contribution to the Activities of the National Cancer Institute,direct_rd,2020,budget-de-l-Etat-2020.pdf,Participation aux frais des activités de l’Institut national du cancer,400000.0,Ministry of Higher Education and Research,0,1163,False
Contribution to the Costs of Organizing International Scientific Conferences,innovation_instruments,1993,1993 eli-etat-leg-memorial-1992-a100-fr-pdf.pdf,Participation aux frais d'organisation de conférences scientifiques internationales,500000.0,Scientific Research and Applied Research,0,214,False
