country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role,dedup_notes,temporal_flag
Luxembourg,1975,line_item,03,Ministère de l'Enseignement Supérieur et de la Recherche,Ministry of Higher Education and Research,,Recherches scientifiques: subsides,Scientific research: subsidies,1000000.0,unit,LUF,direct_rd,include,0.9,1975 eli-etat-leg-memorial-1974-a92-fr-pdf.pdf,91,gpt-4o-mini,extract,,[luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] ,,,
Luxembourg,1975,line_item,03,Ministère de l'Enseignement Supérieur et de la Recherche,Ministry of Higher Education and Research,,Recherches scientifiques: dépenses diverses,Scientific research: various expenses,200000.0,unit,LUF,direct_rd,include,0.9,1975 eli-etat-leg-memorial-1974-a92-fr-pdf.pdf,91,gpt-4o-mini,extract,,[luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] ,,,
Luxembourg,1975,section_total,03,Ministère de l'Enseignement Supérieur et de la Recherche,Ministry of Higher Education and Research,,Total budget for the Ministry of Higher Education and Research,Total budget for the Ministry of Higher Education and Research,10000000.0,unit,LUF,science_agency,include,1.0,1975 eli-etat-leg-memorial-1974-a92-fr-pdf.pdf,91,gpt-4o-mini,extract,,[luxembourg_macro_total: section aggregate] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] [luxembourg_macro_total: section aggregate] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] ,section,,
Luxembourg,1975,line_item,03,Ministère de l'Enseignement Supérieur et de la Recherche,Ministry of Higher Education and Research,,Acquisition d'appareils scientifiques,Acquisition of scientific equipment,100000.0,unit,LUF,research_infrastructure,include,0.9,1975 eli-etat-leg-memorial-1974-a92-fr-pdf.pdf,92,gpt-4o-mini,extract,,[luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] ,,,
Luxembourg,1975,line_item,03,Ministère de l'Enseignement Supérieur et de la Recherche,Ministry of Higher Education and Research,,Acquisition d'équipement de laboratoire et d'atelier,Acquisition of laboratory and workshop equipment,200000.0,unit,LUF,research_infrastructure,include,0.9,1975 eli-etat-leg-memorial-1974-a92-fr-pdf.pdf,93,gpt-4o-mini,extract,,[luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] ,,,
Luxembourg,1975,line_item,03,Ministère de l'Enseignement Supérieur et de la Recherche,Ministry of Higher Education and Research,,Recherches scientifiques du musée d'histoire naturelle.,Scientific research of the Natural History Museum.,300000.0,unit,LUF,direct_rd,include,0.9,1975 eli-etat-leg-memorial-1974-a92-fr-pdf.pdf,93,gpt-4o-mini,extract,,[luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] ,,,
Luxembourg,1976,section_total,03,Ministère de l'Enseignement Supérieur et de la Recherche,Ministry of Higher Education and Research,,Total budget for the Ministry of Higher Education and Research,Total budget for the Ministry of Higher Education and Research,150512000.0,unit,LUF,science_agency,include,1.0,1976 eli-etat-leg-memorial-1975-a89-fr-pdf.pdf,74,gpt-4o-mini,extract,,[luxembourg_macro_total: section aggregate] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] [luxembourg_macro_total: section aggregate] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] ,section,,
Luxembourg,1976,line_item,03,Ministère de l'Enseignement Supérieur et de la Recherche,Ministry of Higher Education and Research,,Recherches scientifiques: subsides,Scientific research: subsidies,500000.0,unit,LUF,direct_rd,include,0.9,1976 eli-etat-leg-memorial-1975-a89-fr-pdf.pdf,93,gpt-4o-mini,extract,,[luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] ,,,
Luxembourg,1976,line_item,03,Ministère de l'Enseignement Supérieur et de la Recherche,Ministry of Higher Education and Research,,Recherches scientifiques: dépenses diverses,Scientific research: various expenses,200000.0,unit,LUF,direct_rd,include,0.9,1976 eli-etat-leg-memorial-1975-a89-fr-pdf.pdf,93,gpt-4o-mini,extract,,[luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] ,,,
Luxembourg,1976,line_item,03,Ministère de l'Enseignement Supérieur et de la Recherche,Ministry of Higher Education and Research,,Recherches scientifiques: acquisition d'appareils,Scientific research: acquisition of equipment,400000.0,unit,LUF,research_infrastructure,include,0.9,1976 eli-etat-leg-memorial-1975-a89-fr-pdf.pdf,94,gpt-4o-mini,extract,,[luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] [luxembourg_full_currency_units: relabelled thousand→unit; Luxembourg pages are printed in full currency units] [luxembourg_luf_era: amounts in LUF (Luxembourg franc); 1 EUR = 40.3399 LUF (fixed rate from 1999)] ,,,
