country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Luxembourg,2006,CRP Gabriel Lippmann (Luxembourg),,10000000.0,euro,EUR,section_total,Allocation to CRP Gabriel Lippmann for research,2006 eli-etat-leg-memorial-2005-a217-fr-pdf.pdf,,"reclassify: docx_results.csv row, decision=include, clean single entity match"
Luxembourg,2008,CRP Gabriel Lippmann (Luxembourg),research_institute,15400000.0,euro,EUR,verified_override,Verified 2008 CRP Gabriel Lippmann appropriation from section 03.5 'Recherche et innovation' in the original budget page,2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,75.0,locked manual curation
Luxembourg,2009,CRP Gabriel Lippmann (Luxembourg),research_institute,11300000.0,euro,EUR,verified_override,Verified 2009 CRP Gabriel Lippmann appropriation from section 03.5 'Recherche et innovation' in the original budget page,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,77.0,locked manual curation
Luxembourg,2010,CRP Gabriel Lippmann (Luxembourg),research_institute,13200000.0,euro,EUR,verified_override,Verified 2010 CRP Gabriel Lippmann appropriation from section 03.2 'Recherche et innovation' in the original budget page,budget-de-l-etat-2010.pdf,81.0,locked manual curation
Luxembourg,2011,CRP Gabriel Lippmann (Luxembourg),research_institute,13200000.0,euro,EUR,verified_override,Verified 2011 CRP Gabriel Lippmann appropriation from section 03.2 'Recherche et innovation' in the original budget page,budget-de-l-etat-2011.pdf,75.0,locked manual curation
Luxembourg,2012,CRP Gabriel Lippmann (Luxembourg),research_institute,15300000.0,euro,EUR,verified_override,Verified 2012 CRP Gabriel Lippmann appropriation from section 03.2 'Recherche et innovation' in the original budget page,budget-de-l-etat-2012.pdf,72.0,locked manual curation
Luxembourg,2013,CRP Gabriel Lippmann (Luxembourg),research_institute,15600000.0,euro,EUR,verified_override,Verified 2013 CRP Gabriel Lippmann appropriation from section 03.2 'Recherche et innovation' in the original budget page,budget-de-l-etat-2013.pdf,76.0,locked manual curation
Luxembourg,2014,CRP Gabriel Lippmann (Luxembourg),research_institute,15000000.0,euro,EUR,verified_override,Verified 2014 CRP Gabriel Lippmann appropriation from section 03.2 'Recherche et innovation' in the original budget page,budget-de-l-etat-2014.pdf,80.0,locked manual curation
Luxembourg,2001,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,5000000.0,euro,EUR,verified_override,Verified 2001 FNR appropriation from section 03.5 'Recherche scientifique et recherche appliquée' in the original budget page,2001 eli-etat-leg-memorial-2000-a140-fr-pdf.pdf,70.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2002,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,7500000.0,euro,EUR,verified_override,Verified 2002 FNR appropriation from section 03.5 'Recherche scientifique et recherche appliquée' in the original budget page,2002 eli-etat-leg-memorial-2001-a148-fr-pdf.pdf,66.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2003,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,7833900.0,euro,EUR,verified_override,Verified 2003 FNR appropriation from section 03.5 'Recherche scientifique et recherche appliquée' in the original budget page,2003 eli-etat-leg-memorial-2002-a143-fr-pdf.pdf,75.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2004,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,11165000.0,euro,EUR,verified_override,Verified 2004 FNR appropriation from section 03.5 'Recherche scientifique et recherche appliquée' in the original budget page,2004 eli-etat-leg-memorial-2003-a184-fr-pdf.pdf,80.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2005,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,13090000.0,euro,EUR,verified_override,Verified 2005 FNR appropriation from section 03.5 'Recherche scientifique et recherche appliquée' in the original budget page,2005 eli-etat-leg-memorial-2004-a204-fr-pdf.pdf,72.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2006,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,14500000.0,euro,EUR,verified_override,Verified 2006 FNR appropriation from section 03.5 'Recherche et innovation' in the original budget page,2006 eli-etat-leg-memorial-2005-a217-fr-pdf.pdf,85.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2007,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,18000000.0,euro,EUR,verified_override,Verified 2007 FNR appropriation from section 03.5 'Recherche et innovation' in the original budget page,2007 eli-etat-leg-memorial-2006-a236-fr-pdf.pdf,82.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2008,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,22360000.0,euro,EUR,verified_override,Verified 2008 FNR appropriation from section 03.5 'Recherche et innovation' in the original budget page,2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,75.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2009,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,28200000.0,euro,EUR,verified_override,Verified 2009 FNR appropriation from section 03.5 'Recherche et innovation' in the original budget page,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,76.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2010,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,40300000.0,euro,EUR,verified_override,Verified 2010 FNR appropriation from section 03.2 'Recherche et innovation' in the original budget page,budget-de-l-etat-2010.pdf,81.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2011,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,35240000.0,euro,EUR,verified_override,Verified 2011 FNR appropriation from section 03.2 'Recherche et innovation' in the original budget page,budget-de-l-etat-2011.pdf,75.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2012,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,45000000.0,euro,EUR,verified_override,Verified 2012 FNR appropriation from section 03.2 'Recherche et innovation' in the original budget page,budget-de-l-etat-2012.pdf,72.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2013,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,52000000.0,euro,EUR,verified_override,Verified 2013 FNR appropriation from section 03.2 'Recherche et innovation' in the original budget page,budget-de-l-etat-2013.pdf,76.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2014,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,52000000.0,euro,EUR,verified_override,Verified 2014 FNR appropriation from section 03.2 'Recherche et innovation' in the original budget page,budget-de-l-etat-2014.pdf,79.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2015,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,60000000.0,euro,EUR,verified_override,Verified 2015 FNR appropriation from section 03.3 'Recherche et innovation' in the original budget page,budget-de-l-etat-2015.pdf,78.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2016,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,60000000.0,euro,EUR,verified_override,Verified 2016 FNR appropriation from section 03.3 'Recherche et innovation' in the original budget page,budget-de-l-etat-2016.pdf,77.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
Luxembourg,2017,FNR — Fonds National de la Recherche (Luxembourg),rd_agency,64802060.0,euro,EUR,verified_override,Verified 2017 FNR appropriation from section 03.3 'Recherche et innovation' in the original budget page,budget-de-l-etat-2017.pdf,75.0,Primary competitive R&D funder. Amounts in full EUR.; locked manual curation
