country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Luxembourg,CRP Gabriel Lippmann (Luxembourg),2008,15400000.0,15400000.0,1,2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,single,EUR,euro,research_institute
Luxembourg,CRP Gabriel Lippmann (Luxembourg),2009,11300000.0,11300000.0,1,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,single,EUR,euro,research_institute
Luxembourg,CRP Gabriel Lippmann (Luxembourg),2010,13200000.0,13200000.0,1,budget-de-l-etat-2010.pdf,single,EUR,euro,research_institute
Luxembourg,CRP Gabriel Lippmann (Luxembourg),2011,13200000.0,13200000.0,1,budget-de-l-etat-2011.pdf,single,EUR,euro,research_institute
Luxembourg,CRP Gabriel Lippmann (Luxembourg),2012,15300000.0,15300000.0,1,budget-de-l-etat-2012.pdf,single,EUR,euro,research_institute
Luxembourg,CRP Gabriel Lippmann (Luxembourg),2013,15600000.0,15600000.0,1,budget-de-l-etat-2013.pdf,single,EUR,euro,research_institute
Luxembourg,CRP Gabriel Lippmann (Luxembourg),2014,15000000.0,15000000.0,1,budget-de-l-etat-2014.pdf,single,EUR,euro,research_institute
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2001,5000000.0,5000000.0,1,2001 eli-etat-leg-memorial-2000-a140-fr-pdf.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2002,7500000.0,7500000.0,1,2002 eli-etat-leg-memorial-2001-a148-fr-pdf.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2003,7833900.0,7833900.0,1,2003 eli-etat-leg-memorial-2002-a143-fr-pdf.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2004,11165000.0,11165000.0,1,2004 eli-etat-leg-memorial-2003-a184-fr-pdf.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2005,13090000.0,13090000.0,1,2005 eli-etat-leg-memorial-2004-a204-fr-pdf.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2006,14500000.0,14500000.0,1,2006 eli-etat-leg-memorial-2005-a217-fr-pdf.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2007,18000000.0,18000000.0,1,2007 eli-etat-leg-memorial-2006-a236-fr-pdf.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2008,22360000.0,22360000.0,1,2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2009,28200000.0,28200000.0,1,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2010,40300000.0,40300000.0,1,budget-de-l-etat-2010.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2011,35240000.0,35240000.0,1,budget-de-l-etat-2011.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2012,45000000.0,45000000.0,1,budget-de-l-etat-2012.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2013,52000000.0,52000000.0,1,budget-de-l-etat-2013.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2014,52000000.0,52000000.0,1,budget-de-l-etat-2014.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2015,60000000.0,60000000.0,1,budget-de-l-etat-2015.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2016,69000000.0,69000000.0,1,budget-de-l-etat-2016.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2017,69000000.0,69000000.0,1,budget-de-l-etat-2017.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2018,69000000.0,69000000.0,1,budget-de-l-etat-2018.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2019,69000000.0,69000000.0,1,2019budget-de-l-Etat.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2020,66790000.0,66790000.0,1,budget-de-l-Etat-2020.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2021,66830000.0,66830000.0,1,budget-de-l-Etat-2021.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2022,69030000.0,69030000.0,1,budget-de-l-Etat-2022.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2023,70000000.0,70000000.0,1,budget-de-l-etat-2023.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2024,75000000.0,75000000.0,1,budget-de-letat-2024.pdf,single,EUR,euro,rd_agency
Luxembourg,FNR — Fonds National de la Recherche (Luxembourg),2025,80000000.0,80000000.0,1,budget-de-letat-2025.pdf,single,EUR,euro,rd_agency
Luxembourg,LIH / CRP Santé (Luxembourg),2008,15500000.0,15500000.0,1,2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2009,16200000.0,16200000.0,1,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2010,19100000.0,19100000.0,1,budget-de-l-etat-2010.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2011,19100000.0,19100000.0,1,budget-de-l-etat-2011.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2012,21500000.0,21500000.0,1,budget-de-l-etat-2012.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2013,20000000.0,20000000.0,1,budget-de-l-etat-2013.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2014,23000000.0,23000000.0,1,budget-de-l-etat-2014.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2015,31100000.0,31100000.0,1,budget-de-l-etat-2015.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2016,44000000.0,44000000.0,1,budget-de-l-etat-2016.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2017,44000000.0,44000000.0,1,budget-de-l-etat-2017.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2018,44000000.0,44000000.0,1,budget-de-l-etat-2018.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2019,44000000.0,44000000.0,1,2019budget-de-l-Etat.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2020,38770000.0,38770000.0,1,budget-de-l-Etat-2020.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2021,43260000.0,43260000.0,1,budget-de-l-Etat-2021.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2022,44300000.0,44300000.0,1,budget-de-l-Etat-2022.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2023,44970000.0,44970000.0,1,budget-de-l-etat-2023.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2024,45970000.0,45970000.0,1,budget-de-letat-2024.pdf,single,EUR,euro,research_institute
Luxembourg,LIH / CRP Santé (Luxembourg),2025,48100000.0,48100000.0,1,budget-de-letat-2025.pdf,single,EUR,euro,research_institute
Luxembourg,LISER / CEPS-INSTEAD (Luxembourg),2005,4920000.0,4920000.0,1,2005 eli-etat-leg-memorial-2004-a204-fr-pdf.pdf,single,EUR,euro,research_institute
Luxembourg,LISER / CEPS-INSTEAD (Luxembourg),2006,5265000.0,5265000.0,1,2006 eli-etat-leg-memorial-2005-a217-fr-pdf.pdf,single,EUR,euro,research_institute
Luxembourg,LISER / CEPS-INSTEAD (Luxembourg),2007,6500000.0,6500000.0,1,2007 eli-etat-leg-memorial-2006-a236-fr-pdf.pdf,single,EUR,euro,research_institute
Luxembourg,LISER / CEPS-INSTEAD (Luxembourg),2014,10400000.0,10400000.0,1,budget-de-l-etat-2014.pdf,single,EUR,euro,research_institute
