country,year,canonical_name,amount_local,currency,unit,item_type,source_file,page_number,verification_status,verification_note
Luxembourg,2008,CRP Gabriel Lippmann (Luxembourg),15400000.0,EUR,euro,verified_override,2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2009,CRP Gabriel Lippmann (Luxembourg),11300000.0,EUR,euro,verified_override,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,77.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2010,CRP Gabriel Lippmann (Luxembourg),13200000.0,EUR,euro,verified_override,budget-de-l-etat-2010.pdf,81.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2011,CRP Gabriel Lippmann (Luxembourg),13200000.0,EUR,euro,verified_override,budget-de-l-etat-2011.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2012,CRP Gabriel Lippmann (Luxembourg),15300000.0,EUR,euro,verified_override,budget-de-l-etat-2012.pdf,72.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2013,CRP Gabriel Lippmann (Luxembourg),15600000.0,EUR,euro,verified_override,budget-de-l-etat-2013.pdf,76.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2014,CRP Gabriel Lippmann (Luxembourg),15000000.0,EUR,euro,verified_override,budget-de-l-etat-2014.pdf,80.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2001,FNR — Fonds National de la Recherche (Luxembourg),5000000.0,EUR,euro,verified_override,2001 eli-etat-leg-memorial-2000-a140-fr-pdf.pdf,70.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2002,FNR — Fonds National de la Recherche (Luxembourg),7500000.0,EUR,euro,verified_override,2002 eli-etat-leg-memorial-2001-a148-fr-pdf.pdf,66.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2003,FNR — Fonds National de la Recherche (Luxembourg),7833900.0,EUR,euro,verified_override,2003 eli-etat-leg-memorial-2002-a143-fr-pdf.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2004,FNR — Fonds National de la Recherche (Luxembourg),11165000.0,EUR,euro,verified_override,2004 eli-etat-leg-memorial-2003-a184-fr-pdf.pdf,80.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2005,FNR — Fonds National de la Recherche (Luxembourg),13090000.0,EUR,euro,verified_override,2005 eli-etat-leg-memorial-2004-a204-fr-pdf.pdf,72.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2006,FNR — Fonds National de la Recherche (Luxembourg),14500000.0,EUR,euro,verified_override,2006 eli-etat-leg-memorial-2005-a217-fr-pdf.pdf,85.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2007,FNR — Fonds National de la Recherche (Luxembourg),18000000.0,EUR,euro,verified_override,2007 eli-etat-leg-memorial-2006-a236-fr-pdf.pdf,82.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2008,FNR — Fonds National de la Recherche (Luxembourg),22360000.0,EUR,euro,verified_override,2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2009,FNR — Fonds National de la Recherche (Luxembourg),28200000.0,EUR,euro,verified_override,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,76.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2010,FNR — Fonds National de la Recherche (Luxembourg),40300000.0,EUR,euro,verified_override,budget-de-l-etat-2010.pdf,81.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2011,FNR — Fonds National de la Recherche (Luxembourg),35240000.0,EUR,euro,verified_override,budget-de-l-etat-2011.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2012,FNR — Fonds National de la Recherche (Luxembourg),45000000.0,EUR,euro,verified_override,budget-de-l-etat-2012.pdf,72.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2013,FNR — Fonds National de la Recherche (Luxembourg),52000000.0,EUR,euro,verified_override,budget-de-l-etat-2013.pdf,76.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2014,FNR — Fonds National de la Recherche (Luxembourg),52000000.0,EUR,euro,verified_override,budget-de-l-etat-2014.pdf,79.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2015,FNR — Fonds National de la Recherche (Luxembourg),60000000.0,EUR,euro,verified_override,budget-de-l-etat-2015.pdf,78.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2016,FNR — Fonds National de la Recherche (Luxembourg),60000000.0,EUR,euro,verified_override,budget-de-l-etat-2016.pdf,77.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2017,FNR — Fonds National de la Recherche (Luxembourg),64802060.0,EUR,euro,verified_override,budget-de-l-etat-2017.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2018,FNR — Fonds National de la Recherche (Luxembourg),64802060.0,EUR,euro,verified_override,budget-de-l-etat-2018.pdf,88.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2019,FNR — Fonds National de la Recherche (Luxembourg),64790000.0,EUR,euro,verified_override,2019budget-de-l-Etat.pdf,86.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2020,FNR — Fonds National de la Recherche (Luxembourg),66790000.0,EUR,euro,verified_override,budget-de-l-Etat-2020.pdf,82.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2021,FNR — Fonds National de la Recherche (Luxembourg),66830000.0,EUR,euro,verified_override,budget-de-l-Etat-2021.pdf,98.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2022,FNR — Fonds National de la Recherche (Luxembourg),69030000.0,EUR,euro,verified_override,budget-de-l-Etat-2022.pdf,91.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2023,FNR — Fonds National de la Recherche (Luxembourg),70000000.0,EUR,euro,verified_override,budget-de-l-etat-2023.pdf,90.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2024,FNR — Fonds National de la Recherche (Luxembourg),75000000.0,EUR,euro,verified_override,budget-de-letat-2024.pdf,199.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2025,FNR — Fonds National de la Recherche (Luxembourg),80000000.0,EUR,euro,verified_override,budget-de-letat-2025.pdf,190.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2008,LIH / CRP Santé (Luxembourg),15500000.0,EUR,euro,verified_override,2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2009,LIH / CRP Santé (Luxembourg),16200000.0,EUR,euro,verified_override,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,77.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2010,LIH / CRP Santé (Luxembourg),19100000.0,EUR,euro,verified_override,budget-de-l-etat-2010.pdf,81.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2011,LIH / CRP Santé (Luxembourg),19100000.0,EUR,euro,verified_override,budget-de-l-etat-2011.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2012,LIH / CRP Santé (Luxembourg),21500000.0,EUR,euro,verified_override,budget-de-l-etat-2012.pdf,72.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2013,LIH / CRP Santé (Luxembourg),20000000.0,EUR,euro,verified_override,budget-de-l-etat-2013.pdf,77.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2014,LIH / CRP Santé (Luxembourg),23000000.0,EUR,euro,verified_override,budget-de-l-etat-2014.pdf,80.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2015,LIH / CRP Santé (Luxembourg),31100000.0,EUR,euro,verified_override,budget-de-l-etat-2015.pdf,79.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2016,LIH / CRP Santé (Luxembourg),31100000.0,EUR,euro,verified_override,budget-de-l-etat-2016.pdf,78.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2017,LIH / CRP Santé (Luxembourg),30589780.0,EUR,euro,verified_override,budget-de-l-etat-2017.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2018,LIH / CRP Santé (Luxembourg),30589780.0,EUR,euro,verified_override,budget-de-l-etat-2018.pdf,89.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2019,LIH / CRP Santé (Luxembourg),35850000.0,EUR,euro,verified_override,2019budget-de-l-Etat.pdf,86.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2020,LIH / CRP Santé (Luxembourg),38770000.0,EUR,euro,verified_override,budget-de-l-Etat-2020.pdf,82.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2021,LIH / CRP Santé (Luxembourg),43260000.0,EUR,euro,verified_override,budget-de-l-Etat-2021.pdf,98.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2022,LIH / CRP Santé (Luxembourg),44300000.0,EUR,euro,verified_override,budget-de-l-Etat-2022.pdf,91.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2023,LIH / CRP Santé (Luxembourg),44970000.0,EUR,euro,verified_override,budget-de-l-etat-2023.pdf,90.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2024,LIH / CRP Santé (Luxembourg),45970000.0,EUR,euro,verified_override,budget-de-letat-2024.pdf,199.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2025,LIH / CRP Santé (Luxembourg),48100000.0,EUR,euro,verified_override,budget-de-letat-2025.pdf,190.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2005,LISER / CEPS-INSTEAD (Luxembourg),4920000.0,EUR,euro,verified_override,2005 eli-etat-leg-memorial-2004-a204-fr-pdf.pdf,72.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2006,LISER / CEPS-INSTEAD (Luxembourg),5265000.0,EUR,euro,verified_override,2006 eli-etat-leg-memorial-2005-a217-fr-pdf.pdf,85.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2007,LISER / CEPS-INSTEAD (Luxembourg),6500000.0,EUR,euro,verified_override,2007 eli-etat-leg-memorial-2006-a236-fr-pdf.pdf,83.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2014,LISER / CEPS-INSTEAD (Luxembourg),10400000.0,EUR,euro,verified_override,budget-de-l-etat-2014.pdf,79.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2015,LISER / CEPS-INSTEAD (Luxembourg),10500000.0,EUR,euro,verified_override,budget-de-l-etat-2015.pdf,78.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2016,LISER / CEPS-INSTEAD (Luxembourg),10500000.0,EUR,euro,verified_override,budget-de-l-etat-2016.pdf,77.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2017,LISER / CEPS-INSTEAD (Luxembourg),10271690.0,EUR,euro,verified_override,budget-de-l-etat-2017.pdf,75.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2018,LISER / CEPS-INSTEAD (Luxembourg),10271690.0,EUR,euro,verified_override,budget-de-l-etat-2018.pdf,88.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2019,LISER / CEPS-INSTEAD (Luxembourg),11500000.0,EUR,euro,verified_override,2019budget-de-l-Etat.pdf,86.0,verified_against_original_page,Locked manual verification against original PDF page.
Luxembourg,2020,LISER / CEPS-INSTEAD (Luxembourg),11990000.0,EUR,euro,verified_override,budget-de-l-Etat-2020.pdf,82.0,verified_against_original_page,Locked manual verification against original PDF page.
