country,year,source_file,file_path,missing_agencies
Luxembourg,1987,1987 eli-etat-leg-memorial-1986-a104-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/1987 eli-etat-leg-memorial-1986-a104-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,1988,1988 eli-etat-leg-memorial-1987-a106-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/1988 eli-etat-leg-memorial-1987-a106-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,1989,1989 eli-etat-leg-memorial-1988-a69-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/1989 eli-etat-leg-memorial-1988-a69-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,1990,1990 eli-etat-leg-memorial-1989-a81-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/1990 eli-etat-leg-memorial-1989-a81-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,1991,1991 eli-etat-leg-memorial-1990-a71-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/1991 eli-etat-leg-memorial-1990-a71-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,1993,1993 eli-etat-leg-memorial-1992-a100-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/1993 eli-etat-leg-memorial-1992-a100-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,1994,1994 eli-etat-leg-memorial-1993-a97-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/1994 eli-etat-leg-memorial-1993-a97-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,1996,1996 eli-etat-leg-memorial-1995-a98-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/1996 eli-etat-leg-memorial-1995-a98-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,1998,1998 eli-etat-leg-memorial-1997-a98-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/1998 eli-etat-leg-memorial-1997-a98-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,2001,2001 eli-etat-leg-memorial-2000-a140-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/2001 eli-etat-leg-memorial-2000-a140-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,2002,2002 eli-etat-leg-memorial-2001-a148-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/2002 eli-etat-leg-memorial-2001-a148-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,2003,2003 eli-etat-leg-memorial-2002-a143-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/2003 eli-etat-leg-memorial-2002-a143-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,2004,2004 eli-etat-leg-memorial-2003-a184-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/2004 eli-etat-leg-memorial-2003-a184-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,2005,2005 eli-etat-leg-memorial-2004-a204-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/2005 eli-etat-leg-memorial-2004-a204-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,2006,2006 eli-etat-leg-memorial-2005-a217-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/2006 eli-etat-leg-memorial-2005-a217-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,2007,2007 eli-etat-leg-memorial-2006-a236-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/2007 eli-etat-leg-memorial-2006-a236-fr-pdf.pdf,LIST / CRP Henri Tudor (Luxembourg)
Luxembourg,2008,2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/2008 eli-etat-leg-memorial-2007-a236-fr-pdf.pdf,LISER / CEPS-INSTEAD (Luxembourg)
Luxembourg,2009,2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/2009 eli-etat-leg-memorial-2008-a200-fr-pdf.pdf,LISER / CEPS-INSTEAD (Luxembourg)
Luxembourg,2010,budget-de-l-etat-2010.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-etat-2010.pdf,LISER / CEPS-INSTEAD (Luxembourg)
Luxembourg,2011,budget-de-l-etat-2011.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-etat-2011.pdf,LISER / CEPS-INSTEAD (Luxembourg)
Luxembourg,2012,budget-de-l-etat-2012.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-etat-2012.pdf,LISER / CEPS-INSTEAD (Luxembourg)
Luxembourg,2013,budget-de-l-etat-2013.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-etat-2013.pdf,LISER / CEPS-INSTEAD (Luxembourg)
Luxembourg,2015,budget-de-l-etat-2015.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-etat-2015.pdf,CRP Gabriel Lippmann (Luxembourg)
Luxembourg,2014,budget-de-l-etat-2014.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-etat-2014.pdf,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg)
Luxembourg,2016,budget-de-l-etat-2016.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-etat-2016.pdf,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg)
Luxembourg,2017,budget-de-l-etat-2017.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-etat-2017.pdf,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg)
Luxembourg,2018,budget-de-l-etat-2018.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-etat-2018.pdf,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg)
Luxembourg,2019,2019budget-de-l-Etat.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/2019budget-de-l-Etat.pdf,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg)
Luxembourg,2020,budget-de-l-Etat-2020.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-Etat-2020.pdf,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg)
Luxembourg,2021,budget-de-l-Etat-2021.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-Etat-2021.pdf,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg)
Luxembourg,2022,budget-de-l-Etat-2022.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-Etat-2022.pdf,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg)
Luxembourg,2023,budget-de-l-etat-2023.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-l-etat-2023.pdf,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg)
Luxembourg,2024,budget-de-letat-2024.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-letat-2024.pdf,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg)
Luxembourg,2025,budget-de-letat-2025.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Luxembourg/budget-de-letat-2025.pdf,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg)
