source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1975 eli-etat-leg-memorial-1974-a92-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1975 eli-etat-leg-memorial-1974-a92-fr-pdf.pdf,,1,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg),91,Total budget for the Ministry of Higher Education and Research,10000000.0,covered_by_final_series,
1976 eli-etat-leg-memorial-1975-a89-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1976 eli-etat-leg-memorial-1975-a89-fr-pdf.pdf,,1,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg),74,Total budget for the Ministry of Higher Education and Research,150512000.0,covered_by_final_series,
1977 eli-etat-leg-memorial-1976-a79-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1977 eli-etat-leg-memorial-1976-a79-fr-pdf.pdf,,1,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg),85,Total expenditures of the Ministry of Higher Education and Research,25175000.0,covered_by_final_series,
1978 eli-etat-leg-memorial-1977-a77-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1978 eli-etat-leg-memorial-1977-a77-fr-pdf.pdf,,1,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg),99,Total budget for the Ministry of Higher Education and Research,60000000.0,covered_by_final_series,
1979 eli-etat-leg-memorial-1978-a86-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1979 eli-etat-leg-memorial-1978-a86-fr-pdf.pdf,,1,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg),98-155,Total budget for the Ministry of Higher Education and Research,15000000.0,covered_by_final_series,
1980 eli-etat-leg-memorial-1979-a95-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1980 eli-etat-leg-memorial-1979-a95-fr-pdf.pdf,,1,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg),184,Total budget for the Ministry of Higher Education and Research,12000000.0,covered_by_final_series,
1981 eli-etat-leg-memorial-1980-a84-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1981 eli-etat-leg-memorial-1980-a84-fr-pdf.pdf,,0,,,,,not_used_in_final_series,
1982 eli-etat-leg-memorial-1981-a100-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1982 eli-etat-leg-memorial-1981-a100-fr-pdf.pdf,,0,,,,,not_used_in_final_series,
1983 eli-etat-leg-memorial-1982-a109-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1983 eli-etat-leg-memorial-1982-a109-fr-pdf.pdf,,1,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg),134,Total budget for the Ministry of Higher Education and Research,23960000.0,covered_by_final_series,
1984 eli-etat-leg-memorial-1983-a111-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1984 eli-etat-leg-memorial-1983-a111-fr-pdf.pdf,,1,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg),143,Total budget for the Ministry of Higher Education and Research,244900000.0,covered_by_final_series,
1985 eli-etat-leg-memorial-1984-a111-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1985 eli-etat-leg-memorial-1984-a111-fr-pdf.pdf,,1,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg),127,Total budget for the Ministry of Higher Education and Research,126625000.0,covered_by_final_series,
1987 eli-etat-leg-memorial-1986-a104-fr-pdf.pdf,Data/input/finance_bills/Luxembourg/1987 eli-etat-leg-memorial-1986-a104-fr-pdf.pdf,,1,Ministère de l'Enseignement Supérieur et de la Recherche (Luxembourg),107-142,Total budget for the Ministry of Higher Education and Research,25000000.0,covered_by_final_series,
