country,year,source_file,run_status,run_log_rows_extracted,docx_results_rows,docx_audit_in_series_rows,extracted_entities,missing_agencies_from_queue,year_issue_label,year_document_change_flag,country_document_change_signal,document_change_note,diagnosis_excerpt,recommended_action
Mexico,1986,1986 31121985-MAT.pdf,ran_with_rows,1,1,0,Scientific research and technological development.,Centros Públicos de Investigación CONACYT (Mexico),Raw rows exist but need reclassification,False,False,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (0 in 1986 31121985-MAT.pdf). The gap is downstream of extraction. | Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",Downstream fix: review canonical matching/selection against extracted rows already present.
Mexico,1987,1987 31121986-MAT.pdf,ran_with_rows,2,2,1,CONACYT / CONAHCyT — Ramo 38 (Mexico),Centros Públicos de Investigación CONACYT (Mexico),Raw rows exist but need reclassification,False,False,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (0 in 1987 31121986-MAT.pdf). The gap is downstream of extraction. | Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",Downstream fix: review canonical matching/selection against extracted rows already present.
Mexico,2001,2001 31122000-MAT.pdf,ran_with_rows,1,1,0,Tax incentive for income tax contributors for projects in research and development they carry out,Centros Públicos de Investigación CONACYT (Mexico),Raw rows exist but need reclassification,False,False,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (500,000,000 in 2001 31122000-MAT.pdf). The gap is downstream of extraction. | Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",Downstream fix: review canonical matching/selection against extracted rows already present.
Mexico,2002,2002 01012002-MAT.pdf,ran_with_rows,2,2,1,CONACYT / CONAHCyT — Ramo 38 (Mexico),Centros Públicos de Investigación CONACYT (Mexico),Raw rows exist but need reclassification,False,False,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (500,000,000 in 2002 01012002-MAT.pdf). The gap is downstream of extraction. | Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",Downstream fix: review canonical matching/selection against extracted rows already present.
Mexico,2003,2003 30122002-MAT.pdf,ran_with_rows,3,3,3,CONACYT / CONAHCyT — Ramo 38 (Mexico) | Centros Públicos de Investigación CONACYT (Mexico),IPN — Instituto Politécnico Nacional (Mexico),Raw rows exist but need reclassification,False,False,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (22,308,411,002 in 2003 30122002-MAT.pdf). The gap is downstream of extraction. | Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",Downstream fix: review canonical matching/selection against extracted rows already present.
Mexico,2006,2006 22122005-MAT.pdf,ran_with_rows,8,10,6,"CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico) | CONACYT / CONAHCyT — Ramo 38 (Mexico) | INIFAP — Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (Mexico) | IPN — Instituto Politécnico Nacional (Mexico) | UNAM — Universidad Nacional Autónoma de México (Mexico)",Centros Públicos de Investigación CONACYT (Mexico),Raw rows exist but need reclassification,False,False,,"Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document. | Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (40,000,000 in 2006 22122005-MAT.pdf). The gap is downstream of extraction.",Downstream fix: review canonical matching/selection against extracted rows already present.
Mexico,2007,2007 28122006-MAT.pdf,ran_with_rows,6,7,5,"CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico) | CONACYT / CONAHCyT — Ramo 38 (Mexico) | INIFAP — Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (Mexico) | IPN — Instituto Politécnico Nacional (Mexico) | UNAM — Universidad Nacional Autónoma de México (Mexico)",Centros Públicos de Investigación CONACYT (Mexico),Needs targeted re-extraction,False,False,,"Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",Coverage still incomplete: re-run targeted recovery or add a country-specific mapping/override.
Mexico,2008,2008 13122007-MAT.pdf,ran_with_rows,12,14,7,"CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico) | CONACYT / CONAHCyT — Ramo 38 (Mexico) | Centros Públicos de Investigación CONACYT (Mexico) | INIFAP — Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (Mexico) | New Fund for Science and Technology",IPN — Instituto Politécnico Nacional (Mexico),Needs targeted re-extraction,False,False,,"Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",Coverage still incomplete: re-run targeted recovery or add a country-specific mapping/override.
Mexico,2009,2009 28112008-MAT.pdf,ran_with_rows,11,11,6,CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico) | CONACYT / CONAHCyT — Ramo 38 (Mexico) | IPN — Instituto Politécnico Nacional (Mexico) | UNAM — Universidad Nacional Autónoma de México (Mexico),Centros Públicos de Investigación CONACYT (Mexico),Needs targeted re-extraction,False,False,,"Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",Coverage still incomplete: re-run targeted recovery or add a country-specific mapping/override.
Mexico,2010,2010 07122009-MAT.pdf,ran_with_rows,15,17,11,"CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico) | CONACYT / CONAHCyT — Ramo 38 (Mexico) | Centros Públicos de Investigación CONACYT (Mexico) | INIFAP — Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (Mexico) | ININ — Instituto Nacional de Investigaciones Nucleares (Mexico) | Mexican Space Agency | Mixed Fund",Centros Públicos de Investigación CONACYT (Mexico),Needs targeted re-extraction,False,False,,"Year absent from raw_rows, but extracted results contain a matching text row for this agency-year in 2010 07122009-MAT.pdf without a defendable numeric total. | Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",Coverage still incomplete: re-run targeted recovery or add a country-specific mapping/override.
