country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Mexico,2011,CIATEQ Advanced Technology Center,science_agency,149613299.0,unit,MXN,line_item,"CIATEQ, A.C. Center for Advanced Technology",2011 07122010-MAT.pdf,419,Focuses on advanced technology research.
Mexico,2012,CIATEQ Advanced Technology Center,science_agency,,,,,,,,Focuses on advanced technology research.; dropped after Mexico source audit: surviving row is real but the scale is not defendable enough for the final institutional panel
Mexico,2013,CIATEQ Advanced Technology Center,science_agency,170308467.0,unit,MXN,line_item,"CIATEQ, A.C. Advanced Technology Center",2013 27122012-MAT.pdf,379,Focuses on advanced technology research.
Mexico,2014,CIATEQ Advanced Technology Center,science_agency,246409525.0,unit,MXN,line_item,"CIATEQ, A.C. Advanced Technology Center",2014 03122013-MAT.pdf,289,Focuses on advanced technology research.
Mexico,2015,CIATEQ Advanced Technology Center,science_agency,,,,,,,,Focuses on advanced technology research.; dropped after Mexico source audit: surviving row is real but the scale is not defendable enough for the final institutional panel
Mexico,2016,CIATEQ Advanced Technology Center,science_agency,625054216.0,unit,MXN,line_item,"CIATEQ, A.C. Advanced Technology Center",2016 27112015-MAT.pdf,176,Focuses on advanced technology research.
Mexico,1986,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,1987,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2001,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2002,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2003,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2006,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2007,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2008,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2009,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2010,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2011,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,169203768.0,unit,MXN,line_item,"Scientific Research Center of Yucatán, A.C.",2011 07122010-MAT.pdf,419,
Mexico,2012,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2013,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,208205657.0,unit,MXN,line_item,"Scientific Research Center of Yucatán, A.C.",2013 27122012-MAT.pdf,379,
Mexico,2014,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,242522636.0,unit,MXN,line_item,"Scientific Research Center of Yucatán, A.C.",2014 03122013-MAT.pdf,289,
Mexico,2015,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2016,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,538429413.0,unit,MXN,line_item,"Scientific Research Center of Yucatán, A.C.",2016 27112015-MAT.pdf,176,
Mexico,2017,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,244633011.0,unit,MXN,line_item,Budget for Scientific Research Center of Yucatán,2017 30112016-MAT.pdf,161,
Mexico,2018,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2020,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2021,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2024,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,375359683.0,unit,MXN,line_item,"Scientific Research Center of Yucatán, A.C.",2024 25112023-VES.pdf,39,
Mexico,1986,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,1987,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2001,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2002,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2003,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2006,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2007,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2008,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2009,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2010,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
Mexico,2011,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,131173865.0,unit,MXN,line_item,"Center for Research in Mathematics, A.C.",2011 07122010-MAT.pdf,419,
Mexico,2012,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,gap: no matching rows in this year
