country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Mexico,1986,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (0 in 1986 31121985-MAT.pdf). The gap is downstream of extraction.",no,,1986 31121985-MAT.pdf,reclassify,,,,8859247600.0
Mexico,1987,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (0 in 1987 31121986-MAT.pdf). The gap is downstream of extraction.",no,,1987 31121986-MAT.pdf,reclassify,,,,8859247600.0
Mexico,2001,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (500,000,000 in 2001 31122000-MAT.pdf). The gap is downstream of extraction.",no,,2001 31122000-MAT.pdf,reclassify,,,,8859247600.0
Mexico,2002,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (500,000,000 in 2002 01012002-MAT.pdf). The gap is downstream of extraction.",no,,2002 01012002-MAT.pdf,reclassify,,,,8859247600.0
Mexico,2003,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (22,308,411,002 in 2003 30122002-MAT.pdf). The gap is downstream of extraction.",no,,2003 30122002-MAT.pdf,reclassify,,,,8859247600.0
Mexico,2006,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,8859247600.0,MXN,,9330648958.0
Mexico,2007,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,9330648958.0,MXN,8859247600.0,11876003700.0
Mexico,2008,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,11876003700.0,MXN,9330648958.0,15474732726.0
Mexico,2009,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,15474732726.0,MXN,11876003700.0,15946592413.0
Mexico,2010,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,15946592413.0,MXN,15474732726.0,17279570709.0
Mexico,2011,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,17279570709.0,MXN,15946592413.0,21872176958.0
Mexico,2012,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,21872176958.0,MXN,17279570709.0,25245962047.0
Mexico,2013,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,25245962047.0,MXN,21872176958.0,31086324134.0
Mexico,2014,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,31086324134.0,MXN,25245962047.0,33706667621.0
Mexico,2015,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,33706667621.0,MXN,31086324134.0,34010260421.0
Mexico,2016,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,34010260421.0,MXN,33706667621.0,26963512279.0
Mexico,2017,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,26963512279.0,MXN,34010260421.0,27225876510.0
Mexico,2018,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,27225876510.0,MXN,26963512279.0,26573104028.0
Mexico,2020,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,missing,,"Year absent from raw_rows, but extracted results already contain a matching row for this agency-year (25,658,798,449 in 2020 11122019-MAT.pdf). The gap is downstream of extraction.",no,,2020 11122019-MAT.pdf,reclassify,,,27225876510.0,26573104028.0
Mexico,2021,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,26573104028.0,MXN,27225876510.0,33170745272.0
Mexico,2024,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,ok,,,,,,none,33170745272.0,MXN,26573104028.0,
Mexico,1986,Centros Públicos de Investigación CONACYT (Mexico),research_institute,missing,,"Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1986 31121985-MAT.pdf,reextract,,,,300000000.0
Mexico,1987,Centros Públicos de Investigación CONACYT (Mexico),research_institute,missing,,"Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1987 31121986-MAT.pdf,reextract,,,,300000000.0
Mexico,2001,Centros Públicos de Investigación CONACYT (Mexico),research_institute,missing,,"Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,2001 31122000-MAT.pdf,reextract,,,,300000000.0
Mexico,2002,Centros Públicos de Investigación CONACYT (Mexico),research_institute,missing,,"Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,2002 01012002-MAT.pdf,reextract,,,,300000000.0
Mexico,2003,Centros Públicos de Investigación CONACYT (Mexico),research_institute,ok,,,,,,none,300000000.0,MXN,,140500000.0
Mexico,2006,Centros Públicos de Investigación CONACYT (Mexico),research_institute,missing,,"Year absent from raw_rows, but mexico_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,2006 22122005-MAT.pdf,reextract,,,300000000.0,140500000.0
