country,year,source_file,file_path,missing_agencies
Mexico,1986,1986 31121985-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/1986 31121985-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,1987,1987 31121986-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/1987 31121986-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2001,2001 31122000-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2001 31122000-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2002,2002 01012002-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2002 01012002-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2006,2006 22122005-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2006 22122005-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2007,2007 28122006-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2007 28122006-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2009,2009 28112008-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2009 28112008-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2010,2010 07122009-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2010 07122009-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2011,2011 07122010-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2011 07122010-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2013,2013 27122012-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2013 27122012-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2014,2014 03122013-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2014 03122013-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2016,2016 27112015-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2016 27112015-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2020,2020 11122019-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2020 11122019-MAT.pdf,Centros Públicos de Investigación CONACYT (Mexico)
Mexico,2003,2003 30122002-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2003 30122002-MAT.pdf,IPN — Instituto Politécnico Nacional (Mexico)
Mexico,2008,2008 13122007-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2008 13122007-MAT.pdf,IPN — Instituto Politécnico Nacional (Mexico)
Mexico,2012,2012 12122011-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2012 12122011-MAT.pdf,IPN — Instituto Politécnico Nacional (Mexico)
Mexico,2015,2015 03122014-MAT.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Mexico/2015 03122014-MAT.pdf,IPN — Instituto Politécnico Nacional (Mexico)
