year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1986,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1986,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1986,CIMAV — Centro de Investigación en Materiales Avanzados (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1986,CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1986,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1986,Centros Públicos de Investigación CONACYT (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1986,"INIFAP — Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (Mexico)",research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1986,ININ — Instituto Nacional de Investigaciones Nucleares (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1986,IPN — Instituto Politécnico Nacional (Mexico),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1986,UNAM — Universidad Nacional Autónoma de México (Mexico),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,CIMAT — Centro de Investigación en Matemáticas (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,CIMAV — Centro de Investigación en Materiales Avanzados (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,CONACYT / CONAHCyT — Ramo 38 (Mexico),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,Centros Públicos de Investigación CONACYT (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,"INIFAP — Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (Mexico)",research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,ININ — Instituto Nacional de Investigaciones Nucleares (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,IPN — Instituto Politécnico Nacional (Mexico),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1987,UNAM — Universidad Nacional Autónoma de México (Mexico),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2001,CICY — Centro de Investigación Científica de Yucatán (Mexico),research_institute,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
