source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1975 27121974-MAT.pdf,Data/input/finance_bills/Mexico/1975 27121974-MAT.pdf,,0,,,,,not_used_in_final_series,
1976 31121975-MAT.pdf,Data/input/finance_bills/Mexico/1976 31121975-MAT.pdf,,0,,,,,not_used_in_final_series,
1977 31121976-MAT.pdf,Data/input/finance_bills/Mexico/1977 31121976-MAT.pdf,,0,,,,,not_used_in_final_series,
1978 30121977-MAT.pdf,Data/input/finance_bills/Mexico/1978 30121977-MAT.pdf,,0,,,,,not_used_in_final_series,
1979 29121978-MAT.pdf,Data/input/finance_bills/Mexico/1979 29121978-MAT.pdf,,0,,,,,not_used_in_final_series,
1980 31121979-MAT.pdf,Data/input/finance_bills/Mexico/1980 31121979-MAT.pdf,,0,,,,,not_used_in_final_series,
1981 31121980-MAT.pdf,Data/input/finance_bills/Mexico/1981 31121980-MAT.pdf,,0,,,,,not_used_in_final_series,
1982 31121981-MAT.pdf,Data/input/finance_bills/Mexico/1982 31121981-MAT.pdf,,0,,,,,not_used_in_final_series,
1983 31121982-MAT.pdf,Data/input/finance_bills/Mexico/1983 31121982-MAT.pdf,,0,,,,,not_used_in_final_series,
1984 29121983-MAT.pdf,Data/input/finance_bills/Mexico/1984 29121983-MAT.pdf,,0,,,,,not_used_in_final_series,
1985 31121984-MAT.pdf,Data/input/finance_bills/Mexico/1985 31121984-MAT.pdf,,0,,,,,not_used_in_final_series,
1986 31121985-MAT.pdf,Data/input/finance_bills/Mexico/1986 31121985-MAT.pdf,,0,,,,,not_used_in_final_series,
1987 31121986-MAT.pdf,Data/input/finance_bills/Mexico/1987 31121986-MAT.pdf,,0,,,,,not_used_in_final_series,
1988 31121987-MAT.pdf,Data/input/finance_bills/Mexico/1988 31121987-MAT.pdf,,0,,,,,not_used_in_final_series,
1989 31121988-MAT (1).pdf,Data/input/finance_bills/Mexico/1989 31121988-MAT (1).pdf,,0,,,,,not_used_in_final_series,
1990 29121989-MAT.pdf,Data/input/finance_bills/Mexico/1990 29121989-MAT.pdf,,0,,,,,not_used_in_final_series,
1991 27121990-MAT.pdf,Data/input/finance_bills/Mexico/1991 27121990-MAT.pdf,,0,,,,,not_used_in_final_series,
1992 24121991-MAT.pdf,Data/input/finance_bills/Mexico/1992 24121991-MAT.pdf,,0,,,,,not_used_in_final_series,
1993 18121992-MAT.pdf,Data/input/finance_bills/Mexico/1993 18121992-MAT.pdf,,0,,,,,not_used_in_final_series,
1994 30121993-MAT.pdf,Data/input/finance_bills/Mexico/1994 30121993-MAT.pdf,,0,,,,,not_used_in_final_series,
1995 28121994-MAT.pdf,Data/input/finance_bills/Mexico/1995 28121994-MAT.pdf,,0,,,,,not_used_in_final_series,
1996 22121995-MAT.pdf,Data/input/finance_bills/Mexico/1996 22121995-MAT.pdf,,0,,,,,not_used_in_final_series,
1997 23121996-MAT.pdf,Data/input/finance_bills/Mexico/1997 23121996-MAT.pdf,,0,,,,,not_used_in_final_series,
1998 29121997-MAT.pdf,Data/input/finance_bills/Mexico/1998 29121997-MAT.pdf,,0,,,,,not_used_in_final_series,
1999 31121998-MAT.pdf,Data/input/finance_bills/Mexico/1999 31121998-MAT.pdf,,0,,,,,not_used_in_final_series,
1999 MEX 31121998-MAT.pdf,Data/input/finance_bills/Mexico/1999 MEX 31121998-MAT.pdf,,0,,,,,not_used_in_final_series,
2000 31121999-MAT.pdf,Data/input/finance_bills/Mexico/2000 31121999-MAT.pdf,,0,,,,,not_used_in_final_series,
2001 31122000-MAT.pdf,Data/input/finance_bills/Mexico/2001 31122000-MAT.pdf,,0,,,,,not_used_in_final_series,
2002 01012002-MAT.pdf,Data/input/finance_bills/Mexico/2002 01012002-MAT.pdf,,0,,,,,not_used_in_final_series,
2003 30122002-MAT.pdf,Data/input/finance_bills/Mexico/2003 30122002-MAT.pdf,,1,Centros Públicos de Investigación CONACYT (Mexico),208,Research centers,300000000.0,covered_by_final_series,
2004 31122003-MAT.pdf,Data/input/finance_bills/Mexico/2004 31122003-MAT.pdf,,0,,,,,not_used_in_final_series,
2005 20122004-MAT.pdf,Data/input/finance_bills/Mexico/2005 20122004-MAT.pdf,,0,,,,,not_used_in_final_series,
2005 20122004-VES.pdf,Data/input/finance_bills/Mexico/2005 20122004-VES.pdf,,0,,,,,not_used_in_final_series,
2006 22122005-MAT.pdf,Data/input/finance_bills/Mexico/2006 22122005-MAT.pdf,,4,"CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico) | CONACYT / CONAHCyT — Ramo 38 (Mexico) | INIFAP — Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (Mexico) | IPN — Instituto Politécnico Nacional (Mexico)",205 | 141 | 146 | 205,CINVESTAV | Total budget for the National Council of Science and Technology | Normal | IPN,100000000.0 | 8859247600.0 | 1066200000.0 | 212500000.0,covered_by_final_series,
2007 28122006-MAT.pdf,Data/input/finance_bills/Mexico/2007 28122006-MAT.pdf,,5,"CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico) | CONACYT / CONAHCyT — Ramo 38 (Mexico) | INIFAP — Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (Mexico) | IPN — Instituto Politécnico Nacional (Mexico) | UNAM — Universidad Nacional Autónoma de México (Mexico)",160 | 142 | 146 | 160 | 160,CINVESTAV | Total budget for the National Council of Science and Technology | INIFAP | IPN | UNAM,90000000.0 | 9330648958.0 | 1200000000.0 | 491000000.0 | 680000000.0,covered_by_final_series,
2008 13122007-MAT.pdf,Data/input/finance_bills/Mexico/2008 13122007-MAT.pdf,,5,"CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico) | CONACYT / CONAHCyT — Ramo 38 (Mexico) | Centros Públicos de Investigación CONACYT (Mexico) | INIFAP — Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (Mexico) | New Fund for Science and Technology",423 | 376 | 437 | 380 | 447,CINVESTAV | Total expenditure of the National Council of Science and Technology | Institutional Support (Investment in Public Research Centers) | INIFAP | New Fund for Science and Technology,175000000.0 | 11876003700.0 | 140500000.0 | 1226800000.0 | 500000.0,covered_by_final_series,
2009 28112008-MAT.pdf,Data/input/finance_bills/Mexico/2009 28112008-MAT.pdf,,4,CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico) | CONACYT / CONAHCyT — Ramo 38 (Mexico) | IPN — Instituto Politécnico Nacional (Mexico) | UNAM — Universidad Nacional Autónoma de México (Mexico),328 | 297 | 328 | 328,CINVESTAV | Total budget for Ramo 38 | IPN | UNAM,95000000.0 | 15474732726.0 | 450000000.0 | 700000000.0,covered_by_final_series,
2010 07122009-MAT.pdf,Data/input/finance_bills/Mexico/2010 07122009-MAT.pdf,,5,"CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico) | CONACYT / CONAHCyT — Ramo 38 (Mexico) | INIFAP — Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (Mexico) | Mexican Space Agency | Mixed Fund",293 | 251 | 258 | 307 | 307,CINVESTAV | Total budget for CONACYT | INIFAP | INSTITUTIONAL SUPPORT (MEXICAN SPACE AGENCY) | MIXED FUND,90000000.0 | 15946592413.0 | 262399999.99999997 | 10000000.0 | 390000000.0,covered_by_final_series,
2011 07122010-MAT.pdf,Data/input/finance_bills/Mexico/2011 07122010-MAT.pdf,,16,"CIATEQ Advanced Technology Center | CICY — Centro de Investigación Científica de Yucatán (Mexico) | CIMAT — Centro de Investigación en Matemáticas (Mexico) | CIMAV — Centro de Investigación en Materiales Avanzados (Mexico) | CINVESTAV — Centro de Investigación y Estudios Avanzados (Mexico) | CONACYT / CONAHCyT — Ramo 38 (Mexico) | College of the Northern Border | College of the Southern Border | Ecology Institute | INIFAP — Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias (Mexico) | ININ — Instituto Nacional de Investigaciones Nucleares (Mexico) | Mario Molina Center (regional studies in energy and environmental management) | Operational Expenses for the Large Millimeter Telescope Project | The College of Michoacán, A.C. | The College of San Luis, A.C. | UNAM — Universidad Nacional Autónoma de México (Mexico)",419 | 419 | 419 | 419 | 417 | 180-183 | 419 | 419 | 419 | 414 | 419 | 523 | 523 | 419 | 419 | 417,"CIATEQ, A.C. Center for Advanced Technology | Scientific Research Center of Yucatán, A.C. | Center for Research in Mathematics, A.C. | Center for Research in Advanced Materials, S.C. | Center for Research and Advanced Studies of the National Polytechnic Institute | Total for Ramo 38 | The College of the Northern Border, A.C. | The College of the Southern Border | Institute of Ecology, A.C. | INIFAP | National Institute of Nuclear Research | Mario Molina Center (regional studies in energy and environmental management) | Operational expenditure for the Large Millimeter Telescope project | The College of Michoacán, A.C. | The College of San Luis, A.C. | National Autonomous University of Mexico",149613299.0 | 169203768.0 | 131173865.0 | 133396620.0 | 1882976326.0 | 17279570709.0 | 202926687.0 | 239272825.0 | 208060201.0 | 73800000.0 | 451714399.0 | 46000000.0 | 25000000.0 | 93087326.0 | 72401204.0 | 5769731040.0,covered_by_final_series,
