country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes
Netherlands,1975,line_item,K,Fonds ontwikkeling snelle kweekreactor,Fund for the Development of Fast Breeder Reactor,,Bijdrage in de exploitatie- en investeringskosten van het Reactor-Centrum Nederland,Contribution to the operating and investment costs of the Reactor Center Netherlands,18000.0,thousand,NLG,direct_rd,include,0.9,1975 budget memorandum.pdf,130,gpt-4o-mini,extract,Explicitly for research-related costs.
Netherlands,1975,line_item,K,Fonds ontwikkeling snelle kweekreactor,Fund for the Development of Fast Breeder Reactor,,Uitgaven in verband met de deelneming in het prototype van een snelle kweekreactor,Expenditures related to participation in the prototype of a fast breeder reactor,61000.0,thousand,NLG,direct_rd,include,0.9,1975 budget memorandum.pdf,130,gpt-4o-mini,extract,Explicitly for research-related expenditures.
Netherlands,1975,line_item,K,Fonds ontwikkeling snelle kweekreactor,Fund for the Development of Fast Breeder Reactor,,Uitgaven in verband met onderzoek en ontwikkelingswerk door de industrie,Expenditures related to research and development work by the industry,36000.0,thousand,NLG,direct_rd,include,0.9,1975 budget memorandum.pdf,130,gpt-4o-mini,extract,Explicitly for research and development work.
Netherlands,1975,line_item,13.4/5,Nationale schuld,National Debt,,Aflossing,Repayment,758000.0,thousand,NLG,unclear,review,0.4,1975 budget memorandum.pdf,130,gpt-4o-mini,extract,Not related to R&D.
Netherlands,1975,section_total,VII,Onderwijs en Wetenschappen,Education and Sciences,,Totaal,Total,16861000.0,thousand,NLG,higher_education,include,1.0,1975 budget memorandum.pdf,74,gpt-4o-mini,extract,
Netherlands,1975,line_item,XIV,Landbouw en Visserij,Agriculture and Fisheries,,Onderzoek en voorlichting,Research and information,216000.0,thousand,NLG,direct_rd,include,1.0,1975 budget memorandum.pdf,75,gpt-4o-mini,extract,
Netherlands,1975,section_total,XIII,Economische Zaken,Economic Affairs,,Totaal,Total,891000.0,thousand,NLG,innovation_instruments,review,0.8,1975 budget memorandum.pdf,75,gpt-4o-mini,extract,"Mixed-purpose ministry, review due to potential non-R&D components."
Netherlands,1975,section_total,XIV,Landbouw en Visserij,Agriculture and Fisheries,,Totaal,Total,1392000.0,thousand,NLG,research_infrastructure,review,0.8,1975 budget memorandum.pdf,75,gpt-4o-mini,extract,"Mixed-purpose ministry, review due to potential non-R&D components."
Netherlands,1975,line_item,VII,Onderwijs en Wetenschappen,Education and Sciences,,Wetenschappelijk onderzoek,Scientific research,407000.0,thousand,NLG,direct_rd,include,1.0,1975 budget memorandum.pdf,91,gpt-4o-mini,extract,
Netherlands,1975,line_item,XIII,Economische Zaken,Economic Affairs,,Wetenschappelijk onderzoek,Scientific research,145000.0,thousand,NLG,direct_rd,include,1.0,1975 budget memorandum.pdf,91,gpt-4o-mini,extract,
Netherlands,1975,line_item,VII,Onderwijs en Wetenschappen,Education and Sciences,,Wetenschappelijk onderwijs,Scientific education,3660000.0,thousand,NLG,higher_education,include,1.0,1975 budget memorandum.pdf,92,gpt-4o-mini,extract,
Netherlands,1975,line_item,10.0,Volksgezondheid en milieuhygiéne,Public Health and Environmental Hygiene,,Algemene uitgaven,General expenditures,58000.0,thousand,NLG,unclear,review,0.4,1975 budget memorandum.pdf,93,gpt-4o-mini,extract,"General expenditures, not specifically R&D."
Netherlands,1975,line_item,10.1,Volksgezondheid en milieuhygiéne,Public Health and Environmental Hygiene,,Wetenschappelijk onderzoek,Scientific research,58000.0,thousand,NLG,direct_rd,include,0.9,1975 budget memorandum.pdf,93,gpt-4o-mini,extract,Explicitly for scientific research.
Netherlands,1975,line_item,11.1,Volkshuisvesting,Housing,,Wetenschappelijk onderzoek,Scientific research,19000.0,thousand,NLG,direct_rd,include,0.9,1975 budget memorandum.pdf,93,gpt-4o-mini,extract,Explicitly for scientific research.
Netherlands,1975,section_total,10,Volksgezondheid en milieuhygiéne,Public Health and Environmental Hygiene,,Totaal van de uitgaven/ontvangsten,Total of expenditures/revenues,527000.0,thousand,NLG,unclear,review,0.5,1975 budget memorandum.pdf,93,gpt-4o-mini,extract,"Includes general health expenditures, not specifically R&D."
Netherlands,1975,section_total,11,Volkshuisvesting,Housing,,Totaal van de uitgaven/ontvangsten,Total of expenditures/revenues,4948000.0,thousand,NLG,unclear,review,0.5,1975 budget memorandum.pdf,93,gpt-4o-mini,extract,"Includes general housing expenditures, not specifically R&D."
Netherlands,1976,line_item,EZ,Economische Zaken,Ministry of Economic Affairs,,Bijdrage in de exploitatie- en investeringskosten van het Energie-Centrum Nederland,Contribution to the operating and investment costs of the Energy Center Netherlands,16000.0,thousand,NLG,research_infrastructure,include,0.8,1976 budget memorandum.pdf,143,gpt-4o-mini,extract,Funding for research infrastructure related to energy.
Netherlands,1976,line_item,EZ,Economische Zaken,Ministry of Economic Affairs,,Uitgaven in verband met de deelneming in het prototype van een snelle kweekreactor,Expenditures related to participation in the prototype of a fast breeder reactor,71000.0,thousand,NLG,direct_rd,include,0.9,1976 budget memorandum.pdf,143,gpt-4o-mini,extract,Direct R&D spending related to nuclear research.
Netherlands,1976,line_item,EZ,Economische Zaken,Ministry of Economic Affairs,,Uitgaven in verband met onderzoek en ontwikkelingswerk door de industrie,Expenditures related to research and development work by the industry,179000.0,thousand,NLG,direct_rd,include,0.9,1976 budget memorandum.pdf,143,gpt-4o-mini,extract,Direct R&D spending by industry.
Netherlands,1976,program_total,OCW,"Onderwijs, Cultuur en Wetenschap","Ministry of Education, Culture and Science",,Onderzoek en wetenschapsbeleid,Research and Science Policy,0.0,thousand,NLG,science_agency,review,0.5,1976 budget memorandum.pdf,48,gpt-4o-mini,extract,"Total for research and science policy, specific breakdown not provided."
Netherlands,1976,section_total,OCW,"Onderwijs, Cultuur en Wetenschap","Ministry of Education, Culture and Science",,Totaal Wetenschappelijk onderwijs,Total Scientific Education,0.0,thousand,NLG,higher_education,review,0.5,1976 budget memorandum.pdf,48,gpt-4o-mini,extract,"Total for scientific education, specific breakdown not provided."
Netherlands,1977,line_item,Vill,Onderwijs en Wetenschappen,Education and Sciences,,Investeringen wetenschappelijk onderwijs,Investments in scientific education,256000.0,thousand,NLG,research_infrastructure,include,1.0,1977 budget memorandum.pdf,79,gpt-4o-mini,extract,
Netherlands,1977,section_total,Vill,Onderwijs en Wetenschappen,Education and Sciences,,Totaal uitgaven Onderwijs en Wetenschappen,Total expenditures Education and Sciences,17760000.0,thousand,NLG,higher_education,include,1.0,1977 budget memorandum.pdf,79,gpt-4o-mini,extract,
Netherlands,1977,line_item,Vill,Onderwijs en Wetenschappen,Education and Sciences,,Universiteiten en hogescholen,Universities and colleges,2979000.0,thousand,NLG,higher_education,include,1.0,1977 budget memorandum.pdf,79,gpt-4o-mini,extract,
