country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Netherlands,1975,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1976,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1977,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1978,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1979,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1980,Agricultural Research,direct_rd,237000000.0,thousand,NLG,line_item,Agricultural Research,1980 budget memorandum.pdf,53,"This entity is focused on research in agriculture, which is R&D relevant."
Netherlands,1981,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1982,Agricultural Research,direct_rd,250000000.0,thousand,NLG,line_item,Agricultural research,1982 budget memorandum.pdf,92,"This entity is focused on research in agriculture, which is R&D relevant."
Netherlands,1983,Agricultural Research,direct_rd,4000000.0,thousand,NLG,line_item,Agricultural research,1983 budget memorandum.pdf,81,"This entity is focused on research in agriculture, which is R&D relevant."
Netherlands,1984,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1985,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1986,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1987,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1988,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1989,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1990,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1991,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1992,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1993,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1994,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1995,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1996,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1997,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1998,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,1999,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2000,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2001,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2002,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2003,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2004,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2005,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2006,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2007,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2008,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2009,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2010,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2011,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2012,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2013,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2014,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2015,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2016,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2017,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2018,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2019,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2020,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2021,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2022,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2023,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
Netherlands,2024,Agricultural Research,direct_rd,,,,,,,,gap: no matching rows in this year
